,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Bad Boy - Akustik Version",NKSN,40409,https://open.spotify.com/track/2ViSkbsujq5pnizJqqbAwW
2,"WAP (feat. Megan Thee Stallion)","Cardi B",36337,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
3,"Watermelon Sugar","Harry Styles",33396,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
4,"Paskambink Man","Saulės Kliošas",32877,https://open.spotify.com/track/25xDvdW2KVCPaC7kCgVNQ3
5,"Blinding Lights","The Weeknd",28299,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"Bad Boy",NKSN,26915,https://open.spotify.com/track/26OSsm3go3hMrmmZtf6KdU
7,"Bad Boy - Alistair Remix",NKSN,26908,https://open.spotify.com/track/6GF9iTQb4h0EQ8Dm0HLqE9
8,Dynamite,BTS,24571,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
9,"Mood (feat. iann dior)",24kGoldn,23020,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
10,"TIESIOG NEGALIÚ","OG Version",22483,https://open.spotify.com/track/6evDsE1JN4CqOTuRgV3GqY
11,"Breaking Me",Topic,21919,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
12,"Roses - Imanbek Remix","SAINt JHN",21683,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
13,"Mėlyna Mėlyna","Sisters On Wire",21489,https://open.spotify.com/track/6n8I3K81Zfb54V7M96qwzm
14,"KAS IEŠKOJO","OG Version",21456,https://open.spotify.com/track/4B13sgCtwB50n6u1cloCFI
15,"Head & Heart (feat. MNEK)","Joel Corry",20816,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
16,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,20637,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
17,Hypnotized,"Purple Disco Machine",20092,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
18,"Savage Love (Laxed - Siren Beat)","Jawsh 685",20012,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
19,"Laugh Now Cry Later (feat. Lil Durk)",Drake,19665,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
20,"La Vida Loca",Kriminell,19554,https://open.spotify.com/track/6JQ9XJWVtYqKWYZa4fC2HW
21,"Taip Jau Gavosi","Sisters On Wire",19255,https://open.spotify.com/track/6lBIEqVATQY9RbEHl0uHCr
22,Hölle,Kriminell,19137,https://open.spotify.com/track/6U6XSmnY8mjLpCFbZlR1rl
23,"Midnight Sky","Miley Cyrus",18581,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
24,Rožė,"Jessica Shy",18459,https://open.spotify.com/track/4F2JsHduN1Ow8CkyxsnLh1
25,HOMÈRIS,"OG Version",18297,https://open.spotify.com/track/1biZYKvwP9aQevsrSWgCBJ
26,"Take You Dancing","Jason Derulo",18020,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
27,"Stunnin' (feat. Harm Franklin)","Curtis Waters",17994,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
28,YES,"OG Version",17538,https://open.spotify.com/track/3SzwwAXlgx8CBinQpVf63F
29,Heather,"Conan Gray",17284,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
30,"Over Now (with The Weeknd)","Calvin Harris",16985,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR
31,"Medžiai Melagiai",Velvet,16713,https://open.spotify.com/track/55ZJmck1yvNXZEFmmc6mdk
