,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Save Your Tears","The Weeknd",5897,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
2,"Astronaut In The Ocean","Masked Wolf",4851,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
3,"The Business",Tiësto,4370,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
4,"drivers license","Olivia Rodrigo",4286,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
5,telepatía,"Kali Uchis",4208,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
6,Streets,"Doja Cat",4080,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
7,"Your Love (9PM)",ATB,3619,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
8,Discoteque,"THE ROOP",3404,https://open.spotify.com/track/7dMOzsTZOUtOF7W5kLN0gf
9,Pilnatis,ba.,3294,https://open.spotify.com/track/44VSYry7AiGR9etWnVbnyg
10,"Paradise (feat. Dermot Kennedy)",MEDUZA,3207,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
11,"Blinding Lights","The Weeknd",3110,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
12,"What’s Next",Drake,3030,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
13,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2805,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
14,"Heat Waves","Glass Animals",2755,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
15,"Calling My Phone","Lil Tjay",2656,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
16,"Levitating (feat. DaBaby)","Dua Lipa",2567,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
17,"Leave The Door Open","Bruno Mars",2554,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
18,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",2543,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
19,"Therefore I Am","Billie Eilish",2483,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
20,"Mėlyna Mėlyna","Sisters On Wire",2401,https://open.spotify.com/track/6n8I3K81Zfb54V7M96qwzm
21,"WITHOUT YOU","The Kid LAROI",2355,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
22,"We're Good","Dua Lipa",2311,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
23,"Paskambink Man","Saulės Kliošas",2270,https://open.spotify.com/track/25xDvdW2KVCPaC7kCgVNQ3
24,Arcade,"Duncan Laurence",2252,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
