,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"bad guy","Billie Eilish",35556,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
2,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",25783,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
3,"I Don't Care (with Justin Bieber)","Ed Sheeran",23957,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
4,"Old Town Road","Lil Nas X",21192,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
5,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",18920,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
6,"Piece Of Your Heart",MEDUZA,18572,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
7,EARFQUAKE,"Tyler, The Creator",17993,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
8,"SOS (feat. Aloe Blacc)",Avicii,17561,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
9,"If I Can't Have You","Shawn Mendes",17201,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
10,Heaven,Avicii,16396,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ
11,"The London (feat. J. Cole & Travis Scott)","Young Thug",15646,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
12,Sucker,"Jonas Brothers",15563,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
13,"Mother's Daughter","Miley Cyrus",15464,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
14,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",15131,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR
15,"Never Really Over","Katy Perry",13879,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
16,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",13657,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
17,"Rescue Me",OneRepublic,13531,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
18,"Someone You Loved","Lewis Capaldi",13403,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
19,Wow.,"Post Malone",12561,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
20,"Call You Mine","The Chainsmokers",12362,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
