,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Astronaut In The Ocean","Masked Wolf",4375,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
2,"drivers license","Olivia Rodrigo",3705,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
3,"Save Your Tears","The Weeknd",3491,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
4,Streets,"Doja Cat",3248,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
5,"The Business",Tiësto,3074,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
6,"ТЫ ГОРИШЬ КАК ОГОНЬ","SLAVA MARLOW",2910,https://open.spotify.com/track/12Kknh5NqqAukiyevjDQkT
7,"What’s Next",Drake,2553,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
8,telepatía,"Kali Uchis",2428,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
9,"WITHOUT YOU","The Kid LAROI",2417,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
10,"Снова я напиваюсь","SLAVA MARLOW",2390,https://open.spotify.com/track/18t2lAzaHW2bJomYeyzrpy
11,"Sweater Weather","The Neighbourhood",2350,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
12,"Calling My Phone","Lil Tjay",2333,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
13,"Blinding Lights","The Weeknd",2299,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,"Моя голова винтом (My head is spinning like a screw)",kostromin,2286,https://open.spotify.com/track/4KrhaZm4JRkNO4HRdLvJIG
15,SugarCrash!,ElyOtto,2273,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
16,Whoopty,CJ,2232,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
17,"Mood (feat. iann dior)",24kGoldn,2229,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
18,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2191,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
19,Arcade,"Duncan Laurence",2156,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
20,"Heat Waves","Glass Animals",2086,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
21,"Paradise (feat. Dermot Kennedy)",MEDUZA,2067,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
22,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",2056,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
23,"Your Love (9PM)",ATB,2045,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
24,Up,"Cardi B",2037,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
25,"Cristal & МОЁТ",MORGENSHTERN,2031,https://open.spotify.com/track/4KfmruShP5zOi9hYjM76e6
26,"you broke me first","Tate McRae",1978,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
27,"Levitating (feat. DaBaby)","Dua Lipa",1888,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
28,"Wants and Needs (feat. Lil Baby)",Drake,1806,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
29,"Daddy Issues","The Neighbourhood",1780,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
30,"Star Shopping","Lil Peep",1752,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
31,"Therefore I Am","Billie Eilish",1750,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
32,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1704,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
33,Голос,"Egor Kreed",1682,https://open.spotify.com/track/1F243xppsThmJaxnBuBfMA
34,"Head & Heart (feat. MNEK)","Joel Corry",1668,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
