,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DÁKITI,"Bad Bunny",8561518,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,BICHOTA,"KAROL G",7514926,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
3,"LA NOCHE DE ANOCHE","Bad Bunny",4345224,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
4,Hawái,Maluma,4183630,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
5,Reloj,"Rauw Alejandro",3673200,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
6,"Relación - Remix",Sech,3149553,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
7,"La Tóxica",Farruko,3142232,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
8,"Se Te Nota (with Guaynaa)","Lele Pons",3138537,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
9,"Dime Cómo Quieres","Christian Nodal",2860579,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
10,"Mi Niña",Wisin,2736292,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
11,"La Nota","Manuel Turizo",2680847,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
12,"Chica Ideal","Sebastian Yatra",2614389,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
13,"TE MUDASTE","Bad Bunny",2587060,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
14,"Vida de Rico",Camilo,2502601,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
15,"Aquí Abajo","Christian Nodal",2445826,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
16,"La Curiosidad","Jay Wheeler",2414228,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
17,"Ay, DiOs Mío!","KAROL G",2380124,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
18,"Hecha Pa' Mi",Boza,2358937,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
19,"Parce (feat. Justin Quiles)",Maluma,2289638,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
20,"Cabrón y Vago - En Vivo","El Fantasma",2240028,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
21,Jeans,"Justin Quiles",2183846,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
22,"Mi Cuarto","Jerry Di",2066090,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
23,"Blinding Lights","The Weeknd",2020577,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
24,Azul,"J Balvin",1990311,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
25,BEBÉ,Camilo,1965623,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
26,"Pa' Olvidarme De Ella","Piso 21",1951810,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
27,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1930572,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
28,"Tattoo - Remix with Camilo","Rauw Alejandro",1858654,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
29,"La Jeepeta - Remix","Nio Garcia",1855180,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
30,"HACIENDO QUE ME AMAS","Bad Bunny",1815089,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
31,"Una Locura",Ozuna,1801619,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
32,Tusa,"KAROL G",1797054,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
33,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1745287,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
34,"De Los Besos Que Te Di","Christian Nodal",1678160,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
35,"GIRL LIKE ME","Black Eyed Peas",1673135,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
36,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,1670037,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
37,"Se Me Olvidó","Christian Nodal",1650953,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
38,Tú,"Carin Leon",1604265,https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
39,Nada,"Cali Y El Dandee",1594055,https://open.spotify.com/track/4K8cyoCDovlc4FvtUr2Hfx
