,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,telepatía,"Kali Uchis",678045,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
2,DÁKITI,"Bad Bunny",611778,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
3,BICHOTA,"KAROL G",557858,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
4,Bandido,"Myke Towers",515622,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
5,"LA NOCHE DE ANOCHE","Bad Bunny",472474,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
6,"Save Your Tears","The Weeknd",376102,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
7,Hawái,Maluma,375235,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
8,Reloj,"Rauw Alejandro",352654,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
9,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",351161,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
10,"Ropa Cara",Camilo,306151,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
11,"Algo Mágico","Rauw Alejandro",299917,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
12,"Hecha Pa' Mi",Boza,293061,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
13,"Ella No Es Tuya - Remix","Rochy RD",292127,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
14,"Blinding Lights","The Weeknd",289669,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,"TE MUDASTE","Bad Bunny",257020,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
16,"Relación - Remix",Sech,256682,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
17,"Mi Niña",Wisin,252869,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
18,"Hasta Abajo","Kevin Roldan",242483,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
19,"Machu Picchu",Camilo,234051,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
20,"Se Te Nota (with Guaynaa)","Lele Pons",232841,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
21,"La Nota","Manuel Turizo",231228,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
22,LOCATION,"KAROL G",230909,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
23,"Más De La Una","Piso 21",229918,https://open.spotify.com/track/69Y5IZuBvGyzySFt5x7kCq
24,"Vida de Rico",Camilo,227562,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
25,"GIRL LIKE ME","Black Eyed Peas",226646,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
26,"Parce (feat. Justin Quiles)",Maluma,224857,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
27,"La Tóxica",Farruko,224553,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
28,"drivers license","Olivia Rodrigo",224504,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
29,"Cabrón y Vago - En Vivo","El Fantasma",218194,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
30,BEBÉ,Camilo,216518,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
31,"Dime Cómo Quieres","Christian Nodal",214465,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
32,"Chica Ideal","Sebastian Yatra",209828,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
33,"Aquí Abajo","Christian Nodal",207490,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
34,"El Tóxico","Grupo Firme",199108,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
35,"Calla Tú","Danna Paola",198740,https://open.spotify.com/track/7jL2tCE0Xn2tunqWayBkte
36,"La Curiosidad","Jay Wheeler",195344,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
37,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",191945,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
38,Fiel,"Los Legendarios",186539,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
39,"BOOKER T","Bad Bunny",183986,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
40,"Pa' Olvidarme De Ella","Piso 21",183511,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
41,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",178557,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
42,Duele,"Alejandro Fernández",177366,https://open.spotify.com/track/6CFaze42M5wiTqMidNtJLE
43,Jeans,"Justin Quiles",168989,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
44,"Me La Avente","Carin Leon",168167,https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ
45,"La Casita","Banda MS de Sergio Lizárraga",166122,https://open.spotify.com/track/0vtYnEw1eJwW26BrBnOAYJ
46,"LA CANCIÓN","J Balvin",163275,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
47,"De Los Besos Que Te Di","Christian Nodal",162320,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
48,Tusa,"KAROL G",160096,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
49,"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",Wisin,154799,https://open.spotify.com/track/6dyUkkcyYuDiHOwIRXYOJm
50,"Mi Cuarto","Jerry Di",154401,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
51,"No Te Enamores - Remix",Milly,154228,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
52,Tú,"Carin Leon",148954,https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
53,"Ponte Pa' Mi","Justin Quiles",147491,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
54,"Mi Tío Snoop",Aleman,145540,https://open.spotify.com/track/48XgkAh1fkcZqA2EZWCDX6
55,"Agua de Jamaica",Maluma,145507,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr
56,"Ay, DiOs Mío!","KAROL G",144900,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
57,"Los No Tan Tristes","Nanpa Básico",144646,https://open.spotify.com/track/2iS1BUa0VwSil4uQ89cfst
58,"Canción Sin Miedo","Vivir Quintana",143338,https://open.spotify.com/track/5w3AsUEGoaCuBhDp14umuy
59,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,142795,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
60,TUY,"Cartel De Santa",141626,https://open.spotify.com/track/7IQB5Jkkf8bKW6BDdEu97N
61,Nada,"Cali Y El Dandee",141465,https://open.spotify.com/track/4K8cyoCDovlc4FvtUr2Hfx
62,"Además de Mí - Remix",Rusherking,141342,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
63,"Ramito De Violetas","Mi Banda El Mexicano",140455,https://open.spotify.com/track/6sRaqq9SYsSTPvrWkL1sRy
