,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",768867,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
2,"It's You","Ali Gatie",436216,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
3,"Goodbyes (Feat. Young Thug)","Post Malone",357791,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
4,"Beautiful People (feat. Khalid)","Ed Sheeran",343937,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
5,"I Don't Care (with Justin Bieber)","Ed Sheeran",340364,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
6,"Boy With Luv (feat. Halsey)",BTS,295965,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
7,"Someone You Loved","Lewis Capaldi",286884,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
8,"Mimpi (feat. Alif)",K-Clique,277163,https://open.spotify.com/track/13j4wsiG0BjaDb04YZWIXV
9,"bad guy (with Justin Bieber)","Billie Eilish",257123,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
10,"How Do You Sleep?","Sam Smith",240284,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
11,"On My Way","Alan Walker",239290,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
12,"Call You Mine","The Chainsmokers",234566,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
13,Moonlight,"Ali Gatie",201561,https://open.spotify.com/track/72pv4E0eBIcE9z8V4tPHui
14,Sumpah,"Naim Daniel",201545,https://open.spotify.com/track/6JgWlZevrjV6nr6NiNf5Ji
15,"Kill This Love",BLACKPINK,196399,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
16,"Cinta Luar Biasa",Andmesh,191226,https://open.spotify.com/track/1Hy1CBFRXYvFL7eJT5MLlG
17,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,178810,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk
18,Sanctuary,Joji,178156,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3
19,"Pulang - Piano Version",Insomniacks,175460,https://open.spotify.com/track/5aqyWj7t8VP1OXfazIdVPV
20,"Never Really Over","Katy Perry",172683,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
21,I.F.L.Y.,Bazzi,171977,https://open.spotify.com/track/4R9ATNRRl1uth17i5qDCc0
22,"If I Can't Have You","Shawn Mendes",168682,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
23,"bad guy","Billie Eilish",166685,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
24,Lily,"Alan Walker",162477,https://open.spotify.com/track/0lks2Kt9veMOFEAPN0fsqN
25,"You Need To Calm Down","Taylor Swift",157781,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
26,"Find U Again (feat. Camila Cabello)","Mark Ronson",157435,https://open.spotify.com/track/5Uw7Dut2lZfexn3Y09swpf
27,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",152698,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
28,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",149368,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
29,"I Love You 3000","Stephanie Poetri",147930,https://open.spotify.com/track/3znQ9i61vfe2E7URHlOiyc
30,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",146196,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
31,"Empty Space","James Arthur",141117,https://open.spotify.com/track/1uru26I2JKd2mQZt0MDCUe
32,"So Am I","Ava Max",140772,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
33,"7 rings","Ariana Grande",133041,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
34,"Kisah Cinta Kita","Hafiz Suip",132557,https://open.spotify.com/track/0IrKOI4EEUtOcbBgJPoGfy
35,"SLOW DANCING IN THE DARK",Joji,131462,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
36,Easier,"5 Seconds of Summer",126537,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
37,Sucker,"Jonas Brothers",124195,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
38,"Antisocial (with Travis Scott)","Ed Sheeran",123611,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
39,comethru,"Jeremy Zucker",122954,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
40,"Sad Forever",Lauv,120054,https://open.spotify.com/track/4a5zacCsHLtMC2mcxkqWwn
41,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",119743,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
42,"i'm so tired...",Lauv,117469,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
43,"Way Back Home (feat. Conor Maynard) - Sam Feldt Edit",SHAUN,116143,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk
44,Paradise,Bazzi,115570,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
45,"Without Me",Halsey,114576,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
46,"Falling Like The Stars","James Arthur",113138,https://open.spotify.com/track/15xWRPHQMeqgdkGzInx3PY
