,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heartbreak Anniversary",Giveon,68305,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
2,"Leave The Door Open","Bruno Mars",60241,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
3,"drivers license","Olivia Rodrigo",54920,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
4,"At My Worst","Pink Sweat$",46413,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
5,"Hold On","Justin Bieber",36461,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
6,"Save Your Tears","The Weeknd",33010,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
7,"Love Is Gone - Acoustic",SLANDER,31153,https://open.spotify.com/track/7F1CiKqrY44kh5cDqwHOnx
8,Arcade,"Duncan Laurence",30511,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
9,"Life Goes On",BTS,29615,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
10,"Astronaut In The Ocean","Masked Wolf",27571,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
11,Heather,"Conan Gray",27389,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
12,"you broke me first","Tate McRae",26570,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
13,telepatía,"Kali Uchis",25764,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
14,"Mungkin Hari Ini Esok Atau Nanti",Anneth,25179,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
15,"Good Days",SZA,24743,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
16,positions,"Ariana Grande",24260,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
17,34+35,"Ariana Grande",23856,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
18,Dynamite,BTS,23644,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
19,"Lonely (with benny blanco)","Justin Bieber",21707,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
20,"Someone You Loved","Lewis Capaldi",20888,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,"Why Why Why",iKON,20235,https://open.spotify.com/track/0br4r9VlPdofrWXxPorlYd
22,"Levitating (feat. DaBaby)","Dua Lipa",20031,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
23,Sofia,Clairo,20024,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
24,Mimpi,"Haqiem Rusli",19955,https://open.spotify.com/track/7ymW0G0fwclFDcik2TnUKP
25,"Stuck with U (with Justin Bieber)","Ariana Grande",18408,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
26,"Lovesick Girls",BLACKPINK,18132,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
27,Anyone,"Justin Bieber",18058,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
28,Purnama,"Naim Daniel",17880,https://open.spotify.com/track/6uwnCniz3o97vni5DCMXdT
29,"Before You Go","Lewis Capaldi",17621,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
30,Streets,"Doja Cat",17570,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
31,"this is how you fall in love","Jeremy Zucker",17517,https://open.spotify.com/track/0742PcMPo2Akmo4vHC29VZ
32,Grey,"Why Don't We",16948,https://open.spotify.com/track/2J4DpqJCIuuM9WjtWHbjvd
33,"How You Like That",BLACKPINK,16924,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
34,"We're Good","Dua Lipa",16522,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
35,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",15687,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
36,Tomboy,"Destiny Rogers",15649,https://open.spotify.com/track/5Ti3fqGTfjUsSdylFNy0Ng
37,Teman,"Iman Troye",15195,https://open.spotify.com/track/7GkU7gkhmocy1lVFSkoi95
38,Pulang,K-Clique,15077,https://open.spotify.com/track/4XIs2mOTfd5pzTw5zlCbJc
39,"Mood (feat. iann dior)",24kGoldn,15032,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
40,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",15002,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
41,"Calling My Phone","Lil Tjay",14613,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
42,"Blinding Lights","The Weeknd",14482,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
43,"Be Kind (with Halsey)",Marshmello,14433,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
44,Memories,"Maroon 5",14283,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
45,Copines,"Aya Nakamura",14244,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
46,"Say You Won't Let Go","James Arthur",13695,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
47,"Pretty Savage",BLACKPINK,13055,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
48,"Ice Cream (with Selena Gomez)",BLACKPINK,12834,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
49,"What’s Next",Drake,12818,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
50,"Therefore I Am","Billie Eilish",12794,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
51,"Boy With Luv (feat. Halsey)",BTS,12792,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
52,Up,"Cardi B",12020,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
53,willow,"Taylor Swift",11997,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
54,"WITHOUT YOU","The Kid LAROI",11862,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
55,"If the World Was Ending - feat. Julia Michaels","JP Saxe",11590,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
56,"I CAN'T STOP ME",TWICE,11585,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
57,"Mad at Disney","salem ilese",11565,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
58,Weak,"Larissa Lambert",11524,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
59,"Fallin’ (Adrenaline)","Why Don't We",11198,https://open.spotify.com/track/6nfqlFOMiWthaOEa53uU0v
60,"It's You","Ali Gatie",11136,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
61,Maniac,"Conan Gray",10926,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
