,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Pa Mí - Remix",Dalex,25097,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
2,"Con Calma","Daddy Yankee",24450,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
3,"Calma - Remix","Pedro Capó",20417,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
4,"Verte Ir","DJ Luian",19656,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
5,Secreto,"Anuel AA",16853,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
6,Desconocidos,"Mau y Ricky",14619,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
7,Rebota,Guaynaa,14052,https://open.spotify.com/track/2YRvdf9cdS88y1wB1WhKoE
8,"Te Vi","Piso 21",13840,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
9,"Baila Baila Baila",Ozuna,12919,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
10,"Ella Quiere Beber - Remix","Anuel AA",12796,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
11,"Adan y Eva","Paulo Londra",12742,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
12,"Ni Gucci Ni Prada","Kenny Man",12305,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ
13,HP,Maluma,12050,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
14,"MIA (feat. Drake)","Bad Bunny",11999,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
15,Caro,"Bad Bunny",11588,https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM
16,"Un Año","Sebastian Yatra",10942,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
17,"Boy With Luv (feat. Halsey)",BTS,10402,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
18,Bubalu,"Becky G",9540,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
19,Adictiva,"Daddy Yankee",9502,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
20,"7 rings","Ariana Grande",9298,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
21,Amanece,"Anuel AA",9041,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
22,"Dancin (feat. Luvli) - Krono Remix","Aaron Smith",8953,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM
23,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",8782,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
24,"Esclavo de Tus Besos","Manuel Turizo",8384,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
25,"Si Estuviésemos Juntos","Bad Bunny",8280,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
26,Sola,"Manuel Turizo",8217,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN
27,"Que Mas Pues - Remix",Sech,8215,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
28,"Vaina Loca",Ozuna,8066,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
29,"Si Se Da","Myke Towers",8018,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
30,"Pa Olvidarte (feat. Manuel Turizo) - Remix",ChocQuibTown,7979,https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX
31,"Te Robaré","Nicky Jam",7938,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
32,"Otro Trago",Sech,7800,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
33,"Contra La Pared","Sean Paul",7750,https://open.spotify.com/track/3JjaofJ0lCeEsFSZqppzOp
34,Créeme,"KAROL G",7677,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
