,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DÁKITI,"Bad Bunny",8332,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,"LA NOCHE DE ANOCHE","Bad Bunny",6919,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
3,Bandido,"Myke Towers",6605,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
4,telepatía,"Kali Uchis",5452,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
5,BICHOTA,"KAROL G",4878,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
6,"Ella No Es Tuya - Remix","Rochy RD",4511,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
7,"BOOKER T","Bad Bunny",4386,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
8,"Hecha Pa' Mi",Boza,4342,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
9,"TE MUDASTE","Bad Bunny",3955,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
10,"No Te Enamores - Remix",Milly,3819,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
11,Reloj,"Rauw Alejandro",3769,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
12,Hawái,Maluma,3734,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
13,"Chica Ideal","Sebastian Yatra",3712,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
14,"Mi Niña",Wisin,3302,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
15,"La Tóxica",Farruko,3283,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
16,"La Curiosidad","Jay Wheeler",3148,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
17,"La Nota","Manuel Turizo",3095,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
18,"Hasta Abajo","Kevin Roldan",3010,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
19,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",3001,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
20,"Relación - Remix",Sech,2886,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
21,"Blinding Lights","The Weeknd",2852,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
22,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",2744,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
23,LOCATION,"KAROL G",2636,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
24,"Aquí Abajo","Christian Nodal",2625,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
25,"Se Te Nota (with Guaynaa)","Lele Pons",2591,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
26,"Machu Picchu",Camilo,2582,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
27,"Vida de Rico",Camilo,2562,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
28,BEBÉ,Camilo,2536,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
29,"Mi Cuarto","Jerry Di",2510,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
30,"CÓMO SE SIENTE - Remix","Jhay Cortez",2486,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
31,"HACIENDO QUE ME AMAS","Bad Bunny",2461,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
32,"Tattoo - Remix with Camilo","Rauw Alejandro",2451,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
33,"LA CANCIÓN","J Balvin",2429,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
34,"Save Your Tears","The Weeknd",2423,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
35,"Ay, DiOs Mío!","KAROL G",2343,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
36,"La Jeepeta - Remix","Nio Garcia",2289,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
37,"Parce (feat. Justin Quiles)",Maluma,2289,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
38,"Ropa Cara",Camilo,2201,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
39,"A Tu Merced","Bad Bunny",2164,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
40,"Si Veo a Tu Mamá","Bad Bunny",2147,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
41,"Una Locura",Ozuna,2144,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
42,"La Santa","Bad Bunny",2088,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
43,"Dime Cómo Quieres","Christian Nodal",2076,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
44,Despeinada,Ozuna,2024,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
45,Jeans,"Justin Quiles",2022,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
46,"Además de Mí - Remix",Rusherking,2006,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
47,"La Forma en Que Me Miras","Super Yei",2006,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
48,Caramelo,Ozuna,2003,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
49,"Pa' Olvidarme De Ella","Piso 21",2003,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
50,Fiel,"Los Legendarios",1996,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
51,"Si Estuviésemos Juntos","Bad Bunny",1897,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
52,"drivers license","Olivia Rodrigo",1858,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
53,Safaera,"Bad Bunny",1832,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
54,"Cabrón y Vago - En Vivo","El Fantasma",1815,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
55,"De Los Besos Que Te Di","Christian Nodal",1807,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
56,Tusa,"KAROL G",1800,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
57,"No Me Conoce - Remix","Jhay Cortez",1760,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
58,Vete,"Bad Bunny",1724,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
59,Rojo,"J Balvin",1627,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
60,Ignorantes,"Bad Bunny",1605,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
61,PROBLEMA,"Daddy Yankee",1596,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
62,"Quiéreme Mientras Se Pueda","Manuel Turizo",1578,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
63,Jangueo,"Alex Rose",1575,https://open.spotify.com/track/1bRpSCFv6P2OUhciByeRYR
