,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,501,"Bilal Wahib",316328,https://open.spotify.com/track/0Fl4PBfIwC5G1IQAF1luUm
2,"Blijven Slapen",Snelle,272367,https://open.spotify.com/track/1Fc6lVQFPOcEVz3QWEzXWL
3,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",222112,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
4,"drivers license","Olivia Rodrigo",200246,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
5,Goud,"Suzan & Freek",181365,https://open.spotify.com/track/3aViSiRTiK1e5OqJtUk3MS
6,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,169907,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
7,"WITHOUT YOU","The Kid LAROI",166358,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
8,"The Business",Tiësto,151194,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
9,"Als Ik Je Weer Zie","Thomas Acda",148970,https://open.spotify.com/track/3yraHvsUkmnJjGhOrx1CSg
10,"Nu Wij Niet Meer Praten","Jaap Reesema",145432,https://open.spotify.com/track/13UfB1tm7QYrhtW8FhPYmW
11,Bakstenen,Lijpe,131268,https://open.spotify.com/track/54CF09pUQfkmjuaGCvoX49
12,"All We Got (feat. KIDDO)","Robin Schulz",123164,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
13,MANSORY,Lijpe,117779,https://open.spotify.com/track/1pnjvEwTPRCc3luh7K6nXC
14,"Love Not War (The Tampa Beat)","Jason Derulo",115451,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
15,"Paradise (feat. Dermot Kennedy)",MEDUZA,112393,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
16,"Your Love (9PM)",ATB,111310,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
17,"Cover Me In Sunshine",P!nk,107646,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
18,Handrem,Lijpe,104678,https://open.spotify.com/track/1P8fQSLScyWEayKBNEuEzX
19,"Astronaut In The Ocean","Masked Wolf",103909,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
20,Anyone,"Justin Bieber",102983,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
21,"Floating Through Space",Sia,102789,https://open.spotify.com/track/0XwSUpdrF7nR7hVxbDs7mb
22,"We're Good","Dua Lipa",100561,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
23,"Hold On","Justin Bieber",100483,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
24,"In De Schuur",Snelle,99774,https://open.spotify.com/track/0NuAnAqjZjuGtcWXJOxUyl
25,"you broke me first","Tate McRae",96449,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
26,"Head & Heart (feat. MNEK)","Joel Corry",92263,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
27,"Van De Buurt",Lijpe,91961,https://open.spotify.com/track/3ce3e9LC9cfCUCn5EmvmlZ
28,"Ven Ven","Rolf Sanchez",88573,https://open.spotify.com/track/3upYG0cy9J2QhyV4GgV37x
29,Goosebumps,HVME,88451,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
30,"My Head & My Heart","Ava Max",87334,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
31,"Save Your Tears","The Weeknd",84336,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
32,"Patek / RM",Lijpe,82774,https://open.spotify.com/track/3F1uR73KiJtxJgMgHrtHGq
33,"Van A naar B",Lijpe,81303,https://open.spotify.com/track/4cUvYiRC9gLHNzkd1pnb7v
34,Afterglow,"Ed Sheeran",81009,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
35,"Zeg Alleen Niks",Lijpe,79873,https://open.spotify.com/track/3CgM2SsRgAMmZEuKA1Xxtc
36,"Calling My Phone","Lil Tjay",77198,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
37,"Pressure (feat. Tove Lo)","Martin Garrix",76750,https://open.spotify.com/track/4ga4WvRNhMsIL38pkBbnIN
38,Vuur,Broederliefde,74014,https://open.spotify.com/track/78ifqSSoGvh3EGzBnC0fKL
39,"Hawái - Remix",Maluma,71961,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
40,"Slaap Op Papier",Lijpe,71929,https://open.spotify.com/track/0z4QM39rJxlgSCamfWd7ws
41,Hypnotized,"Purple Disco Machine",71713,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
42,"Get Out My Head","Shane Codd",71027,https://open.spotify.com/track/055Mme9ReKK99jRFA5UJ55
43,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,69479,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
44,"Remember That Night?","Sara Kays",69349,https://open.spotify.com/track/1nYzjrdVQ8RpF93M0jPFW7
45,"Mood (feat. iann dior)",24kGoldn,69332,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
46,"Leave The Door Open","Bruno Mars",68631,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
47,"Door De Wind","Miss Montreal",68253,https://open.spotify.com/track/3h7NZT1CATbn4GqUs51vwf
48,"Dragon Roll",Frenna,66909,https://open.spotify.com/track/2fCdtNreNptDAZnisSOLpX
49,"Breng Mij Terug",Esko,64087,https://open.spotify.com/track/5uZbid9f5TiXCLUP0I9Sv3
50,"Lifestyle (feat. Adam Levine)","Jason Derulo",62512,https://open.spotify.com/track/0osvOdeD3YXZiWkT8MKolJ
51,"Blijf Nog Even Hier (feat. Paskal Jakobsen)",Tabitha,62438,https://open.spotify.com/track/49Kh1urdQ6y3ozAhYISnBv
52,"De Overkant","Suzan & Freek",62369,https://open.spotify.com/track/4afGO0WTInDhK2C3dolz8z
53,"Blinding Lights","The Weeknd",61186,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
54,Maandag,Frenna,60156,https://open.spotify.com/track/6IoyOudReIneb54jRx7rCN
55,"Roller Coaster","Danny Vera",59896,https://open.spotify.com/track/1z2HAz6JcwfGHKMSgKEA3D
56,Michelin,Lijpe,59782,https://open.spotify.com/track/3r4FufPY94oqKRIyeBpTN8
57,"Prisoner (feat. Dua Lipa)","Miley Cyrus",57865,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
58,"Achter Standbeen",Lijpe,57212,https://open.spotify.com/track/0DblcoJ17Ph1ZjB006kF1C
59,Tijdloos,Lijpe,56030,https://open.spotify.com/track/3df54nxVscnLlot2yMVsx6
60,"To Love Somebody","Tim Dawn",56018,https://open.spotify.com/track/6j8FjzwlWpr1SlDnN5IDzj
61,"What’s Next",Drake,55463,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
62,"Als Ik Je Niet Zie",Kevin,55234,https://open.spotify.com/track/3WPORcLSNGsSUsIJejEFpJ
63,Whoopty,CJ,54861,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
64,"Niemand Begrijpt",Lijpe,53651,https://open.spotify.com/track/0IvHQZrWzsa3xs7BR8fHOO
65,"GIRL LIKE ME","Black Eyed Peas",53327,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
66,"Lonely (with benny blanco)","Justin Bieber",51620,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
67,BED,"Joel Corry",50581,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
68,FaceTime,Frenna,50551,https://open.spotify.com/track/04LTgSJevLUTzAIeR1N2Jy
69,"Dansen Aan De Gracht",Dopebwoy,49731,https://open.spotify.com/track/294vYKqEypCShc8VjoPW3i
70,"Learning To Fly",Sheppard,48887,https://open.spotify.com/track/0WX97arXDCDGFE97iADJF1
71,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,48294,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
72,"Levitating (feat. DaBaby)","Dua Lipa",47854,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
