,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Svag,"Victor Leksell",710132,https://open.spotify.com/track/5SY5BWTxbDqFouuAdelFV9
2,Karantene,TIX,696962,https://open.spotify.com/track/6sMMfGxa9tB59dMEjEJ4nC
3,"Blinding Lights","The Weeknd",693485,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Toosie Slide",Drake,673549,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
5,"Roses - Imanbek Remix","SAINt JHN",586089,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,"Kaller På Deg",TIX,535433,https://open.spotify.com/track/0lnksmEu1sa7t16YwhIP10
7,"Like It Is",Kygo,452498,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
8,"Kings & Queens","Ava Max",444433,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
9,"In Your Eyes","The Weeknd",416206,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
10,"End of Time",K-391,399452,https://open.spotify.com/track/67O8CWXxPsfz8orZVGMQwf
11,"I'll Wait",Kygo,399406,https://open.spotify.com/track/6Q3K9gVUZRMZqZKrXovbM2
12,Josefine,"Herman Flesvig",391958,https://open.spotify.com/track/5xU6CXufU7wGRxsET3gLTB
13,"Dance Monkey","Tones And I",384354,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,"Blueberry Faygo","Lil Mosey",383066,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
15,"death bed (coffee for your head)",Powfu,375248,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
16,"Don't Start Now","Dua Lipa",358857,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
17,"Bad Child","Tones And I",355673,https://open.spotify.com/track/1qCmZnC1FUpNgOydIzqIPC
18,Supalonely,BENEE,332209,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
19,Salt,"Ava Max",327262,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
20,"Heading Home","Alan Walker",320510,https://open.spotify.com/track/22O2Zdfj3jnJZDSzlDMAJp
21,"Someone You Loved","Lewis Capaldi",319189,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,"If the World Was Ending - feat. Julia Michaels","JP Saxe",305892,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
23,Haugenstua,"Herman Flesvig",300999,https://open.spotify.com/track/0GFOW30WB6SsPoeOlZdDPl
24,"The Box","Roddy Ricch",296861,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
25,DANCE,CLMD,286096,https://open.spotify.com/track/6TfeXwJihJRuBW3mFpib6J
26,"Boss Bitch","Doja Cat",279368,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
27,"Say So","Doja Cat",278973,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
28,Physical,"Dua Lipa",264243,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
29,"Break My Heart","Dua Lipa",262948,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
30,"Sunday Best",Surfaces,257070,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
31,"In Your Eyes (feat. Alida)","Robin Schulz",245556,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
32,"Before You Go","Lewis Capaldi",243191,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
33,"Intentions (feat. Quavo)","Justin Bieber",236205,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
34,"everything i wanted","Billie Eilish",231449,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
35,"Alone, Pt. II","Alan Walker",227194,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
36,Valhalla,Ringnes-Ronny,224575,https://open.spotify.com/track/1icRHA6kFSipRbZREQPaA0
37,Skechers,DripReport,223522,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
38,Bruises,"Lewis Capaldi",220680,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
39,Jævlig,TIX,220156,https://open.spotify.com/track/2Pckb69I4iMmL24jZ2KO4D
40,"I Do","Astrid S",217776,https://open.spotify.com/track/6yKkgZBuakFy6SPtsZBR5H
41,Falling,"Trevor Daniel",208319,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
42,Savage,"Megan Thee Stallion",199916,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
43,Boyfriend,"Selena Gomez",193262,https://open.spotify.com/track/4QnC1bIaMSfDQvF4XDhV5M
44,"Typen Din","Vidar Villa",191111,https://open.spotify.com/track/0FF9IS0V311A2vMpNIzFip
45,"BELIEVE IT",PARTYNEXTDOOR,190365,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
46,Memories,"Maroon 5",189632,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
47,Shallow,"Lady Gaga",186264,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
48,Knockout,Tungevaag,182850,https://open.spotify.com/track/1YFwmEAnSUx9ZAgWT39i1L
49,"Gamle Dager","Morgan Sulele",180432,https://open.spotify.com/track/5fZVFLmDH1PMH8txMYPTVG
50,"bad guy","Billie Eilish",180359,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
51,"WHATS POPPIN","Jack Harlow",161623,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
52,Gatelongs,Rotlaus,156730,https://open.spotify.com/track/4oi4BFWbw2r9el8D9aVue3
53,"Godzilla (feat. Juice WRLD)",Eminem,151419,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
54,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",145948,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
55,Circles,"Post Malone",138442,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
56,Attention,Ulrikke,137794,https://open.spotify.com/track/3Irt43mvuVwozBsllZlKCf
57,ROXANNE,"Arizona Zervas",135926,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
58,Selfish,"Madison Beer",135636,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
59,"Life Is Good (feat. Drake)",Future,134710,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
60,July,"Noah Cyrus",134088,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
61,"Be Happy",CLMD,128424,https://open.spotify.com/track/1WQuhznklzuM2xgGoGkg7m
62,"Midnight (feat. Liam Payne)",Alesso,125155,https://open.spotify.com/track/4ZTTUAjJCd4NMZmIU7RB4c
63,"Adore You","Harry Styles",120745,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
64,Señorita,"Shawn Mendes",120667,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
65,"lovely (with Khalid)","Billie Eilish",120196,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
66,Complicated,"Miss Li",119960,https://open.spotify.com/track/14RLxOJGYs6BkLnvZYZisy
67,"Hvem Er Hun",Arif,117698,https://open.spotify.com/track/2zTXGnJsTwSp1TKcs5g6Xb
68,"when the party's over","Billie Eilish",116281,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
69,"Always Remember Us This Way","Lady Gaga",114567,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
70,"Breaking Me",Topic,113296,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
71,"Level of Concern","Twenty One Pilots",112335,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
72,"One More Night",Milos,111558,https://open.spotify.com/track/11ZoqTPkTgngprODZuxgOv
73,"Happiest Year","Jaymes Young",110546,https://open.spotify.com/track/5kcvBnt6DPX3AMEsCx1qDh
74,"Be Alright","Dean Lewis",109068,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
75,HALLO,Isah,108126,https://open.spotify.com/track/1WjLQsbfei4kk9OaVxtfIB
76,"Lose Control",MEDUZA,107370,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
77,"Raske Briller","Nicolay Ramm",107183,https://open.spotify.com/track/5lwU311GwiiWBhcXrdy1R4
78,"Neste Sommer",TIX,107081,https://open.spotify.com/track/5Z2B8cCZagHiTNEmrEO4Pb
79,"Higher Love",Kygo,105771,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
80,"What If I Told You That I Love You","Ali Gatie",104799,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
81,"Det er fredag","Herman Flesvig",104598,https://open.spotify.com/track/7g35s50bVXtkp6zhihmvcu
82,"After Hours","The Weeknd",103270,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
83,Wild,Raylee,102186,https://open.spotify.com/track/3DHB1IzSIzH8XN3xgUJaWk
84,"BlimE - Mer Enn God Nok","Stina Talling",101341,https://open.spotify.com/track/2Sk1QwXo0FMb8kwWahCSMW
85,"FIND MY WAY",DaBaby,101068,https://open.spotify.com/track/1lGHa2pwYzxQHFBUynhLtO
86,"Sykepleierinnen (Sykehuset 2020)","El Papi",100072,https://open.spotify.com/track/7DojZJuXe8JNVoesQKsMU1
87,"I'm Coming","Tove Lo",99547,https://open.spotify.com/track/4C6EPWGYM3K3IIv4xzPL2X
88,"Lose You To Love Me","Selena Gomez",99078,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
89,Play,K-391,97464,https://open.spotify.com/track/4jp4Z02kzzg8gK0NmDGgml
90,"Kiss Somebody","Julie Bergan",96557,https://open.spotify.com/track/17XU1PTSv4OfcBUE8rNYWm
91,"Jag Vil Ha Dig",Ringnes-Ronny,96515,https://open.spotify.com/track/0IiWe6NRNBB7QbrCcgUCZX
92,"Creep - mint Singles",R3HAB,96031,https://open.spotify.com/track/5LRxdeykOfvKb1aWGrrGyo
93,"No Time To Die","Billie Eilish",95373,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
94,"Thank You [Not So Bad]",VIZE,93977,https://open.spotify.com/track/4AqN8IdKCfItCSbuaFch81
95,Promise,Mio,92605,https://open.spotify.com/track/4uVFIu8QxZVGSKJhCsg4WF
96,"Domen 2019",Soppgirobygget,92104,https://open.spotify.com/track/7cdzfYrqbbMC6auCV0yAQr
97,"Lay By Me",Ruben,92025,https://open.spotify.com/track/5xQ1yxKzTuPcSNO9FP0lNS
98,"hot girl bummer",blackbear,89212,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
99,"CITY OF ANGELS",24kGoldn,89135,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
100,"Hotel Walls","Smith & Thell",88620,https://open.spotify.com/track/7MUUzpdrSa8UUEpyS1dGUq
101,"ily (i love you baby) (feat. Emilee)","Surf Mesa",88313,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
102,"Trenger en mann","Staysman & Lazz",88090,https://open.spotify.com/track/3ILRzR8SwJajRjrcySym2F
103,"Helt Ærlig","Morgan Sulele",88022,https://open.spotify.com/track/00NVYE5PrMpR1gVlC8zPZV
104,Years,"Astrid S",86934,https://open.spotify.com/track/5WEAZtjEufELtaxqYcqCJg
105,"Ride It",Regard,86669,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
106,"HIGHEST IN THE ROOM","Travis Scott",86493,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
107,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",86260,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
108,Suicidal,"YNW Melly",85623,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
109,"Come Over",Dagny,85569,https://open.spotify.com/track/2Keb0bshAu41yR1bK4u8i9
110,"Beautiful People (feat. Khalid)","Ed Sheeran",85474,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
111,Falling,"Harry Styles",84829,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
112,"Sweet but Psycho","Ava Max",84500,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
113,"Peligrosa (Mimosas)",Matoma,84373,https://open.spotify.com/track/5xCGpVb4IYAREVhyT2zqyH
114,Spøkelser,Cezinando,83603,https://open.spotify.com/track/4MsDI3NQI8jKOdj7QR1D92
115,"Ballin' (with Roddy Ricch)",Mustard,83340,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
116,"Some Say",Nea,83283,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
117,Peru,Tungevaag,83130,https://open.spotify.com/track/5GTboKbndutgM0oJOMpzTC
118,"Jocelyn Flores",XXXTENTACION,82498,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
119,"Du ga mæ viljestyrke","Kristian Kristensen",81978,https://open.spotify.com/track/4AuJ78qR1JaNvveL2DTC70
120,"Lucid Dreams","Juice WRLD",81747,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
