,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",91121,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
2,"Jeg glemmer deg aldri - fra Rådebank","Emma Steinbakken",89572,https://open.spotify.com/track/1oKXshzJtz3zDA6dJY8VlZ
3,"drivers license","Olivia Rodrigo",81707,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
4,"Sju Fjell","El Papi",79481,https://open.spotify.com/track/04k0QThdHEp7kg3FpXVh0Q
5,"Save Your Tears","The Weeknd",72209,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,"Ut Av Mørket",TIX,63149,https://open.spotify.com/track/4ztkWLky8oMwqu2fSLRfwg
7,"WITHOUT YOU","The Kid LAROI",61087,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
8,"Den fineste Chevy'n (feat. Maria Mena)","Halva Priset",59225,https://open.spotify.com/track/2Y7npn076wSZJgH8HVr2B2
9,"Hold On","Justin Bieber",57646,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
10,"I Need a Man","Hver gang vi møtes",56333,https://open.spotify.com/track/3CjgnAIAtDSpabk4WxU5Tq
11,"Fallen Angel",TIX,56294,https://open.spotify.com/track/1ISMa0THMDKFBq2UMfm02e
12,"Astronaut In The Ocean","Masked Wolf",56136,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
13,"Calling My Phone","Lil Tjay",51631,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
14,"The Business",Tiësto,51286,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
15,MONUMENT,KEiiNO,46518,https://open.spotify.com/track/4gg0IZDrxQUMzpyLIxF9qI
16,Afterski,Soppgirobygget,45506,https://open.spotify.com/track/72gCZzPrTYIwfpztcL64rP
17,"Ærmen i kærmen",Hagle,44611,https://open.spotify.com/track/6KYDEP132TspYEaEvobbuQ
18,"Your Love (9PM)",ATB,44465,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
19,Sorry,"Alan Walker",43818,https://open.spotify.com/track/4dPjk0ZHgfeEzDyh2YT6jO
20,Arcade,"Duncan Laurence",43603,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
21,lonely,"Maria Petra",42656,https://open.spotify.com/track/4HBkmhv0wxYXz2BGH0aqgU
22,Somebody,Dagny,42593,https://open.spotify.com/track/6hCGVqheUBzymvfA7IB4Y9
23,"Mood (feat. iann dior)",24kGoldn,41036,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
24,"Leave The Door Open","Bruno Mars",40891,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
25,Svag,"Victor Leksell",40560,https://open.spotify.com/track/4SS4YfDAEQG0fZAe1xfgn3
26,"you broke me first","Tate McRae",39234,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
