,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"WAP (feat. Megan Thee Stallion)","Cardi B",426393,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
2,"Savage Love (Laxed - Siren Beat)","Jawsh 685",326578,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
3,"Mood Swings (feat. Lil Tjay)","Pop Smoke",230144,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
4,"Laugh Now Cry Later (feat. Lil Durk)",Drake,227243,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
5,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,221632,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
6,"Go Crazy","Chris Brown",219475,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
7,"In The Air",L.A.B.,205141,https://open.spotify.com/track/4d2tgzpNhQO8HIxC4YLnBe
8,"Breaking Me",Topic,182752,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
9,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",178080,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
10,"Roses - Imanbek Remix","SAINt JHN",173792,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
11,"Blinding Lights","The Weeknd",170964,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
12,"Watermelon Sugar","Harry Styles",169336,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
13,"Wishing Well","Juice WRLD",160286,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
14,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",156257,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
15,"Smile (with The Weeknd)","Juice WRLD",153238,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
16,"Come & Go (with Marshmello)","Juice WRLD",143653,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
17,"Stuck with U (with Justin Bieber)","Ariana Grande",143323,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
18,Controller,L.A.B.,129424,https://open.spotify.com/track/2DkxWMmdvS3f5hbz4UGQLO
19,"Mood (feat. iann dior)",24kGoldn,128338,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
20,"death bed (coffee for your head)",Powfu,127016,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
21,"Before You Go","Lewis Capaldi",123443,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
22,"Someone You Loved","Lewis Capaldi",122615,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,"Rain On Me (with Ariana Grande)","Lady Gaga",122448,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
24,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",120651,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
25,Supalonely,BENEE,118138,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
26,"Blueberry Faygo","Lil Mosey",117777,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
27,"my future","Billie Eilish",116978,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
28,Heather,"Conan Gray",115246,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
29,"Catching Feelings (feat. SIX60)","Drax Project",113368,https://open.spotify.com/track/0gCNs3jCCDhObAK0MRghtv
30,"Dance Monkey","Tones And I",113055,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
31,"Long Gone",SIX60,112409,https://open.spotify.com/track/4PFAQAuJ9dEgamYO88Zp9P
32,"ily (i love you baby) (feat. Emilee)","Surf Mesa",111719,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
33,"If the World Was Ending - feat. Julia Michaels","JP Saxe",110623,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
34,cardigan,"Taylor Swift",109729,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
35,"Head & Heart (feat. MNEK)","Joel Corry",109092,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
36,"Party Girl",StaySolidRocky,108521,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
37,"This City","Sam Fischer",107866,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
38,"Intentions (feat. Quavo)","Justin Bieber",107665,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
39,"Rover (feat. DTG)",S1mba,107345,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
40,"Break My Heart","Dua Lipa",106579,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
41,"Don't Start Now","Dua Lipa",103705,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
42,"Money Trees","Kendrick Lamar",103662,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
43,"Adore You","Harry Styles",98766,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
