,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Leave The Door Open","Bruno Mars",46486,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
2,"drivers license","Olivia Rodrigo",37897,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
3,"All She Wrote",SIX60,36205,https://open.spotify.com/track/2yI8xyHgyhCXyw0Vq98twb
4,"Heartbreak Anniversary",Giveon,34928,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
5,"Heat Waves","Glass Animals",31831,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
6,"Calling My Phone","Lil Tjay",29911,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
7,"Good Days",SZA,27820,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
8,"WITHOUT YOU","The Kid LAROI",26493,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
9,"Not My Neighbour","Niko Walters",26436,https://open.spotify.com/track/2Tf3a4gkBbrN2UbMNbwtdQ
10,"Why Oh Why",L.A.B.,25667,https://open.spotify.com/track/3TaGtHDHWQ7TfPpX0eJrtB
11,Controller,L.A.B.,23830,https://open.spotify.com/track/2DkxWMmdvS3f5hbz4UGQLO
12,"What’s Next",Drake,23612,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
13,Streets,"Doja Cat",23233,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
14,Up,"Cardi B",22252,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
15,"In The Air",L.A.B.,21441,https://open.spotify.com/track/4d2tgzpNhQO8HIxC4YLnBe
16,Sundown,SIX60,21417,https://open.spotify.com/track/4WEAdAPGiyI6LIMlHGfhdZ
17,Bang!,AJR,21036,https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
18,"Help Me Out",Kings,20944,https://open.spotify.com/track/1tkkNjRgaKPO9OnE3jC6UP
19,"Levitating (feat. DaBaby)","Dua Lipa",20866,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
20,"Fade Away",SIX60,20264,https://open.spotify.com/track/57fS5tDkIIsEhoBb8IcYF1
21,"Hold On","Justin Bieber",19536,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
22,"Mood (feat. iann dior)",24kGoldn,19394,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
23,"Save Your Tears","The Weeknd",19368,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
24,"Astronaut In The Ocean","Masked Wolf",19278,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
25,Anyone,"Justin Bieber",18864,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
26,"Wants and Needs (feat. Lil Baby)",Drake,18512,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
27,"We're Good","Dua Lipa",18360,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
28,"The Business",Tiësto,16925,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
