,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Bandido,"Myke Towers",146538,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
2,DÁKITI,"Bad Bunny",133375,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
3,"Hecha Pa' Mi",Boza,120817,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
4,"LA NOCHE DE ANOCHE","Bad Bunny",120394,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
5,911,Sech,105595,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
6,"Ella No Es Tuya - Remix","Rochy RD",92195,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
7,BICHOTA,"KAROL G",90572,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
8,"Follie Flow","Italian Somali",89840,https://open.spotify.com/track/5HJAOnMn4sXWlLwDFf0eCH
9,"La Nota","Manuel Turizo",82743,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
10,Reloj,"Rauw Alejandro",78894,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
11,"Otra Baby",Akim,78048,https://open.spotify.com/track/4f2nbpKWfnj7tNyL2Ihj9n
12,"Mi Niña",Wisin,70911,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
13,"No Te Enamores - Remix",Milly,69849,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
14,"Hasta Abajo","Kevin Roldan",63915,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
15,"Relación - Remix",Sech,63905,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
16,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",63784,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
17,"TE MUDASTE","Bad Bunny",62500,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
18,Hawái,Maluma,61704,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
19,"Una Locura",Ozuna,60564,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
20,LOCATION,"KAROL G",59235,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
21,"La Tóxica",Farruko,58617,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
22,"BOOKER T","Bad Bunny",57471,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
23,"La Curiosidad","Jay Wheeler",53457,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
24,Despeinada,Ozuna,51984,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
25,Fiel,"Los Legendarios",50534,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
26,Polvo,"Nicky Jam",50303,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
27,"Chica Ideal","Sebastian Yatra",49415,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
28,"Blinding Lights","The Weeknd",48176,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
29,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",45768,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
30,"Parce (feat. Justin Quiles)",Maluma,44570,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
31,Jeans,"Justin Quiles",44439,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
32,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",44249,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
33,Antes,"Anuel AA",44206,https://open.spotify.com/track/73O30uMI7n6DuzBmbtO7kC
34,"Fan de Tus Fotos","Nicky Jam",43214,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
35,"La Jeepeta - Remix","Nio Garcia",40945,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
36,"Save Your Tears","The Weeknd",40832,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
37,telepatía,"Kali Uchis",40606,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
38,"Tattoo - Remix with Camilo","Rauw Alejandro",40488,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
