,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Bandido,"Myke Towers",18968,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
2,DÁKITI,"Bad Bunny",16698,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
3,"LA NOCHE DE ANOCHE","Bad Bunny",16272,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
4,"Ella No Es Tuya - Remix","Rochy RD",16251,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
5,"Hecha Pa' Mi",Boza,15348,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
6,911,Sech,14999,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
7,telepatía,"Kali Uchis",11710,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
8,BICHOTA,"KAROL G",11524,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
9,"Otra Baby",Akim,10950,https://open.spotify.com/track/4f2nbpKWfnj7tNyL2Ihj9n
10,"La Nota","Manuel Turizo",10743,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
11,Reloj,"Rauw Alejandro",10288,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
12,"Follie Flow","Italian Somali",9995,https://open.spotify.com/track/5HJAOnMn4sXWlLwDFf0eCH
13,"No Te Enamores - Remix",Milly,9635,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
14,"Mi Niña",Wisin,9172,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
15,LOCATION,"KAROL G",8948,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
16,"Machu Picchu",Camilo,8846,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
17,"Hasta Abajo","Kevin Roldan",8678,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
18,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",8373,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
19,"Relación - Remix",Sech,8301,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
20,"TE MUDASTE","Bad Bunny",7785,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
21,"Una Locura",Ozuna,7706,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
22,Fiel,"Los Legendarios",7674,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
23,Hawái,Maluma,7078,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
24,Despeinada,Ozuna,6873,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
25,"BOOKER T","Bad Bunny",6834,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
26,"La Tóxica",Farruko,6804,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
27,"La Curiosidad","Jay Wheeler",6732,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
28,Polvo,"Nicky Jam",6374,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
29,PROBLEMA,"Daddy Yankee",6351,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
30,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",6231,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
31,"Parce (feat. Justin Quiles)",Maluma,6225,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
32,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",6123,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
33,"Chica Ideal","Sebastian Yatra",6079,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
34,"Fan de Tus Fotos","Nicky Jam",6046,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
35,Explícito,"Myke Towers",6044,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
36,"Blinding Lights","The Weeknd",5995,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
37,Antes,"Anuel AA",5675,https://open.spotify.com/track/73O30uMI7n6DuzBmbtO7kC
38,"Vida de Rico",Camilo,5583,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
39,Jeans,"Justin Quiles",5535,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
40,BEBÉ,Camilo,5461,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
41,"Save Your Tears","The Weeknd",5375,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
42,"drivers license","Olivia Rodrigo",5347,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
43,"Tattoo - Remix with Camilo","Rauw Alejandro",5316,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
44,"Ropa Cara",Camilo,5289,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
45,"Mi Cuarto","Jerry Di",5180,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
46,Caramelo,Ozuna,5013,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
47,"La Jeepeta - Remix","Nio Garcia",4866,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
48,"La Luz",Sech,4829,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
49,"Oh Mama - Premium",Farruko,4660,https://open.spotify.com/track/1En6OzqLa2XWiY1We4jHms
50,"Ay, DiOs Mío!","KAROL G",4587,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
51,"La Forma en Que Me Miras","Super Yei",4132,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
52,"CÓMO SE SIENTE - Remix","Jhay Cortez",3845,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
53,"Agua de Jamaica",Maluma,3829,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr
54,"En Tu Cuerpo - Remix",Lyanno,3812,https://open.spotify.com/track/3dEtfTtCXWW7N8WQ9FD29z
55,"HACIENDO QUE ME AMAS","Bad Bunny",3721,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
56,Streets,"Doja Cat",3674,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
57,"De Cora <3","Rauw Alejandro",3628,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
58,Hickey,"Rich Music LTD",3609,https://open.spotify.com/track/18vPa4e59Td4k020On5sqa
59,"Ponte Pa' Mi","Justin Quiles",3565,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
60,"Se Te Nota (with Guaynaa)","Lele Pons",3482,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
61,"Del Mar",Ozuna,3409,https://open.spotify.com/track/5cpJFiNwYyWwFLH0V6B3N8
62,"Más De La Una","Piso 21",3343,https://open.spotify.com/track/69Y5IZuBvGyzySFt5x7kCq
63,"Cuando Sera",Mora,3333,https://open.spotify.com/track/1UmZpd5navRsg2ukqCKJjc
64,"Quiéreme Mientras Se Pueda","Manuel Turizo",3159,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
65,Aloha,Maluma,3118,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
66,"GIRL LIKE ME","Black Eyed Peas",3114,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
67,"Mala Costumbre","Manuel Turizo",3092,https://open.spotify.com/track/70uX4beGHc1nQikXveOknp
68,Tusa,"KAROL G",3050,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
69,Ignorantes,"Bad Bunny",3019,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
70,"Además de Mí - Remix",Rusherking,2988,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
71,"No Hago Coro",Ghetto,2986,https://open.spotify.com/track/2VCqHhpgat5QoYOB9chpt1
72,Enchule,"Rauw Alejandro",2919,https://open.spotify.com/track/0S9ZVNTNRzLMgb96tmmG1u
73,"Leave The Door Open","Bruno Mars",2899,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
74,"LA CANCIÓN","J Balvin",2899,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
75,+Linda,Dalex,2836,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
76,"Si Me Dices Que Sí",Reik,2818,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
77,Diosa,"Myke Towers",2785,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
78,Favorito,Camilo,2782,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
79,"Sigues Con El","Dímelo Flow",2755,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
80,Relación,Sech,2733,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
81,Dynamite,BTS,2731,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
82,Rojo,"J Balvin",2730,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
83,"Hold On","Justin Bieber",2717,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
