,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Hawái,Maluma,1308834,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
2,"Vida de Rico",Camilo,1002608,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
3,"Relación - Remix",Sech,935005,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
4,"Ay, DiOs Mío!","KAROL G",841890,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
5,"La Curiosidad","Jay Wheeler",833864,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
6,Despeinada,Ozuna,783314,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
7,"Parce (feat. Justin Quiles)",Maluma,762653,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
8,"Tattoo - Remix with Camilo","Rauw Alejandro",750922,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
9,"La Tóxica",Farruko,735805,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
10,"La Jeepeta - Remix","Nio Garcia",681247,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
11,Jeans,"Justin Quiles",648170,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
12,"Mi Cuarto","Jerry Di",589427,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
13,"Se Te Nota (with Guaynaa)","Lele Pons",539584,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
14,Favorito,Camilo,508753,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
15,Nada,"Cali Y El Dandee",495166,https://open.spotify.com/track/4K8cyoCDovlc4FvtUr2Hfx
16,Dynamite,BTS,470722,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
17,Caramelo,Ozuna,462317,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
18,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,436821,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
19,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",432721,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
20,"Una Locura",Ozuna,427100,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
21,"Quiéreme Mientras Se Pueda","Manuel Turizo",415929,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
22,"No Bailes Sola","Danna Paola",384738,https://open.spotify.com/track/1GNSWpe2SB30zYGbNTD96b
23,"Djadja (feat. Maluma) - Remix","Aya Nakamura",379420,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
24,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",373485,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
25,"Mi Niña",Wisin,368661,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
26,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",366049,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
27,"Los Besos",Greeicy,351961,https://open.spotify.com/track/6QSu3mgC8kUYtEDoBBQcJG
28,"Caramelo - Remix",Ozuna,333247,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
29,"Hola - Remix",Dalex,329335,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
30,Azul,"J Balvin",323208,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
31,"Blinding Lights","The Weeknd",320786,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
