,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Bandido,"Myke Towers",125232,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
2,"LA NOCHE DE ANOCHE","Bad Bunny",104936,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
3,"Ella No Es Tuya - Remix","Rochy RD",99577,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
4,telepatía,"Kali Uchis",94222,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
5,DÁKITI,"Bad Bunny",90765,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
6,"Machu Picchu",Camilo,87527,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
7,"Hecha Pa' Mi",Boza,87076,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
8,BICHOTA,"KAROL G",85769,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
9,Reloj,"Rauw Alejandro",78527,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
10,"No Te Enamores - Remix",Milly,74987,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
11,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",73158,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
12,"Tan Enamorados",CNCO,59310,https://open.spotify.com/track/1yc7ERfIzFxPP1E0OFRvp0
13,"Mi Niña",Wisin,58983,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
14,"Chica Ideal","Sebastian Yatra",56596,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
15,BEBÉ,Camilo,55521,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
16,"Hasta Abajo","Kevin Roldan",55281,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
17,"Miedito o Qué? (feat. KAROL G)","Ovy On The Drums",53106,https://open.spotify.com/track/7MoZgM6AsQaZw14WnKopuy
18,"Ponte Pa' Mi","Justin Quiles",51905,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
19,Hawái,Maluma,51846,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
20,"Parce (feat. Justin Quiles)",Maluma,49814,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
21,"La Nota","Manuel Turizo",49442,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
22,"Si Me Tomo Una Cerveza",Migrantes,47953,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
23,"Además de Mí - Remix",Rusherking,47679,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
24,"Ropa Cara",Camilo,47671,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
25,"Como Si Nada","Adso Alejandro",46080,https://open.spotify.com/track/2ECKWYbTPpKvtnKiRiUQqC
26,LOCATION,"KAROL G",44390,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
27,"Relación - Remix",Sech,44214,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
28,911,Sech,43185,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
29,"Vida de Rico",Camilo,42721,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
30,Jeans,"Justin Quiles",42386,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
31,"La Curiosidad","Jay Wheeler",41973,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
32,"Mala Costumbre","Manuel Turizo",41527,https://open.spotify.com/track/70uX4beGHc1nQikXveOknp
33,"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",Wisin,41143,https://open.spotify.com/track/6dyUkkcyYuDiHOwIRXYOJm
34,"TE MUDASTE","Bad Bunny",40453,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
35,Polvo,"Nicky Jam",40449,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
36,PROBLEMA,"Daddy Yankee",40090,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
37,Travesuras,"Flow La Movie",38776,https://open.spotify.com/track/2etJ67Egf7woMgOikVrlJM
38,"Fan de Tus Fotos","Nicky Jam",38567,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
39,"Más De La Una","Piso 21",38232,https://open.spotify.com/track/69Y5IZuBvGyzySFt5x7kCq
40,Fiel,"Los Legendarios",37145,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
41,"Agua de Jamaica",Maluma,36376,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr
42,"Mi Cuarto","Jerry Di",36006,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
