,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Memories,"Maroon 5",3057669,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
2,Zebbiana,"Skusta Clee",1819182,https://open.spotify.com/track/6IdEQ3HUseBeRUYFSzSMdL
3,"10,000 Hours (with Justin Bieber)","Dan + Shay",1759565,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
4,Pagtingin,Ben&Ben,1756919,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd
5,Circles,"Post Malone",1252619,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
6,"Sa Susunod Na Lang",PDL,1219239,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
7,Señorita,"Shawn Mendes",1217805,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
8,"Lose You To Love Me","Selena Gomez",1180576,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
9,"Hindi Tayo Pwede","The Juans",1180499,https://open.spotify.com/track/6VqZS3Wmf53pbfDBVEYvnP
10,comethru,"Jeremy Zucker",1153261,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
11,"Ikaw At Ako","Moira Dela Torre",1151287,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz
12,"Beautiful People (feat. Khalid)","Ed Sheeran",1062558,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
13,Mabagal,"Daniel Padilla",1048974,https://open.spotify.com/track/07JZJ9YJRaiUAz9Bv8wgwH
14,"Kung 'Di Rin Lang Ikaw","December Avenue",1045987,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
15,"Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack)","December Avenue",1017740,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c
16,"How Do You Sleep?","Sam Smith",943421,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
17,"Binalewala - Original Version","Michael Dutchi Libranda",922202,https://open.spotify.com/track/2tR5liucorXRwduxr0qEx6
18,"Someone You Loved","Lewis Capaldi",919878,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
19,I.F.L.Y.,Bazzi,916397,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
20,Sanctuary,Joji,905571,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3
21,"Kathang Isip",Ben&Ben,893518,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
22,"It's You","Ali Gatie",856455,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
23,"I Don't Care (with Justin Bieber)","Ed Sheeran",817420,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
24,Dahan,"December Avenue",808475,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z
25,"Nobody Knows",Russ,802227,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G
26,Feelings,Lauv,796452,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ
27,"Goodbyes (Feat. Young Thug)","Post Malone",773456,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
28,"Make It Right (feat. Lauv)",BTS,761909,https://open.spotify.com/track/314ZkcV7oLWG8yWE7LABvH
29,"Hindi Na Nga","This Band",744721,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV
30,"Lights Up","Harry Styles",718592,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
31,Sana,"I Belong to the Zoo",706107,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
32,"Bagay Tayo",ALLMO$T,705914,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU
33,Dalaga,Arvey,701342,https://open.spotify.com/track/3iZB3VUDerY5P96rhBKwKr
34,Lover,"Taylor Swift",683407,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
35,"fuck, i'm lonely",Lauv,665657,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
36,"Sa Ngalan Ng Pag-Ibig","December Avenue",652411,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
37,"Neneng B","Nik Makino",649131,https://open.spotify.com/track/0BaMZMMEG7GWrUYsoGw8Yg
38,"Maybe The Night",Ben&Ben,646088,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
39,"Balang Araw","I Belong to the Zoo",644534,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
40,"Patawad, Paalam","Moira Dela Torre",635468,https://open.spotify.com/track/14BG5B1EJSCyNpZt096xXc
41,"'Di Na Babalik","This Band",631023,https://open.spotify.com/track/7hoP5NDUXEbmOawvEAsi8h
42,"Get You The Moon (feat. Snøw)",Kina,571653,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
43,Paalam,"Moira Dela Torre",563623,https://open.spotify.com/track/22AZDYG6qrjMFg0ceeL9X6
44,"HIGHEST IN THE ROOM","Travis Scott",561491,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
45,"Could I Love You Any More (feat. Jason Mraz)","Reneé Dominique",554594,https://open.spotify.com/track/6TbDpqKCksZNJjriFhPum8
46,"Kahit Ayaw Mo Na","This Band",536295,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
47,"Missin You Crazy",Russ,530557,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
48,"Never Really Over","Katy Perry",523491,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
49,"Feel Special",TWICE,521449,https://open.spotify.com/track/14rWuS6yllHOdfZ8sZsZUj
50,"Look At Her Now","Selena Gomez",519403,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
51,"Dance Monkey","Tones And I",517098,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
52,Araw-Araw,Ben&Ben,485675,https://open.spotify.com/track/4rG3h1QwgjSSWz8EIjCFrm
53,"Nang Iwan","This Band",450828,https://open.spotify.com/track/7Livy729zY16jBsppfYLRW
54,"I Like Me Better",Lauv,427231,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
55,"Follow God","Kanye West",420944,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h
56,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",418781,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
57,Imahe,"Magnus Haven",417098,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5
58,Wrong,"Luh Kel",416483,https://open.spotify.com/track/3EludUFeAoJAwSixWGG5Wg
59,Mundo,"IV Of Spades",416079,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
60,"Pauwi Nako",PDL,412266,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
61,"hot girl bummer",blackbear,407898,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
62,"Trampoline (with ZAYN)",SHAED,407259,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
