,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heartbreak Anniversary",Giveon,299865,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
2,"drivers license","Olivia Rodrigo",234217,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
3,"Leave The Door Open","Bruno Mars",224466,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
4,"At My Worst","Pink Sweat$",223225,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
5,Paubaya,"Moira Dela Torre",199669,https://open.spotify.com/track/1NUw61RX4Wtmxw7CLiP4kP
6,"Dance With You","Skusta Clee",162661,https://open.spotify.com/track/7bUvgvAf0tdQIty95lV5wf
7,"Love Is Gone - Acoustic",SLANDER,161731,https://open.spotify.com/track/7F1CiKqrY44kh5cDqwHOnx
8,Copines,"Aya Nakamura",152011,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
9,Dynamite,BTS,140922,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
10,34+35,"Ariana Grande",126731,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
11,"Hold On","Justin Bieber",122113,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
12,"Life Goes On",BTS,120957,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
13,"Beautiful Scars (Maximillian x Moira Dela Torre) - Acoustic",Maximillian,114502,https://open.spotify.com/track/2vcDl2SLudnltyDEos3v6E
14,Anyone,"Justin Bieber",109892,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
15,"Save Your Tears","The Weeknd",107853,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
16,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",105330,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
17,"Put Your Records On","Ritt Momney",102307,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
18,"Holy (feat. Chance The Rapper)","Justin Bieber",97194,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
19,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,94871,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK
20,KLWKN,"Music Hero",94687,https://open.spotify.com/track/1pi3VCMlGVaXvrjlVOkBPN
21,"Panalo (Trap Cariñosa)","Ez Mil",93721,https://open.spotify.com/track/5J0obeHgIFKkPiGBPTOqLw
22,positions,"Ariana Grande",93597,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
23,"Good Days",SZA,93494,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
24,"Stuck with U (with Justin Bieber)","Ariana Grande",90084,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
25,"You Got It",Vedo,87819,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
26,"Kabilang Buhay","Bandang Lapis",85546,https://open.spotify.com/track/0knRQzgvbUed6K74mX81hG
27,"Levitating (feat. DaBaby)","Dua Lipa",79732,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
28,Titig,"MC Einstein",79332,https://open.spotify.com/track/1x8pFCRfBnDqckyB6mlZci
29,Byahe,"John Roa",78882,https://open.spotify.com/track/4v2yxWNY3WCzB0YS9QJZP4
30,"Kathang Isip",Ben&Ben,78270,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
31,Sulyap,"Jr Crown",77620,https://open.spotify.com/track/3a22L5P9cix1HFNzjb3SpB
32,2002,Anne-Marie,75593,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
33,"Magandang Dilag","JM Bales",75218,https://open.spotify.com/track/3us3yACYidjyZwm9to0czY
34,"Beautiful Scars",Maximillian,75112,https://open.spotify.com/track/1Hu42ZLWG9dHaVOPiWyEmE
35,"What You Know Bout Love","Pop Smoke",73588,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
36,"Maybe The Night",Ben&Ben,72197,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
37,Higa,"Arthur Nery",72135,https://open.spotify.com/track/63qA4ydokzNOFpsaNlsYsC
38,Ulap,"Rob Deniel",70409,https://open.spotify.com/track/0en1kxNAvVQxLpbteRTG7L
39,"We're Good","Dua Lipa",70150,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
40,"this is how you fall in love","Jeremy Zucker",68815,https://open.spotify.com/track/0742PcMPo2Akmo4vHC29VZ
41,Snowman,Sia,68774,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
42,"Someone You Loved","Lewis Capaldi",68685,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
43,Streets,"Doja Cat",68283,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
44,"Wag Na Lang","MC Einstein",67827,https://open.spotify.com/track/4Qs3DkTFVG1QiOwd0BUa9o
45,"10,000 Hours (with Justin Bieber)","Dan + Shay",67485,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
