,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",882086,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
2,"hot coffee",schafter,719356,https://open.spotify.com/track/4U4LEUWV8sFtos5PdjfDA7
3,Rainman,Tymek,709586,https://open.spotify.com/track/7GMszPpwzW9Yehj9Ox2QLD
4,"bad guy","Billie Eilish",610698,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
5,@,chillwagon,553704,https://open.spotify.com/track/3EQDJ0MHppNeqOtAVoJqJH
6,"Język ciała",Tymek,515550,https://open.spotify.com/track/3rM7bxaGhahPf0bhRBlrXM
7,"Nadchodzi lato",Bedoes,477288,https://open.spotify.com/track/25ON3izqwOFhEexcMUeWfP
8,"double D’s",schafter,474174,https://open.spotify.com/track/5atl0dYLk4ctS0xeY41WzL
9,"I Don't Care (with Justin Bieber)","Ed Sheeran",454346,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
10,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",454134,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
11,Trofea,"Dawid Podsiadło",426587,https://open.spotify.com/track/3pe05XBTPu2wpWwkVPzuUX
12,"Mother's Daughter","Miley Cyrus",362738,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
13,"Poza kontrolą",Tymek,361234,https://open.spotify.com/track/72sOrgrynSH73z4E41Ed0i
14,"Mogę dziś umierać","White 2115",326418,https://open.spotify.com/track/3XtJwOJQroFfY98WJwzzep
15,"Beautiful People (feat. Khalid)","Ed Sheeran",325365,https://open.spotify.com/track/4evmHXcjt3bTUHD1cvny97
16,"Piece Of Your Heart",MEDUZA,324537,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
17,"9 Żyć (feat. Otsochodzi, schafter & PlanBe)","Kubi Producent",324034,https://open.spotify.com/track/4zSa5savpsIv5ImO2Zt3Mv
18,"Sobie i Wam","Męskie Granie Orkiestra 2019",315466,https://open.spotify.com/track/5Jt9LBya59lo2T9qQ7jfH3
19,"Jagodzianki (prod.by Abel de Jong)","Malik Montana",296520,https://open.spotify.com/track/2Zu0RM1e8qBQDfVIm072ki
20,"Górą ty","GOLEC UORKIESTRA",296081,https://open.spotify.com/track/78clZqBsIqHJsC0y9GAoAd
