,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ale jazz!",sanah,136329,https://open.spotify.com/track/7fuvhZxxLou4qRRo4Z63wE
2,Szklanki,"Young Leosia",111018,https://open.spotify.com/track/7umEhzfURpGTSRbcX84qLy
3,Moonwalk,Oki,93452,https://open.spotify.com/track/7HvMlXXpPKj3nYClkyoxbE
4,BLUEBERRY,Guzior,87490,https://open.spotify.com/track/27gknDBOqYJmOFYyaOBAfa
5,"drivers license","Olivia Rodrigo",72557,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
6,Bratan,"Malik Montana",72174,https://open.spotify.com/track/7L5gakQGivisTEWdKkUrZg
7,FALA,Guzior,70671,https://open.spotify.com/track/4XZxxP6ilbl56BooNjq7Ki
8,Alien,Sobel,69831,https://open.spotify.com/track/1k66TKeE51BtgF0q2ZOCOy
9,"Save Your Tears","The Weeknd",65484,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
10,Fitness,Kizo,63008,https://open.spotify.com/track/18vIGGupRFoboQp2DuJJAG
11,OBOK,Żabson,62753,https://open.spotify.com/track/1YYyfjeqq910iiPShYlAYj
12,Testarossa,Wiatr,61946,https://open.spotify.com/track/4yP4P2pHqtejjQ1l12J8bA
13,"Mam Na Twarzy Krew I Tym Razem Nie Jest Sztuczna",Chivas,58642,https://open.spotify.com/track/26N0AElCFxUuGQ7YoYs0tU
14,Dwutakt,Alberto,55519,https://open.spotify.com/track/2wMo0pUpFklPf5x47ZUR8I
15,"TOA$T /",Bedoes,54932,https://open.spotify.com/track/1NKUIcXPJE9LSQLzTo38Kg
16,"The Business",Tiësto,51695,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
17,"Billy Kid",Reto,51381,https://open.spotify.com/track/2qX1iJIRJDlVsBQbQkz6L0
18,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,49906,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
