,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"7 rings","Ariana Grande",202651,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
2,"break up with your girlfriend, i'm bored","Ariana Grande",184712,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
3,"Tou Bem (feat. Lhast)",ProfJam,181361,https://open.spotify.com/track/4c5yphfLxbguggPnS6Wibq
4,Shallow,"Lady Gaga",165062,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
5,"bury a friend","Billie Eilish",144549,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
6,"Without Me",Halsey,142349,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
7,"Agora é Tudo Meu",DENNIS,139874,https://open.spotify.com/track/5yH8pYxNckOU1cxfPsMIaz
8,Wow.,"Post Malone",137505,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
9,Happier,Marshmello,128223,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,"MIA (feat. Drake)","Bad Bunny",122497,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
11,Terremoto,Anitta,121177,https://open.spotify.com/track/7G2XZhDNHo7SSDWSVxC0UT
12,"Devia Ir","Wet Bed Gang",119691,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
13,"Happy Day","Deejay Telio",119122,https://open.spotify.com/track/4HkmUlLklTFzOIufppSf0e
14,"Ano Novo","Jimmy P",117965,https://open.spotify.com/track/7sbEmVgE68ngice4deuQaP
15,Gravidade,Dillaz,117814,https://open.spotify.com/track/3Qz3Wqr9DUEdn8E7hzvsD1
16,"thank u, next","Ariana Grande",114873,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
17,Better,Khalid,114829,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
