,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"WITHOUT YOU","The Kid LAROI",26506,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
2,"drivers license","Olivia Rodrigo",26141,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
3,M4,Teto,22274,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
4,Borboletas,"Gama WNTD",21957,https://open.spotify.com/track/1h1JMmAzXR6lWJ7KnJQkU7
5,Mds,Kawe,20549,https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF
6,Perseus,"Wet Bed Gang",19603,https://open.spotify.com/track/4E7BWWaFUfafkyU8JOniFx
7,"Leave The Door Open","Bruno Mars",19417,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,DÁKITI,"Bad Bunny",18938,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
9,Tsunami,"Richie Campbell",18471,https://open.spotify.com/track/5TqGewrmzgeb21FYQC7mJZ
10,"Save Your Tears","The Weeknd",18322,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
11,"Blinding Lights","The Weeknd",18134,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
12,inesquecível,"Giulia Be",18060,https://open.spotify.com/track/3bUDPTCStUeLcUgXgvepQh
13,Lisabona,Plutónio,17896,https://open.spotify.com/track/20BVQh0gMBhzcBpeCRi97F
14,"Romance de Cinema",Domingues,17695,https://open.spotify.com/track/0WmSoWksyfhCME62WhkP2U
15,"São Paulo","Yuri NR5",17632,https://open.spotify.com/track/20cn2KYYgyuxXRC3WynYZn
16,300,"Wet Bed Gang",17321,https://open.spotify.com/track/6lElXo5x9oyqvIUcG7gP7d
17,"The Business",Tiësto,16982,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
18,Fica,Domingues,16920,https://open.spotify.com/track/5x2NQmYWyqExdyyXjNIWh3
19,Imagina,FRANKIEONTHEGUITAR,16916,https://open.spotify.com/track/2dWbucCC3cVXQWi6JaL7js
20,"Astronaut In The Ocean","Masked Wolf",16779,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
21,"Calling My Phone","Lil Tjay",16671,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
22,"Mood (feat. iann dior)",24kGoldn,16571,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
23,"Paradise (feat. Dermot Kennedy)",MEDUZA,16156,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
24,telepatía,"Kali Uchis",15933,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
25,"Hecha Pa' Mi",Boza,15918,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
26,"Te Amo",Calema,15884,https://open.spotify.com/track/5QU2pHpvyaiTZ0E7cJYlq3
27,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",15402,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
28,"MODO TURBO","Luísa Sonza",15096,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
29,"Faço a Minha","Wet Bed Gang",13914,https://open.spotify.com/track/4jqFmO5Jtbyu0Y1esuO2n0
30,Arcade,"Duncan Laurence",13855,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
31,"What’s Next",Drake,13758,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
32,Whoopty,CJ,13732,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
33,Bem-Disposto,"Rony Fuego",13598,https://open.spotify.com/track/5UJIchMHQvPgr244MecVzO
34,"O Pai Ta On","Greg Ferreira",13249,https://open.spotify.com/track/5nDC64IJvxLWzBCQCfFuIw
35,Tinoni,T-Rex,13231,https://open.spotify.com/track/3x3vUHznzPNEbXTJBUkhZb
36,Streets,"Doja Cat",12910,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
37,"Watermelon Sugar","Harry Styles",12465,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
38,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",11526,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
39,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",11498,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
40,"Amor ou o Litrão","Petter Ferraz",11319,https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
41,"What You Know Bout Love","Pop Smoke",11075,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
42,"Tequila - A COLORS SHOW",Nenny,10939,https://open.spotify.com/track/5ZVoLA2YyuhP4JUUM3q72J
43,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,10793,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
44,"The City is a Jungle",Fumaxa,10732,https://open.spotify.com/track/0MrZX4ubbrpfweHuHxXUuk
45,Hawái,Maluma,10493,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
46,"lovely (with Khalid)","Billie Eilish",10440,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
47,"Wants and Needs (feat. Lil Baby)",Drake,10381,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
48,"Hold On","Justin Bieber",10365,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
49,"Someone You Loved","Lewis Capaldi",10259,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
50,"Lonely (with benny blanco)","Justin Bieber",10259,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
51,"you broke me first","Tate McRae",9950,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
52,"Head & Heart (feat. MNEK)","Joel Corry",9858,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
53,positions,"Ariana Grande",9850,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
54,"00 Fala Bonito",Papillon,9838,https://open.spotify.com/track/3ZJC7xO1GdWF5rj8VqXU2C
55,"Heartbreak Anniversary",Giveon,9331,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
56,"Esquema Preferido","DJ Ivis",9242,https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK
57,"Breaking Me",Topic,9077,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
58,"Levitating (feat. DaBaby)","Dua Lipa",8899,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
59,"Sai do Meu Hood","Wet Bed Gang",8677,https://open.spotify.com/track/1VGnaxHbxINZQbkEFffWra
60,"La Bella Mafia","Wet Bed Gang",8499,https://open.spotify.com/track/4UTllroOmqBtwmBbcgk4NF
61,"Somos Iguais",Plutónio,8477,https://open.spotify.com/track/1X3ltingEVNGRoJf1dvZfQ
62,"Good Days",SZA,8449,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
63,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,8413,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
64,"LA NOCHE DE ANOCHE","Bad Bunny",8373,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
65,Hospedeira,"Julinho Ksd",8321,https://open.spotify.com/track/3M0jzvLAw4gfwm8VOyIJE9
66,"Therefore I Am","Billie Eilish",8223,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
67,"Sweater Weather","The Neighbourhood",8206,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
68,"GIRL LIKE ME","Black Eyed Peas",8152,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
69,"menina solta","Giulia Be",8094,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
70,"Goosebumps - Remix","Travis Scott",8073,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
71,"Don't Start Now","Dua Lipa",7955,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
72,"We're Good","Dua Lipa",7915,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
73,Dado,"Rony Fuego",7881,https://open.spotify.com/track/2JfAp9d5Y1S4tfQTfgY6qJ
74,"Tempo (feat. T-Rex, LON3R JOHNY & BISPO)",FRANKIEONTHEGUITAR,7864,https://open.spotify.com/track/19gFXFDAFUdsuaiAorKEbr
75,goosebumps,"Travis Scott",7845,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
76,Mistura,"Julinho Ksd",7717,https://open.spotify.com/track/7w4RW52F9yTDF1SVf4UdyV
77,"Mood Swings (feat. Lil Tjay)","Pop Smoke",7658,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
78,BLESSED,"Greg Ferreira",7650,https://open.spotify.com/track/5DSKI7lG8H6e4rtPko08hk
79,"Before You Go","Lewis Capaldi",7592,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
80,Dynamite,BTS,7516,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
81,Ronaldo,"Chico da Tina",7492,https://open.spotify.com/track/4T4AhK8ENsdc2zB6IzyjsI
82,"Deixa de Onda (Porra Nenhuma)",DENNIS,7392,https://open.spotify.com/track/0DlHQxrVijRqVUfuS6PKaY
83,Bairro,"Wet Bed Gang",7384,https://open.spotify.com/track/0tZypNG8bDAMD0pcQHUENF
84,"Vai Ter Que Aguentar","Mc Don Juan",7383,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
85,Malibu,"Yung SpaceGhost",7380,https://open.spotify.com/track/4gbEOMpyYC2jr4GiQ9Vys1
86,"HIGHEST IN THE ROOM","Travis Scott",7290,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
87,"Do I Wanna Know?","Arctic Monkeys",7247,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
88,"Train Wreck","James Arthur",7194,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
89,Louco,Piruka,7191,https://open.spotify.com/track/3fExatgv3vCcNT0CuU8mqM
90,"Devia Ir","Wet Bed Gang",7165,https://open.spotify.com/track/1ftBvRj542ol7LT1A0EtL7
91,34+35,"Ariana Grande",7133,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
92,"everything i wanted","Billie Eilish",7117,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
93,HOLIDAY,"Lil Nas X",7067,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
94,"Roses - Imanbek Remix","SAINt JHN",7067,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
