,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Secreto,"Anuel AA",286994,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
2,"Pa Mí - Remix",Dalex,181280,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
3,Desconocidos,"Mau y Ricky",181085,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
4,"Adan y Eva","Paulo Londra",176316,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
5,Amanece,"Anuel AA",173402,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
6,"Con Calma","Daddy Yankee",144137,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
7,"Calma - Remix","Pedro Capó",124051,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
8,"Te Vi","Piso 21",120692,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
9,"Ella Quiere Beber - Remix","Anuel AA",120249,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
10,Baby,Amenazzy,117361,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp
11,"MIA (feat. Drake)","Bad Bunny",113900,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
12,Bubalu,"Becky G",112133,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
13,Adictiva,"Daddy Yankee",110961,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
14,"Baila Baila Baila",Ozuna,103444,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
15,"A Solas - Remix",Lunay,92334,https://open.spotify.com/track/3T5QSIgoaPIh07SwixRDp7
16,"Solo de Mi","Bad Bunny",89519,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
17,"Un Año","Sebastian Yatra",83494,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp
18,Reggaeton,"J Balvin",83090,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
19,Sola,"Manuel Turizo",80467,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN
20,PPP,"Kevin Roldan",76526,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
21,Créeme,"KAROL G",74467,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
22,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",71418,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
23,Culpables,"KAROL G",70902,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
24,Imposible,"Luis Fonsi",69423,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF
25,"La Forma en Que Me Miras","Super Yei",66893,https://open.spotify.com/track/6t94PGXYAuo9GbJEnMpPcW
26,"NI BIEN NI MAL","Bad Bunny",65439,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
27,"Ya No Tiene Novio","Sebastian Yatra",64824,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
