,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Bandido,"Myke Towers",54845,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
2,"LA NOCHE DE ANOCHE","Bad Bunny",47695,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
3,DÁKITI,"Bad Bunny",39722,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
4,"Hasta Abajo","Kevin Roldan",36469,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
5,"Hecha Pa' Mi",Boza,35513,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
6,"Ella No Es Tuya - Remix","Rochy RD",35225,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
7,"Esquema Preferido","DJ Ivis",34654,https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK
8,BICHOTA,"KAROL G",34550,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
9,Reloj,"Rauw Alejandro",33887,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
10,"No Te Enamores - Remix",Milly,32432,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
11,"Además de Mí - Remix",Rusherking,31613,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
12,Polvo,"Nicky Jam",30372,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
13,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",30064,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
14,"La Nota","Manuel Turizo",27765,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
15,"TE MUDASTE","Bad Bunny",25501,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
16,"Mi Niña",Wisin,25418,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
17,"Fan de Tus Fotos","Nicky Jam",25000,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
18,"Una Locura",Ozuna,23749,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
19,"L-Gante Rkt","Papu DJ",22021,https://open.spotify.com/track/6EHrppRT1Uj4cyShAujxFu
20,"Parce (feat. Justin Quiles)",Maluma,20693,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
21,"En Tu Cuerpo - Remix",Lyanno,19758,https://open.spotify.com/track/3dEtfTtCXWW7N8WQ9FD29z
22,"Si Me Tomo Una Cerveza",Migrantes,19737,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
23,"Chica Ideal","Sebastian Yatra",19663,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
24,"Ponte Pa' Mi","Justin Quiles",19601,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
25,"Relación - Remix",Sech,19318,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
26,Fiel,"Los Legendarios",19235,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
27,911,Sech,18983,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
28,"La Tóxica",Farruko,17761,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
29,telepatía,"Kali Uchis",17483,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
30,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",17248,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
31,Jeans,"Justin Quiles",16767,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
32,Hawái,Maluma,16580,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
33,Bonita,Jeeiph,16305,https://open.spotify.com/track/7EUvcSFkyVB73zrblhQmEL
34,"Más De La Una","Piso 21",16223,https://open.spotify.com/track/69Y5IZuBvGyzySFt5x7kCq
35,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",15606,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
36,"Mi Cuarto","Jerry Di",15246,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
37,BEBÉ,Camilo,14612,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
38,"La Curiosidad","Jay Wheeler",14586,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
39,Despeinada,Ozuna,13853,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
40,"De Cora <3","Rauw Alejandro",13606,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
41,"Ropa Cara",Camilo,13261,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
42,"Agua de Jamaica",Maluma,12637,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr
43,"Se Te Nota (with Guaynaa)","Lele Pons",12525,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
44,"Vida de Rico",Camilo,11739,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
45,"Ay, DiOs Mío!","KAROL G",11582,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
46,Antes,"Anuel AA",11500,https://open.spotify.com/track/73O30uMI7n6DuzBmbtO7kC
47,"BOOKER T","Bad Bunny",11229,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
48,Caramelo,Ozuna,11182,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
49,"Tattoo - Remix with Camilo","Rauw Alejandro",11067,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
50,Bésame,"El Reja",10874,https://open.spotify.com/track/5uD4fcXch2qE5LYeyDipA1
51,Animal,"Maria Becerra",9735,https://open.spotify.com/track/3OXxCquI8i14EigwILaLx9
52,PROBLEMA,"Daddy Yankee",9178,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
53,"Mala Costumbre","Manuel Turizo",9091,https://open.spotify.com/track/70uX4beGHc1nQikXveOknp
54,"Machu Picchu",Camilo,9079,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
55,LOCATION,"KAROL G",8958,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
56,"La Forma en Que Me Miras","Super Yei",8908,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
57,"Cuando Sera",Mora,7456,https://open.spotify.com/track/1UmZpd5navRsg2ukqCKJjc
58,"Tapão Na Raba","Raí Saia Rodada",7372,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
59,+Linda,Dalex,7332,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
60,"La Jeepeta - Remix","Nio Garcia",7206,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
61,Explícito,"Myke Towers",7200,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
62,"Miedito o Qué? (feat. KAROL G)","Ovy On The Drums",7183,https://open.spotify.com/track/7MoZgM6AsQaZw14WnKopuy
63,Enchule,"Rauw Alejandro",7138,https://open.spotify.com/track/0S9ZVNTNRzLMgb96tmmG1u
64,"CÓMO SE SIENTE - Remix","Jhay Cortez",7042,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
65,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,6881,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
66,Desnudarte,Brytiago,6839,https://open.spotify.com/track/3wrBFPDRyIGyGXxGSc970M
67,"Toda Remix - Remix","Alex Rose",6668,https://open.spotify.com/track/47ZS1OjnJpJVfGN9yHXfMn
68,"HACIENDO QUE ME AMAS","Bad Bunny",6479,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
69,"Esquema Preferido - Ao Vivo","Os Barões Da Pisadinha",6474,https://open.spotify.com/track/35qOGx1CWvCkQFOv4BkVIV
70,"LA CANCIÓN","J Balvin",6336,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
71,"drivers license","Olivia Rodrigo",6291,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
72,"Si Estuviésemos Juntos","Bad Bunny",6236,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
73,"Ele É Ele, Eu Sou Eu","Wesley Safadão",6155,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
74,"Blinding Lights","The Weeknd",6101,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
75,"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",Wisin,5964,https://open.spotify.com/track/6dyUkkcyYuDiHOwIRXYOJm
76,"Recairei - Ao Vivo","Os Barões Da Pisadinha",5941,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
77,"Quiéreme Mientras Se Pueda","Manuel Turizo",5913,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
78,"Hola - Remix",Dalex,5863,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
79,"Ya No Más","Fer Palacio",5854,https://open.spotify.com/track/4gQG2Ic7hnJMAcqunk4ERT
