,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mood (feat. iann dior)",24kGoldn,1012909,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
2,Svag,"Victor Leksell",884460,https://open.spotify.com/track/4SS4YfDAEQG0fZAe1xfgn3
3,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",781638,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
4,"Head & Heart (feat. MNEK)","Joel Corry",764954,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
5,"Säg Mig Var Du Står",Carola,752976,https://open.spotify.com/track/704iA6CyFdeP24JvGFxsRs
6,"What You Know Bout Love","Pop Smoke",734285,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,"you broke me first","Tate McRae",657461,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
8,"Holy (feat. Chance The Rapper)","Justin Bieber",632947,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
9,"Unge Med Extra Energi",Einár,590150,https://open.spotify.com/track/07r0YVWQVk4tjuCZWTNQqA
10,"Jag mår bra nu (feat. Newkid)","Molly Sandén",576096,https://open.spotify.com/track/247LJ2oARxtQuFAlbPIx79
11,"Blinding Lights","The Weeknd",558047,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
12,"När jag ser dig",Hov1,558001,https://open.spotify.com/track/5WBaMuA6gMy90SZXyS4Yz0
13,"Lonely (with benny blanco)","Justin Bieber",531467,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
14,"Savage Love (Laxed - Siren Beat)","Jawsh 685",525505,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
15,LOVERMAN,Mwuana,495596,https://open.spotify.com/track/66y0PlzFZZhoI32wgbsuPo
16,"WAP (feat. Megan Thee Stallion)","Cardi B",493515,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
17,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",475038,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
18,.357,HAVAL,471267,https://open.spotify.com/track/0RPMPtrdaLkgW0wfdADt7e
