,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Gamora,Hov1,263072,https://open.spotify.com/track/4tGPi30jgutml0z5QgNd8Q
2,"tystnar i luren","Miriam Bryant",204046,https://open.spotify.com/track/4dxeRrYgeAQ1F0uH9g04lN
3,Voices,Tusse,163835,https://open.spotify.com/track/5zxZ7M4RgWZUHlMEwac8vt
4,"Behöver inte dig idag","Clara Klingenström",140237,https://open.spotify.com/track/61YmcO62hGjw1RlDHZ0XEg
5,"Every Minute","Eric Saade",127489,https://open.spotify.com/track/7t3VznmzfrDXFyexb2wA0q
6,"Barn av vår tid",Hov1,127360,https://open.spotify.com/track/09ZI6ytqLZe1sRXLKPKZNe
7,1942,"Ant Wan",120930,https://open.spotify.com/track/3R9KvtovDyPBPtBqiulmoq
8,"Dandi dansa","Danny Saucedo",106582,https://open.spotify.com/track/41iZhFesLQ6JLjyPxI4LLL
9,"Little Tot",Dotter,100262,https://open.spotify.com/track/6inhRGv7e8iqDEMRQuFk0W
10,"Bailá Bailá","Alvaro Estrella",99423,https://open.spotify.com/track/3MMJuk00QLVAjS6vwBZ67V
11,"Du måste finnas",Newkid,98547,https://open.spotify.com/track/32z2QHVJTOPzzczl4MjmHo
12,"Jerusalema (feat. Nomcebo Zikode)","Master KG",92496,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
13,"In The Middle","The Mamas",92232,https://open.spotify.com/track/5nBi3tQiXWt70G6UlXB86E
14,Svag,"Victor Leksell",90281,https://open.spotify.com/track/4SS4YfDAEQG0fZAe1xfgn3
15,"drivers license","Olivia Rodrigo",85487,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
16,"Om allting skiter sig","Emil Assergård",82558,https://open.spotify.com/track/4r0VyqkDOosEkG92kx1SL9
17,"Save Your Tears","The Weeknd",82483,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
18,"Best of Me","Efraim Leo",77310,https://open.spotify.com/track/487FnTfh3G1qe0neVvkGb3
19,Pretender,Lillasyster,77002,https://open.spotify.com/track/43S6EtJ38gARKKLvdbQd31
20,Starkare,Newkid,76209,https://open.spotify.com/track/1KaddVS6HXYrvt6ETZtRQ8
21,90-talet,WAHL,74374,https://open.spotify.com/track/6O27WBEqkGeyq3hNYE0BdS
22,"Beat Of Broken Hearts","Klara Hammarström",73667,https://open.spotify.com/track/2QknNfweEEo2wZsUCZbzpo
23,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",73388,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
24,"New Religion","Anton Ewald",72483,https://open.spotify.com/track/6McgJF06bnEyIVAfRTaZ4W
25,"Ge upp igen","Miriam Bryant",72041,https://open.spotify.com/track/5IONrCRMaQomlgoKpIoI8O
26,"WITHOUT YOU","The Kid LAROI",70701,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
27,"Hold On","Justin Bieber",68309,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
28,Malaika,"Ant Wan",68173,https://open.spotify.com/track/6IgMLWNcxP1vONuQSIDEpk
29,"Ser du månen där du är ikväll? (Tillsammans igen)","Thomas Stenström",65401,https://open.spotify.com/track/4SLYrBfzgbLmiEdoKajyHL
30,"Look What You've Done","Zara Larsson",63022,https://open.spotify.com/track/7jDtQkIxKFELTpQa27VWWR
31,"Allting är precis likadant",lovad,60678,https://open.spotify.com/track/7d32oBYefxvVO5efdRUuSX
32,"Ingen Kommentar","Dree Low",59483,https://open.spotify.com/track/2mN2XdguE4JUGkJlfnWIf3
