,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲",A-Lin,333513,https://open.spotify.com/track/3ayrHkyorPEpeOBvZ76SwG
2,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",326781,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
3,"thank u, next","Ariana Grande",326291,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
4,"Without Me",Halsey,265455,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
5,SOLO,JENNIE,253415,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
6,"Sweet but Psycho","Ava Max",231103,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
7,"Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version","Skylar Grey",225789,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p
8,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",191458,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
9,"Kiss and Make Up","Dua Lipa",186914,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
10,Wow.,"Post Malone",184074,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
11,"Way Back Home (feat. Conor Maynard) - Sam Feldt Edit",SHAUN,180521,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk
12,"Saturday Nights",Khalid,177985,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
13,Happier,Marshmello,175747,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
14,"Love Someone","Lukas Graham",174112,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
15,"High Hopes","Panic! At The Disco",165447,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
16,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",163640,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
17,"Be Alright","Dean Lewis",162706,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
18,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",158318,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
19,"Eastside (with Halsey & Khalid)","benny blanco",156881,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
20,"Empty Space","James Arthur",154248,https://open.spotify.com/track/1uru26I2JKd2mQZt0MDCUe
21,imagine,"Ariana Grande",145180,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
22,Better,Khalid,144812,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
23,"Bad Liar","Imagine Dragons",142468,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
24,"Beautiful (feat. Camila Cabello)",Bazzi,141000,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
25,"Ruin My Life","Zara Larsson",128872,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
26,"Girls Like You (feat. Cardi B)","Maroon 5",126211,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
27,"This Feeling","The Chainsmokers",124777,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
28,"Waste It On Me (feat. BTS)","Steve Aoki",121392,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr
29,2002,Anne-Marie,121060,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
30,Shallow,"Lady Gaga",115081,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
31,Hope,"The Chainsmokers",114230,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5
32,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,112573,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
33,"Gotta Go","CHUNG HA",111863,https://open.spotify.com/track/0xq4ZTcmwBfkPGo4RRKmMe
34,"Love Shot",EXO,110949,https://open.spotify.com/track/33NAYATbWRoo5RuEP30JBZ
35,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,110309,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
36,體面(電影《前任3:再見前任》插曲),"Kelly Yu",107745,https://open.spotify.com/track/7cE5ehlKJ3L9Ejhzm3udcF
37,"La Vie en Rose",IZ*ONE,101384,https://open.spotify.com/track/1fRaznZsAB2i63TtmYv2Hc
38,"There's No Way (feat. Julia Michaels)",Lauv,100195,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
