,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heartbreak Anniversary",Giveon,49110,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
2,"drivers license","Olivia Rodrigo",46880,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
3,"Leave The Door Open","Bruno Mars",46330,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
4,"At My Worst","Pink Sweat$",37130,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
5,"Save Your Tears","The Weeknd",32920,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,"Hold On","Justin Bieber",30176,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
7,飞鸟和蝉,"Ren Ran",25680,https://open.spotify.com/track/0O7O4sssbFxoNoB4QRGra1
8,"刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲","Crowd Lu",25581,https://open.spotify.com/track/3OC84eKMxRJ4x0Hcwl9i4i
9,Arcade,"Duncan Laurence",25363,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
10,"this is how you fall in love","Jeremy Zucker",23045,https://open.spotify.com/track/0742PcMPo2Akmo4vHC29VZ
11,telepatía,"Kali Uchis",21956,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
12,"Someone You Loved","Lewis Capaldi",21573,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
13,"Astronaut In The Ocean","Masked Wolf",21142,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
14,"Love Is Gone - Acoustic",SLANDER,20547,https://open.spotify.com/track/7F1CiKqrY44kh5cDqwHOnx
15,Anyone,"Justin Bieber",20451,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
16,Dynamite,BTS,20257,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
17,positions,"Ariana Grande",19883,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
18,34+35,"Ariana Grande",19645,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
19,"Levitating (feat. DaBaby)","Dua Lipa",19421,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
20,"you broke me first","Tate McRae",19212,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
21,"Good Days",SZA,18642,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
22,怎麼了,"Eric Chou",18075,https://open.spotify.com/track/5cU1O9P0EDA0rPkPDykhIm
23,"WITHOUT YOU","The Kid LAROI",18008,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
24,Heather,"Conan Gray",17623,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
25,"Life Goes On",BTS,17431,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
26,"We're Good","Dua Lipa",17070,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
27,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,16308,https://open.spotify.com/track/69zgyr5HVKdInjeKpq1qHa
28,"Before You Go","Lewis Capaldi",15856,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
