,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,GOOBA,6ix9ine,91367,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
2,"Roses - Imanbek Remix","SAINt JHN",76678,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
3,"Blinding Lights","The Weeknd",63410,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"THE SCOTTS","THE SCOTTS",52971,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
5,Origami,Separ,46735,https://open.spotify.com/track/3I62lMt8dOss9jYmCjXYY1
6,Og,Separ,45871,https://open.spotify.com/track/0V3r0duUqZBueuBMoW0mAv
7,"Breaking Me",Topic,45481,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
8,"Čo Odo Mňa Chcete",Separ,44970,https://open.spotify.com/track/7bHvGYehaWWd6z0nkHNV0J
9,Viac,Nerieš,43934,https://open.spotify.com/track/2eLTkjdcbBCTew9qvn6hzz
10,"Ahoj Ahoj Čo Ty",Separ,43694,https://open.spotify.com/track/0opGwvBxk9r93n9Lr6cCit
11,"Strýko Separ",Separ,43068,https://open.spotify.com/track/6gUwdkE5deCQ1oRjA28UWC
12,"Toosie Slide",Drake,40455,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
13,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,40150,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
14,"Čo Sa Dá",Separ,40000,https://open.spotify.com/track/7yKPegHsuj06jmKQrVMMA4
15,"Všetci Za Jedného",Separ,35811,https://open.spotify.com/track/1Zf3ixnozTvHGyBHH35K2o
16,"The Box","Roddy Ricch",35110,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
17,Pinokio,Separ,33776,https://open.spotify.com/track/260Y0DFqcbeh8nalnMPtfq
18,Schíza,Separ,32859,https://open.spotify.com/track/4C2X2af07JKXYnI9c0fAt5
19,"death bed (coffee for your head)",Powfu,32844,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
20,"Boss Bitch","Doja Cat",32241,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
