,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,alibababigbass,Gleb,10542,https://open.spotify.com/track/0N9Fccu5ESGwWPJ3MU9Yt5
2,"Astronaut In The Ocean","Masked Wolf",10498,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
3,"The Business",Tiësto,7835,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
4,"drivers license","Olivia Rodrigo",6491,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
5,"Save Your Tears","The Weeknd",6329,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,"Paradise (feat. Dermot Kennedy)",MEDUZA,5836,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
7,"Mood (feat. iann dior)",24kGoldn,5523,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
8,"All We Got (feat. KIDDO)","Robin Schulz",4923,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
9,Pumpa,Ego,4827,https://open.spotify.com/track/5mZB7xVhF6kfprZntquCVy
10,"Head & Heart (feat. MNEK)","Joel Corry",4825,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
11,Zatmenie,Ego,4811,https://open.spotify.com/track/4pSLxnDlE5sgpSgujbAb48
12,"Blinding Lights","The Weeknd",4562,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
13,Whoopty,CJ,4504,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
14,"Your Love (9PM)",ATB,4326,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
15,Streets,"Doja Cat",4307,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
16,"Hold On","Justin Bieber",4146,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
17,"Goosebumps - Remix","Travis Scott",4090,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
18,Arcade,"Duncan Laurence",4087,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
19,SugarCrash!,ElyOtto,4052,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
20,Viac,Nerieš,4026,https://open.spotify.com/track/2eLTkjdcbBCTew9qvn6hzz
21,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3905,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
22,Šílený,"Ben Cristovao",3841,https://open.spotify.com/track/23Eonfmg2iwhn0NSbPOqjf
23,"Rodinnej Typ",Yzomandias,3654,https://open.spotify.com/track/35nvMkQglkoeydD81a0b77
24,"WITHOUT YOU","The Kid LAROI",3622,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
25,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,3609,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
26,2020,Separ,3575,https://open.spotify.com/track/2aoz5I75ZMlb6QyjHsQo34
27,"you broke me first","Tate McRae",3478,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
28,"Ruka Na Volante",Nerieš,3437,https://open.spotify.com/track/4OhVw8lHCuy8S8Q0YyD57B
29,"Levitating (feat. DaBaby)","Dua Lipa",3397,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
30,Goosebumps,HVME,3397,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
31,telepatía,"Kali Uchis",3355,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
32,Up,"Cardi B",3312,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
33,"GIRL LIKE ME","Black Eyed Peas",3169,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
34,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,3167,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
35,Rolls,Yzomandias,3095,https://open.spotify.com/track/0E92CGQj3E7REEC9TWqYze
36,"What’s Next",Drake,3058,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
37,HAWAII,"Pil C",3048,https://open.spotify.com/track/71fpW3zTuJrY8m5jlsN67I
38,"Lepšia Pesnička",DMS,3036,https://open.spotify.com/track/19hDtYa9xPLr8JlujoCNVO
39,"Budeme tam",Gleb,3035,https://open.spotify.com/track/5pSEse8fr1opKtKge6QOkJ
40,HOLIDAY,"Lil Nas X",3031,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
41,"Roses - Imanbek Remix","SAINt JHN",3025,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
42,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,3016,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
43,"Sweater Weather","The Neighbourhood",2996,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
44,"Calling My Phone","Lil Tjay",2991,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
45,Slobodna,Sima,2983,https://open.spotify.com/track/2JWwLOkaE3iBIzChCkMURC
46,"Rozdělený světy","Viktor Sheen",2951,https://open.spotify.com/track/65sTVVVMDnczku5Gt2PTmt
47,"Take You Dancing","Jason Derulo",2931,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
48,BodyBag,Yzomandias,2882,https://open.spotify.com/track/3fBpzO81OXrmZPKL0KG8LF
49,OG,Separ,2859,https://open.spotify.com/track/2ijloBiuZP94dkVULrdf92
50,"Až na měsíc","Viktor Sheen",2809,https://open.spotify.com/track/2687fXBlOk6u6fiwLJ4E1l
51,"Prisoner (feat. Dua Lipa)","Miley Cyrus",2764,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
52,"Therefore I Am","Billie Eilish",2750,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
53,"Mefek Pump It Up",Gleb,2689,https://open.spotify.com/track/6uKjk59AeQVp1FqOrlZgjW
54,"We're Good","Dua Lipa",2686,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
55,"Ahoj Ahoj Čo Ty",Separ,2666,https://open.spotify.com/track/2iAhzdLzdlF0e9ulTq0hRq
56,"Never Let Me Down",VIZE,2601,https://open.spotify.com/track/5TGcyccg8Hkgn9jB7gUpMN
57,"Breaking Me",Topic,2573,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
58,Fajn,Ego,2558,https://open.spotify.com/track/31hQIqSyUsrX9czS68cCI1
59,"Devil Eyes","Hippie Sabotage",2556,https://open.spotify.com/track/7MiZjKawmXTsTNePyTfPyL
60,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",2548,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
61,DaysGo,Gleb,2531,https://open.spotify.com/track/2SCEcyt2H9kGKgxjkBcPx8
62,"Selfish Love (with Selena Gomez)","DJ Snake",2509,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
63,"Watermelon Sugar","Harry Styles",2506,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
64,"Malá Biš","Nik Tendo",2502,https://open.spotify.com/track/24uwSyNSroMsm845cJXfWG
65,"Designer Flow",Yzomandias,2497,https://open.spotify.com/track/7C9WUhnC08zjbutkdtQXxH
66,"Žijeme podľa",Rytmus,2490,https://open.spotify.com/track/6MVHQbMvOo6R8RYUdxzotR
67,Dýchať,"Kamil Hoffmann",2490,https://open.spotify.com/track/4IupjCwnpoyhnAgWCMmsrk
