,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"La Jeepeta - Remix","Nio Garcia",123071,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
2,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,95358,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
3,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",89838,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
4,Relación,Sech,85992,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
5,"Tattoo - Remix with Camilo","Rauw Alejandro",84296,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
6,"La Curiosidad","Jay Wheeler",81991,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
7,Caramelo,Ozuna,69768,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
8,Rojo,"J Balvin",58610,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
9,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",58254,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
10,"Ay, DiOs Mío!","KAROL G",55623,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
11,"Djadja (feat. Maluma) - Remix","Aya Nakamura",51572,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
12,"Blinding Lights","The Weeknd",50513,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
13,Safaera,"Bad Bunny",50293,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
14,"Mamichula - con Nicki Nicole",Trueno,50194,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
15,"Tak Tiki Tak","Harry Nach",49429,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
16,Favorito,Camilo,49375,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
17,"Hola - Remix",Dalex,48250,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
18,"CÓMO SE SIENTE - Remix","Jhay Cortez",47411,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
19,Azul,"J Balvin",47259,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
20,"Yo Perreo Sola","Bad Bunny",46833,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
21,Tattoo,"Rauw Alejandro",43040,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
22,"Hasta Que Dios Diga","Anuel AA",42115,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
23,Hawái,Maluma,41460,https://open.spotify.com/track/4uoR6qeWeuL4Qeu2qJzkuG
24,"No Me Conoce - Remix","Jhay Cortez",41218,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
25,"LA CANCIÓN","J Balvin",41067,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
26,Fantasias,"Rauw Alejandro",39682,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
27,"Pa' Olvidarme De Ella","Piso 21",39213,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
28,Diosa,"Myke Towers",38784,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
29,"Sigues Con El","Dímelo Flow",38763,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
30,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",38682,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
31,Jangueo,"Alex Rose",37896,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
32,Tusa,"KAROL G",37355,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
33,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,37153,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
34,Vete,"Bad Bunny",36932,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
35,"La Santa","Bad Bunny",36850,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
36,Ignorantes,"Bad Bunny",36844,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
37,"Si Veo a Tu Mamá","Bad Bunny",36021,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
38,"El Efecto","Rauw Alejandro",35112,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
39,"Quiéreme Mientras Se Pueda","Manuel Turizo",35047,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
40,PORFA,Feid,34823,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
41,"El Efecto - Remix","Rauw Alejandro",33994,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
42,"La Difícil","Bad Bunny",33689,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
43,Morado,"J Balvin",33599,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
44,"Don't Start Now","Dua Lipa",32803,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
45,"CANCIÓN CON YANDEL",Yandel,32309,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
46,"Adicto (with Anuel AA & Ozuna)",Tainy,31842,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
47,+Linda,Dalex,31402,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
48,"Dance Monkey","Tones And I",30716,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
49,Anaranjado,"Jowell & Randy",30255,https://open.spotify.com/track/5iw28wvyHgj4ppOu5AdcEU
50,Callaita,"Bad Bunny",29685,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
51,"Sigues Con El - Remix",Arcangel,28207,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
52,Amarillo,"J Balvin",27018,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
53,"El Mismo Aire - con Pablo Alborán",Camilo,26606,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
54,"La Forma en Que Me Miras","Super Yei",26203,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
55,"Dream Girl - Remix","Ir Sais",25971,https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX
56,Singapur,"El Alfa",24811,https://open.spotify.com/track/4QfZYDhGZc0T2RDvGiI69E
