,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DÁKITI,"Bad Bunny",20932,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,Bandido,"Myke Towers",20694,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
3,"LA NOCHE DE ANOCHE","Bad Bunny",17872,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
4,BICHOTA,"KAROL G",15454,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
5,telepatía,"Kali Uchis",14505,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
6,Reloj,"Rauw Alejandro",14436,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
7,"Hecha Pa' Mi",Boza,12397,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
8,"Hasta Abajo","Kevin Roldan",11594,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
9,"Ella No Es Tuya - Remix","Rochy RD",10672,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
10,"TE MUDASTE","Bad Bunny",10655,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
11,Hawái,Maluma,10188,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
12,"La Nota","Manuel Turizo",10057,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
13,"Mi Niña",Wisin,9603,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
14,"No Te Enamores - Remix",Milly,9364,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
15,"La Curiosidad","Jay Wheeler",9214,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
16,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",9067,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
17,"Chica Ideal","Sebastian Yatra",9050,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
18,"Una Locura",Ozuna,8639,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
19,"Relación - Remix",Sech,8500,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
20,"Parce (feat. Justin Quiles)",Maluma,8447,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
21,"La Tóxica",Farruko,8383,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
22,"BOOKER T","Bad Bunny",8130,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
23,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",7463,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
24,"Mi Cuarto","Jerry Di",7384,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
25,Fiel,"Los Legendarios",7254,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
26,"Se Te Nota (with Guaynaa)","Lele Pons",7166,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
27,"Machu Picchu",Camilo,7154,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
28,Jeans,"Justin Quiles",7067,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
29,"Ropa Cara",Camilo,6831,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
30,Polvo,"Nicky Jam",6662,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
31,BEBÉ,Camilo,6592,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
32,"La Jeepeta - Remix","Nio Garcia",6514,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
33,"Vida de Rico",Camilo,6491,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
34,"CÓMO SE SIENTE - Remix","Jhay Cortez",6425,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
35,"Blinding Lights","The Weeknd",6378,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
36,LOCATION,"KAROL G",6274,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
37,"Ay, DiOs Mío!","KAROL G",6186,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
38,"La Forma en Que Me Miras","Super Yei",6131,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
39,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",6127,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
40,"Además de Mí - Remix",Rusherking,6124,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
41,"LA CANCIÓN","J Balvin",6119,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
42,"Save Your Tears","The Weeknd",6072,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
43,"Tattoo - Remix with Camilo","Rauw Alejandro",6015,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
44,"HACIENDO QUE ME AMAS","Bad Bunny",5974,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
45,"Fan de Tus Fotos","Nicky Jam",5695,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
46,"Aquí Abajo","Christian Nodal",5693,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
47,Caramelo,Ozuna,5602,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
48,"No Me Conoce - Remix","Jhay Cortez",5601,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
49,"Pa' Olvidarme De Ella","Piso 21",5529,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
50,Despeinada,Ozuna,5508,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
51,911,Sech,5390,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
52,"drivers license","Olivia Rodrigo",5060,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
53,"En Tu Cuerpo - Remix",Lyanno,5050,https://open.spotify.com/track/3dEtfTtCXWW7N8WQ9FD29z
54,"Algo Mágico","Rauw Alejandro",4979,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
55,"La Santa","Bad Bunny",4978,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
56,"Si Estuviésemos Juntos","Bad Bunny",4763,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
57,"Si Veo a Tu Mamá","Bad Bunny",4665,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
58,"De Los Besos Que Te Di","Christian Nodal",4662,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
59,"Quiéreme Mientras Se Pueda","Manuel Turizo",4546,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
60,"Dime Cómo Quieres","Christian Nodal",4528,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
61,PROBLEMA,"Daddy Yankee",4491,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
62,Safaera,"Bad Bunny",4471,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
63,"Hola - Remix",Dalex,4459,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
64,Vete,"Bad Bunny",4444,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
65,"A Tu Merced","Bad Bunny",4207,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
66,Dynamite,BTS,4184,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
67,"Ponte Pa' Mi","Justin Quiles",4157,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
68,Tusa,"KAROL G",4143,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
69,Callaita,"Bad Bunny",4141,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
70,"Más De La Una","Piso 21",4035,https://open.spotify.com/track/69Y5IZuBvGyzySFt5x7kCq
71,+Linda,Dalex,4033,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
72,Antes,"Anuel AA",3953,https://open.spotify.com/track/73O30uMI7n6DuzBmbtO7kC
73,Azul,"J Balvin",3945,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
74,"Sigues Con El","Dímelo Flow",3870,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
75,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",3870,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
76,Rojo,"J Balvin",3835,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
77,"Don't Start Now","Dua Lipa",3824,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
78,"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",Wisin,3802,https://open.spotify.com/track/6dyUkkcyYuDiHOwIRXYOJm
79,"Una Vez","Bad Bunny",3795,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
80,"La Difícil","Bad Bunny",3775,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
81,Explícito,"Myke Towers",3773,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
82,Bonita,Jeeiph,3768,https://open.spotify.com/track/7EUvcSFkyVB73zrblhQmEL
83,Ignorantes,"Bad Bunny",3715,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
