,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Biladerim İçin","Ben Fero",2115281,https://open.spotify.com/track/3VC7KLsQnwLdKHRu7J6XBP
2,"3 2 1","Ben Fero",1288998,https://open.spotify.com/track/5NK38OSKOCAoPxTe6sOgW9
3,Felaket,Ezhel,1244539,https://open.spotify.com/track/59l0CeaA4LLngf30waUXWB
4,Babafingo,"Ben Fero",990386,https://open.spotify.com/track/1pNZLvVjMheeoOpuQqKDIJ
5,"Derdim Olsun",Reynmen,818996,https://open.spotify.com/track/0m0Ew7RcwZaBS8psxgE00P
6,"Demet Akalın","Ben Fero",799528,https://open.spotify.com/track/3kyGlb9iNqhKJsS2WVNyzH
7,"Mahallemiz Esmer","Ben Fero",718067,https://open.spotify.com/track/3qOxkhNytyb6ifxNzxxULn
8,"7 rings","Ariana Grande",628457,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
9,Детство,"Rauf & Faik",586625,https://open.spotify.com/track/284ABgw7KmrZj81h4kIc3l
10,Pirana,Şehinşah,577374,https://open.spotify.com/track/4Kqvjf6CBJBTOoMGPYtVX1
11,"Bir İhtimal Biliyorum",Gülşen,558374,https://open.spotify.com/track/24mpJgP2YZUBif9NvmYyh4
12,KAFA10,"Anıl Piyancı",495591,https://open.spotify.com/track/7fUGWMgLzsVdID1eKoPm3b
13,Motivasyon,"Ben Fero",471553,https://open.spotify.com/track/1DZn3kv6JAsqKw8iNWGWP0
14,"Sana Doğru","Bora Duran",455112,https://open.spotify.com/track/79sYvkdnJGFrYx67nBL5Nk
15,Rastafari,Santiz,439882,https://open.spotify.com/track/5Y3vhOJCnVSsE0LzKmUz4L
16,Kimlerdensin,"Ben Fero",433982,https://open.spotify.com/track/4zYPFciGobWPMa0kQQ5BQS
17,"Oldu Olanlar","DJ Tarkan",416526,https://open.spotify.com/track/4LTHcXXwN8OW4fYm5sVNPP
18,"Burası İstanbul","Nil Karaibrahimgil",404010,https://open.spotify.com/track/6atEnsEnO6g0ZDJH1gRIG9
19,"bury a friend","Billie Eilish",403713,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
20,Kıskanç,"Kubilay Karça",397751,https://open.spotify.com/track/4NkKfZe4USK76vt2dVnIQ8
21,"Gel Bana","Mustafa Sandal",393514,https://open.spotify.com/track/3AXScNtH6Ywywwma6u8h95
22,"Ay Tenli Kadın","Ufuk Beydemir",389756,https://open.spotify.com/track/5CaKpl8JB1FMCbsgh0sgO8
23,"Neyim Var Ki (feat. Sagopa K)",Ceza,385984,https://open.spotify.com/track/09XOVDSIbBxBf6Kr1vGnHf
24,"Kazıdık Tırnaklarla",Ezhel,384602,https://open.spotify.com/track/27OWNTEEtJCFVejrh5mqgv
25,Âşık,"Ebru Gündeş",379641,https://open.spotify.com/track/4KA9dY8U5Ih5HTH2pq45bp
26,"Yak Yak Yak",Şehinşah,373511,https://open.spotify.com/track/4GjIoWGPLf7C8LcjK1UNlS
27,Leyla,"Tahribad-ı İsyan",367319,https://open.spotify.com/track/31EltOuKi4PBBExtTTO00s
28,Yaylan,"Ben Fero",351718,https://open.spotify.com/track/75ZL1DKq3jeTnFhzXMeN62
29,Geceler,Ezhel,348181,https://open.spotify.com/track/0R0o8uOkDz40XsR6uwThfQ
30,Diskotek,"Ben Fero",340352,https://open.spotify.com/track/3hLlXmMzCVo04WHmWACs8O
31,İmkansızım,Ezhel,334831,https://open.spotify.com/track/5Y3ZTBwRNrgj3AlXYASvDe
32,lovely,"Billie Eilish",331994,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
33,"Dinle Beni Bi'","Yüzyüzeyken Konuşuruz",328319,https://open.spotify.com/track/11PO9iu6PtpgL1JK4QNUEJ
34,Sabır,Sıla,327505,https://open.spotify.com/track/6I6gNA8Slf7kdSQZ9kObe3
35,"Kiss and Make Up","Dua Lipa",319297,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
36,"break up with your girlfriend, i'm bored","Ariana Grande",307878,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
37,"Var Git","Burak King",303646,https://open.spotify.com/track/6PPY3vA30TJ2SzVxh8i3Ot
38,"Dünya'dan Atlas'a",Şehinşah,296835,https://open.spotify.com/track/0ewiq9snqyF3dULzbMqI3J
39,Yazık,Bengü,295774,https://open.spotify.com/track/54NKLES52dJZKcuLgbNS4B
40,"Say My Name","David Guetta",294496,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
41,"Mary Jane (Radio Edit)","Burry Soprano",290781,https://open.spotify.com/track/51agJccRxKI5dqGJFkTojo
42,"Ne Farkeder","Yüzyüzeyken Konuşuruz",282704,https://open.spotify.com/track/23KSyhPMqyUVrrLo300YiW
43,"Son Mektup",Nilipek.,282533,https://open.spotify.com/track/4ySHSJw95jpVyBhdsLeK8b
44,"Boş Gemiler","Yüzyüzeyken Konuşuruz",281763,https://open.spotify.com/track/5xOAQ5o5mPI2FZZEOu1NZL
45,"Sen Benim Şarkılarımsın","Cem Adrian",279864,https://open.spotify.com/track/79MWhuYapVlBQ4ozGVdO6e
46,"Tarifi Zor","Soner Sarıkabadayı",279163,https://open.spotify.com/track/48BDdjRPUJLjqj7nVmrg4d
47,"Seni Sever Miydim?","Hande Ünsal",279122,https://open.spotify.com/track/2LW11Yumkr933BEzOlSTtU
48,Catla,Velet,268675,https://open.spotify.com/track/7xLuitKqUvy1854AiGaLY0
49,Milyon,Şehinşah,268520,https://open.spotify.com/track/2fqlGvVkoVDCRAA8O5r6bH
50,Niye,"Sura İskenderli",266751,https://open.spotify.com/track/6eYKSd5QD0Xj45ZDDt47dg
51,"İçimdeki Sen","Bilal Sonses",255159,https://open.spotify.com/track/4JHfs0fmHtk9IbaQ3CqXSD
52,"Son Liman","Murat Dalkılıç",246511,https://open.spotify.com/track/29OAg7zVADbu0ONXJppCFX
53,Öpücem,Simge,238965,https://open.spotify.com/track/1pq9w58vpi5nnEllpgl1tF
54,"Bir Derdim Var","mor ve ötesi",238178,https://open.spotify.com/track/5oecOcmSEHs7MZiB0NPbFu
55,"Kural Ne Bilmiyorum","Istanbul Trip",235170,https://open.spotify.com/track/23z6Ev2iQ48ho1MJI6tsVX
56,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",234750,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
57,Buldum,"Ben Fero",233701,https://open.spotify.com/track/2NpuceKgvkdmHG3vJ6VydN
58,Islah,Muşta,225925,https://open.spotify.com/track/5AS7el6HMlK5YcGeUSxR1n
