,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Astronaut In The Ocean","Masked Wolf",193571,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
2,"Seni Dert Etmeler",Madrigal,161275,https://open.spotify.com/track/10n66m41IGjA2ZulKPK7Ew
3,Makina,UZI,156552,https://open.spotify.com/track/2huQiKGkgUfp4WjnVRSobL
4,"Kusura Bakma",Tuğkan,137741,https://open.spotify.com/track/7ng3MkDXpSUVFQEhN6vtqG
5,"ıslak kum",Contra,123201,https://open.spotify.com/track/3XeMdSHi48X0XsDHckDhIM
6,B.S.G.,BEGE,116841,https://open.spotify.com/track/5KvWAPJDBNXzy5l1bywB7x
7,Peşimde,"Kerimcan Durmaz",115365,https://open.spotify.com/track/5G5CKxNBvl6FRqNdVnmJUC
8,"Gece Gündüz",Murda,108206,https://open.spotify.com/track/4jq1WK3fiUU2SOhZ0iaMP1
9,"Hepsi Geçiyor","Oğuzhan Koç",104217,https://open.spotify.com/track/2EiDxAtcTF4vHAr95ztZwU
10,"Uzaklara Savrulalım","Perdenin Ardındakiler",101415,https://open.spotify.com/track/7LGuxwQ3PzCxtinavcMlew
11,Melek,Reynmen,99167,https://open.spotify.com/track/6XbuJHhqugUVdJbTdshUEL
12,"Dünyadan Uzak",Pinhani,95726,https://open.spotify.com/track/4KhTyJ1cJeHaY4ZS2u3e6A
13,"Bir Sebebi Var",İkilem,94936,https://open.spotify.com/track/4WixufiyHUgg1jFqkYop2K
14,"Seni Öptüğüm Sokak","Tuğçe Kandemir",92993,https://open.spotify.com/track/1pgSJ8yNeLCqyrCeix7caQ
15,Samanyolu,Şehinşah,90959,https://open.spotify.com/track/24GcxfpH5DaUCvqBGrTGoU
16,"Allah’ından Bul",Ezhel,90017,https://open.spotify.com/track/350aUOZhGtTOK1dQbQFKNc
17,Zemin,"Emir Can İğrek",89964,https://open.spotify.com/track/5WT3ohLdg04eUy9Bz2sRsi
18,Dua,Güneş,81113,https://open.spotify.com/track/3HEfzQob3O16TIDMPC8PTx
19,Mesafe,"Serdar Ortaç",81040,https://open.spotify.com/track/68DrWFjKkrn2W3mkIRP3bc
20,Kül,"Cem Adrian",80646,https://open.spotify.com/track/5NPg92vbjaGk4q9mh7MMEM
21,"Unutulacak Dünler",Gazapizm,79168,https://open.spotify.com/track/3aXTeIVnDvo2MT1xLTdGK3
22,Olsun,Hadise,78514,https://open.spotify.com/track/5hOHq0l62utc2aP7YSso2Y
23,"Dünyadan Uzak",Sakiler,77569,https://open.spotify.com/track/0RH1ZApXTLZmEexGJaBUX2
24,"Senin Yüzünden",Buray,77301,https://open.spotify.com/track/2xIC5DmTHaGBL83a9OUXM4
25,Whoopty,CJ,74695,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
26,Glock,cakal,74541,https://open.spotify.com/track/1m5zdKxtqhzg3S4WdiHJeo
27,"Uzak Ol","Diyar Pala",74044,https://open.spotify.com/track/3UtxLgkmTZZkPr6scOEglC
28,"Beni Kendinden Kurtar","Perdenin Ardındakiler",72580,https://open.spotify.com/track/4LW7pZxqjg9y3W1k3tHCJv
29,pusu,Contra,72302,https://open.spotify.com/track/5U0qfkw441VfWTGLU1b7gb
30,"Yüreksiz Tilki",Buray,70091,https://open.spotify.com/track/76EZiM6rHEFUSdCoponHZO
31,Streets,"Doja Cat",69504,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
32,"Uzunlar - V1","Evdeki Saat",68698,https://open.spotify.com/track/1vLkBVAy8ZWrqcQjYTPP3a
33,Sallan,Xir,68672,https://open.spotify.com/track/6VIGABEcC3uzw0Bque9ux5
34,"Hepsi Geçti","Melike Şahin",66242,https://open.spotify.com/track/7floiFCj9h0CSJ8vV0e0si
35,"Yıldızlara Bak","Yaşlı Amca",66181,https://open.spotify.com/track/5jSjin6KJMH6WT68YnE7bW
36,"Öptüm Nefesinden","Mustafa Ceceli",65767,https://open.spotify.com/track/2ReOPzZ5eaKbZjLhlMjxDT
37,"Bırakma Kendini","Kaan Boşnak",65023,https://open.spotify.com/track/087cds8zjbUmokjg2jdMOp
38,"Huyu Suyu","emir taha",61524,https://open.spotify.com/track/67VXzMGtIrbj52tB6D4djH
39,"Kazılı Kuyum","Yüzyüzeyken Konuşuruz",60703,https://open.spotify.com/track/5DJEXxOutnFD5GEUVk88yE
40,"Ben Gibi Bakmaz","Lia Shine",60310,https://open.spotify.com/track/3QWpTf2VIdELYUUiKJAXlI
41,Hasbelkader,"Bilal Sonses",60113,https://open.spotify.com/track/5lylTIELvRSbDYKQyrOWBa
42,"Kalbinde Birileri Var","Perdenin Ardındakiler",59178,https://open.spotify.com/track/2OzcQ5gL1VNcOe7FkmE2St
43,"Blinding Lights","The Weeknd",58775,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
44,Retrograde,"Aleyna Tilki",58039,https://open.spotify.com/track/5Lmd5RUrnAuTckG8RxPxyH
45,"Kafamda Kentsel Dönüşümler","İkiye On Kala",57581,https://open.spotify.com/track/22XhZ8DhjqcZ80fO2F1a31
46,Ayaz,"Enes Batur",55710,https://open.spotify.com/track/3kSTzFf50IbksEqdEMmJSR
47,"Ver O Zaman Gömleklerimi",Sıla,55591,https://open.spotify.com/track/2SNvFw3DuQxfeReepENclp
48,Yağmurlar,"Anıl Piyancı",54588,https://open.spotify.com/track/3aX0N8IdY9rECrbuuR4FMp
49,"Sar Bu Şehri (Akustik)",Canozan,54244,https://open.spotify.com/track/4YiW28JXKVnk0wGTLUfUz8
50,Puşt,cakal,53334,https://open.spotify.com/track/0jTT901BlxBFF86h6W6pbZ
51,Madem,"Dolu Kadehi Ters Tut",52947,https://open.spotify.com/track/0AHY9HLMYcbscA2s4KEiJc
52,"Boş Yapma","Zeynep Bastık",52699,https://open.spotify.com/track/50yfuYbSeVQd3T34aUbG7u
53,Mektup,Motive,52655,https://open.spotify.com/track/3V2K2UzQeNNF5VnbDiIUKj
54,"Bi Sonraki Hayatımda Gel",Murda,51913,https://open.spotify.com/track/5SYkeNpjhJPFUMOP5TK8iw
55,"Sakince Yoruldum","Kendimden Hallice",51257,https://open.spotify.com/track/0FqKrH1lJPwSjFyLu8ndlN
56,"GECELERİN DERDİ",BEGE,51006,https://open.spotify.com/track/5L9oweGjkwBg0Mt9ZU9OhW
57,Affet,"Sezen Aksu",50717,https://open.spotify.com/track/0lSMXNAFsSCCtkzclet3oG
58,HARMAN,BEGE,49990,https://open.spotify.com/track/4kyiiyZXqfwaSRaBtIja74
59,"Benimle Kayboldun","Kaan Boşnak",49859,https://open.spotify.com/track/6pJI8iZBKPuMjWDstvO081
60,"Dinle Beni Bi'","Yüzyüzeyken Konuşuruz",49802,https://open.spotify.com/track/11PO9iu6PtpgL1JK4QNUEJ
61,"Sarılırım Birine",Adamlar,49603,https://open.spotify.com/track/4WaxccyM7lk1pmompcC8yR
62,telepatía,"Kali Uchis",48220,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
63,"1 gr eksik","Lil Zey",47921,https://open.spotify.com/track/0l7ZRPrxH67Q6J03Zt4b4a
64,Dargın,"Zeynep Bastık",47877,https://open.spotify.com/track/0y4qZpjvskqgvPY5Wc1mJU
65,"Hiç Uyanmasam","Evdeki Saat",47867,https://open.spotify.com/track/1ewSoltnKAlUG7vl6T6bWU
66,NAZAR,BEGE,46849,https://open.spotify.com/track/17zyym3uvOYjPSfbUgwQCP
67,"Bırakman Doğru Mu 2","Zeynep Bastık",46338,https://open.spotify.com/track/3DZ2ivlwnX8KDyRTmxLGfi
68,Gitme,"Dolu Kadehi Ters Tut",45680,https://open.spotify.com/track/4Sng3wnol2Gb2yXgFdr9lj
69,"Devam (feat. Luciano & Ezhel)",Gentleman,45364,https://open.spotify.com/track/0kjKKPlUlB4q54k0e7HoF8
70,"Seni Buldum Ya","Kaan Boşnak",45229,https://open.spotify.com/track/0raPeXeRFHkq1vrLPw6Xj8
