,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",312324,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2,Lover,"Taylor Swift",203127,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
3,"Beautiful People (feat. Khalid)","Ed Sheeran",199365,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
4,"Without You","高爾宣 OSN",190984,https://open.spotify.com/track/3PkOwdI6mZKr63PSoKwotv
5,"How Do You Sleep?","Sam Smith",169639,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
6,Circles,"Post Malone",165470,https://open.spotify.com/track/4VginDwYTP2eaHJzO0QMjG
7,"Takeaway (feat. Lennon Stella)","The Chainsmokers",160257,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
8,"fuck, i'm lonely",Lauv,159637,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
9,"The Man","Taylor Swift",157503,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70
10,浪流連,EggPlantEgg,155880,https://open.spotify.com/track/7a6VJHMS9ttKsj55cKC51G
11,"boyfriend (with Social House)","Ariana Grande",154840,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
12,"bad guy","Billie Eilish",148927,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
13,這款自作多情,EggPlantEgg,148582,https://open.spotify.com/track/5UfEjWfz8TUck6ElbSAmbl
14,"有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲",A-Lin,143387,https://open.spotify.com/track/6iNH42q8haGYDYGhKK6XiJ
15,"Why You Gonna Lie","高爾宣 OSN",137640,https://open.spotify.com/track/3Pe36EsFqHzcy1BQxWWRpC
16,"Goodbyes (Feat. Young Thug)","Post Malone",135186,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
17,"路過人間 (電視劇《我們與惡的距離》插曲)","Yisa Yu",133565,https://open.spotify.com/track/1ZSleGniKMWNrWvK5cGALO
18,怎麼了,"Eric Chou",133273,https://open.spotify.com/track/2IAumRplFr0Ns09kKgt2je
19,"真的傻 (電影《一吻定情》追愛版主題曲)","LaLa Hsu",127490,https://open.spotify.com/track/7mCr6Rn5jx04Fisvts97Z3
20,绿色,"Shirley Chen",127329,https://open.spotify.com/track/6ZoJngyuPof3KsFhFKA5P5
21,你的酒馆对我打了烊,"Shirley Chen",125002,https://open.spotify.com/track/6BL2V0CvfW9QVHm9oU4Lmk
22,"You Need To Calm Down","Taylor Swift",123777,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
23,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",120347,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
24,I.F.L.Y.,Bazzi,120277,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
25,"Someone You Loved","Lewis Capaldi",119153,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
26,最後一次,"高爾宣 OSN",116273,https://open.spotify.com/track/2Pb9edPBz4ei2SSuXygf1c
27,"I Warned Myself","Charlie Puth",116004,https://open.spotify.com/track/3707IBa4HnS3zDDoWfeUBl
28,"I Don't Care (with Justin Bieber)","Ed Sheeran",112761,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
29,"Without You (Acoustic Version)","高爾宣 OSN",110480,https://open.spotify.com/track/5oITtQMQgQr4jKmgToNNIJ
30,"Slide Away","Miley Cyrus",109396,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
