,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲","Crowd Lu",50566,https://open.spotify.com/track/3OC84eKMxRJ4x0Hcwl9i4i
2,在這座城市遺失了你,告五人,41311,https://open.spotify.com/track/1Ytgo9ipdlTsf6wlg6sXf3
3,飞鸟和蝉,"Ren Ran",41291,https://open.spotify.com/track/0O7O4sssbFxoNoB4QRGra1
4,"Leave The Door Open","Bruno Mars",37338,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
5,"Hold On","Justin Bieber",33503,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
6,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,33314,https://open.spotify.com/track/69zgyr5HVKdInjeKpq1qHa
7,"drivers license","Olivia Rodrigo",29435,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
8,怎麼了,"Eric Chou",27023,https://open.spotify.com/track/5cU1O9P0EDA0rPkPDykhIm
9,"我這個人 - 《我沒有談的那場戀愛》電影宣傳主題曲","Eve Ai",26823,https://open.spotify.com/track/6jUOZRbaQc9nX8grCUTq24
10,"Save Your Tears","The Weeknd",25544,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
11,"HAVE A NICE DAY","Waa Wei",24693,https://open.spotify.com/track/4ioO0T2VDmyhLndmBGlJYL
12,平行世界,G.E.M.,23861,https://open.spotify.com/track/6xGMrc6adNDrMeOnBG0zxI
13,嚣张,En,23089,https://open.spotify.com/track/3t8M86tiO0aKMMTXzRrFn8
14,白月光与朱砂痣,大籽,22836,https://open.spotify.com/track/74nVCj4vMVemLIs71vXcnP
15,Dynamite,BTS,21756,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
16,四季予你,程響,21614,https://open.spotify.com/track/0upiMcFbQHH51etgz4xK0l
17,"天黑請閉眼 (feat. 邱鋒澤)","Nine Chen",21126,https://open.spotify.com/track/0bIbgooxvBkww2ZGeu8VMR
18,CHANGE,E.SO,20655,https://open.spotify.com/track/4E5PyVOBH25CICgTURwGXM
19,句號,G.E.M.,20573,https://open.spotify.com/track/66YKSygcUZHHqHJZcWslI3
20,"We're Good","Dua Lipa",20502,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
21,她沒在看我,E.SO,20470,https://open.spotify.com/track/5QbK5PrR9wbog3M5vVAn2n
22,"Without You","高爾宣 OSN",19962,https://open.spotify.com/track/0KWnRv3wxjltYVB3MqjNd2
23,慢冷,"Fish Leong",19364,https://open.spotify.com/track/3NNDJfWMGHuNpvHWTImmlW
24,披星戴月的想你,告五人,19112,https://open.spotify.com/track/7tgzj2IqzSgUpxUhjmcF5m
25,炎,LiSA,19073,https://open.spotify.com/track/0cSkn2l67csUljEy0EEBPn
26,說好不哭,"Jay Chou",18953,https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf
27,他們說我是沒有用的年輕人,"Good Band",18853,https://open.spotify.com/track/2h5j6lshsRkShTQ527SOlj
28,Anyone,"Justin Bieber",18779,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
29,"很久以後 - 電影《可不可以,你也剛好喜歡我》主題曲",G.E.M.,18762,https://open.spotify.com/track/6lZKB76djHxzO0p2Y3E8vj
30,"因為你 所以我",Mayday,18652,https://open.spotify.com/track/3oRP6yGs5d0kFpGRRzzaS8
31,"Someone You Loved","Lewis Capaldi",18217,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
32,"炙愛 - 女聲版","Vicky Chen",18216,https://open.spotify.com/track/3CEkc8f1UDvI7kohz3ARpA
33,positions,"Ariana Grande",18116,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
34,少年,梦然,18112,https://open.spotify.com/track/56XaEf9Mo2Njaxa9TIn5LR
35,"Levitating (feat. DaBaby)","Dua Lipa",18073,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
36,"My Love is Selfish","Vicky Chen",18037,https://open.spotify.com/track/3kBlpPmT91m16p1X8uUiIJ
37,失重前幸褔,艾薇,17947,https://open.spotify.com/track/0NHsxQj4j6gPz8PdRc5KKh
38,唯一,告五人,17554,https://open.spotify.com/track/19fp9nI0tq0lcBl7XoCHAb
39,"So Bad","高爾宣 OSN",17493,https://open.spotify.com/track/0q1FMCm6hZhyPomad3LQES
40,彼個所在,"Waa Wei",17064,https://open.spotify.com/track/1WHzHtbCV4OoB0TLgG7eMD
41,正想著你呢,"Chih Siou",17005,https://open.spotify.com/track/4YxVgJAkGsUnqLvEzjz8Ry
42,"真的傻 (電影《一吻定情》追愛版主題曲)","LaLa Hsu",16990,https://open.spotify.com/track/7mCr6Rn5jx04Fisvts97Z3
43,0.03,ØZI,16852,https://open.spotify.com/track/00FVmIy2twfxxY4wVLazft
44,"Something I Don't Need",E.SO,16812,https://open.spotify.com/track/3yWMv4KSXoh1l61cAqykl1
45,"如果能幸福 - HBO Asia原創影集《戒指流浪記》片尾曲","Eric Chou",16626,https://open.spotify.com/track/0TVrlU8El0K6U1pC2LOt09
46,willow,"Taylor Swift",16054,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
47,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",16010,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
48,太陽,E.SO,15839,https://open.spotify.com/track/3Bij7rScgMAWeCXpA3qJk9
49,34+35,"Ariana Grande",15769,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
50,夜に駆ける,YOASOBI,14849,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB
51,88BARS,Kumachan,14619,https://open.spotify.com/track/1UV2FKjKyikEWLH0J3f58E
52,年少有為,"Ronghao Li",14477,https://open.spotify.com/track/6XY80Ofqd8j0SGiEdRLwCp
53,"路過人間 (電視劇《我們與惡的距離》插曲)","Yisa Yu",14299,https://open.spotify.com/track/1ZSleGniKMWNrWvK5cGALO
54,"What’s Next",Drake,14285,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
55,紅蓮華,LiSA,14080,https://open.spotify.com/track/0qMip0B2D4ePEjBJvAtYre
56,"Heartbreak Anniversary",Giveon,13591,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
57,太陽,"Pika Chiu",13454,https://open.spotify.com/track/3mAc5QY56d5Zl1MbvnWybK
58,不是因為天氣晴朗才愛你,理想混蛋,13370,https://open.spotify.com/track/2VEt42QSQxILgEf9B50xxm
59,浪流連,EggPlantEgg,13225,https://open.spotify.com/track/7a6VJHMS9ttKsj55cKC51G
60,生日禮物2020,"Grady Guan",13037,https://open.spotify.com/track/4xDPYSavntN5EiS193bT7u
61,芒种,音阙诗听,12989,https://open.spotify.com/track/3IP4qSMfGeqI2XqHFf25sj
62,"小心翻閱 Going Through","Shi Shi",12983,https://open.spotify.com/track/3cOhCnSgKFEcEzFPNpsQJe
63,"Be Kind (with Halsey)",Marshmello,12849,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
64,Up,"Cardi B",12745,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
65,"別人的 - 電影《孤味》片尾曲","Vivian Hsu",12615,https://open.spotify.com/track/7gbP8Afrc0ufYGqb93T8Mt
66,別再想見我,許光漢,12525,https://open.spotify.com/track/7xv1df9mhiy8JyPvaUW61f
67,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",12321,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
68,"Someday or One day","Shi Shi",12289,https://open.spotify.com/track/6g8swuEcibJXvxw2vjBzHx
69,无人之岛,"Ren Ran",12184,https://open.spotify.com/track/2F5RaL5gh6tBFyAVudaIqs
70,"How You Like That",BLACKPINK,12141,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
71,"Lovesick Girls",BLACKPINK,12126,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
72,Memories,"Maroon 5",12054,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
73,Señorita,"Shawn Mendes",12047,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
74,Afterglow,"Ed Sheeran",12044,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
75,假如我是你,"Sophie Chen",11953,https://open.spotify.com/track/3omjKl3rCkDG0SEyIMdLdM
76,輸情歌,J.Sheon,11936,https://open.spotify.com/track/2Ub5ZGPsej0A6YpvzhntLL
77,"Life Goes On",BTS,11895,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
78,緩緩,"A-Mei Chang",11806,https://open.spotify.com/track/6GD7YFzkLd6nxKrbGqtKpp
79,"有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲",A-Lin,11722,https://open.spotify.com/track/3ayrHkyorPEpeOBvZ76SwG
80,"Mood (feat. iann dior)",24kGoldn,11638,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
81,用破碎的心修好破碎的心,"Chih Siou",11553,https://open.spotify.com/track/3EvumpHbK2EfvajrCxpjt4
82,"I'm Not Cool",HyunA,11524,https://open.spotify.com/track/5iIpbD34k4wnuRMZDNnuWf
83,"Selfish Love (with Selena Gomez)","DJ Snake",11454,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
84,"Calling My Phone","Lil Tjay",11431,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
85,"I CAN'T STOP ME",TWICE,11388,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
