,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"What’s Next",Drake,1667324,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
2,"Wants and Needs (feat. Lil Baby)",Drake,1476975,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
3,"Leave The Door Open","Bruno Mars",1131768,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
4,"drivers license","Olivia Rodrigo",1079006,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
5,telepatía,"Kali Uchis",1001028,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
6,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,993989,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
7,"Calling My Phone","Lil Tjay",983497,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
8,Up,"Cardi B",932835,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
9,"Good Days",SZA,877398,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
10,Streets,"Doja Cat",832707,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
11,"Save Your Tears","The Weeknd",766305,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
12,"Hold On","Justin Bieber",715425,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
13,"Astronaut In The Ocean","Masked Wolf",617962,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
14,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",611592,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
15,"Blinding Lights","The Weeknd",599348,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,"Heartbreak Anniversary",Giveon,595676,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
17,"Best Friend (feat. Doja Cat)",Saweetie,574903,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
18,"Heat Waves","Glass Animals",574608,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
19,"Levitating (feat. DaBaby)","Dua Lipa",563080,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
20,"WITHOUT YOU","The Kid LAROI",558739,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
21,"Mood (feat. iann dior)",24kGoldn,558289,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
22,DÁKITI,"Bad Bunny",515921,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
23,Whoopty,CJ,507998,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
24,"Sweater Weather","The Neighbourhood",469194,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
25,34+35,"Ariana Grande",456998,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
26,"What You Know Bout Love","Pop Smoke",448251,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
27,positions,"Ariana Grande",443553,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
28,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",435997,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
29,"Real As It Gets (feat. EST Gee)","Lil Baby",426727,https://open.spotify.com/track/7eX3um6NpOQKWJMGCi97XD
30,"Laugh Now Cry Later (feat. Lil Durk)",Drake,425464,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
31,"Therefore I Am","Billie Eilish",423435,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
32,"On Me","Lil Baby",422331,https://open.spotify.com/track/4Iedi94TIaB2GGb1nMB68v
33,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",417945,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
34,"WAP (feat. Megan Thee Stallion)","Cardi B",412832,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
35,"you broke me first","Tate McRae",405212,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
36,"my ex's best friend (with blackbear)","Machine Gun Kelly",405175,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
37,"Beat Box 3 (feat. DaBaby)",SpotemGottem,398699,https://open.spotify.com/track/6toQdWWc4noiOk3Eo5mVDS
38,"Wishing Well","Juice WRLD",395066,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
39,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,389137,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
40,"All Girls Are The Same","Juice WRLD",389136,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
41,"Wasted On You","Morgan Wallen",388765,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
