,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mamichula - con Nicki Nicole",Trueno,145212,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
2,Caramelo,Ozuna,136116,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
3,"La Curiosidad","Jay Wheeler",133171,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
4,"Tattoo - Remix with Camilo","Rauw Alejandro",127583,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
5,"Ay, DiOs Mío!","KAROL G",107786,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
6,"La Jeepeta - Remix","Nio Garcia",105488,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
7,Relación,Sech,98728,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
8,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,93815,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
9,Hawái,Maluma,89764,https://open.spotify.com/track/4uoR6qeWeuL4Qeu2qJzkuG
10,"Djadja (feat. Maluma) - Remix","Aya Nakamura",79522,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
11,"Hasta Que Dios Diga","Anuel AA",75644,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
12,Favorito,Camilo,72509,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
13,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",67165,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
14,PORFA,Feid,64525,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
15,"Tak Tiki Tak","Harry Nach",62752,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
16,"Ella Dice",TINI,56654,https://open.spotify.com/track/5UKBbglwH7gZEkzfuWGn5J
17,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,55670,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
18,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",54940,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
19,Rojo,"J Balvin",54068,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
20,"Sangría - con WOS",Trueno,53645,https://open.spotify.com/track/51aMyZzlIOitdIA4vyF0JO
21,Colocao,"Nicki Nicole",53398,https://open.spotify.com/track/7MCFjPDImfjQv7GynHgVrR
22,PAPÁS,"Mau y Ricky",52220,https://open.spotify.com/track/2pI0OyprOJssVYlqx9ZO3t
23,"El Mismo Aire - con Pablo Alborán",Camilo,51987,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
24,"Quiéreme Mientras Se Pueda","Manuel Turizo",49936,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
25,"Si Me Dices Que Sí",Reik,49262,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
26,Flexin',"Lit Killah",49218,https://open.spotify.com/track/0hwEhPxCBLKiqeBMZavGAv
27,Azul,"J Balvin",48362,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
28,"Por Primera Vez",Camilo,47829,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
29,Reggaetonera,"Anuel AA",47514,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH
30,"El Efecto - Remix","Rauw Alejandro",47499,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
