,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Además de Mí - Remix",Rusherking,26430,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
2,"Ella No Es Tuya - Remix","Rochy RD",22911,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
3,Bandido,"Myke Towers",20588,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
4,"LA NOCHE DE ANOCHE","Bad Bunny",16604,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
5,"Hecha Pa' Mi",Boza,15415,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
6,BICHOTA,"KAROL G",14893,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
7,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",14190,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
8,DÁKITI,"Bad Bunny",13710,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
9,"L-Gante Rkt","Papu DJ",13276,https://open.spotify.com/track/6EHrppRT1Uj4cyShAujxFu
10,Animal,"Maria Becerra",12643,https://open.spotify.com/track/3OXxCquI8i14EigwILaLx9
11,"Si Me Tomo Una Cerveza",Migrantes,12113,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
12,"La Nota","Manuel Turizo",11299,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
13,911,Sech,11235,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
14,Reloj,"Rauw Alejandro",11018,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
15,"Ropa Cara",Camilo,10920,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
16,BEBÉ,Camilo,10219,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
17,Bésame,"El Reja",9817,https://open.spotify.com/track/5uD4fcXch2qE5LYeyDipA1
