"Year","TradeFlowName","TradeValue_in_1000_USD","NetWeight_in_KGM","first","second","third","fourth"
"2008","Export","3837.731","637283","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2008","Export","1274135.992","448581150","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2008","Import","7630.047","219246","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2008","Import","427026.584","951889878","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2008","Import","10053.232","1990","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2009","Export","3579.071","793401","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2009","Export","1252161.93","599694221","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2009","Import","11686.515","156481","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2009","Import","123773.41","248755917","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2009","Import","8563.195","2138","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2010","Export","3275.263","736178","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2010","Export","1606695.286","773013967","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2010","Import","4587.265","331391","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2010","Import","217573.064","527878101","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2010","Import","9726.978","2374","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2011","Export","3741.413","747038","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2011","Export","2322437.878","561830328","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2011","Import","5807.836","416847","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2011","Import","459336.226","254301601","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2011","Import","14354.339","2830","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2012","Export","2525.19","596420","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2012","Export","1837516.807","1223290784","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2012","Import","4112.03","272455","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2012","Import","95018.279","64365227","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2012","Import","18591.89","3163","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2013","Export","4103.417","868334","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2013","Export","2003821.164","1920207006","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2013","Import","3978.679","212267","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2013","Import","1251395.973","3503397831","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2013","Import","18133.688","3053","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2014","Export","4645.529","803994","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2014","Export","2231640.504","1590668857","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2014","Import","7707.381","179481","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2014","Import","944086.822","2670185870","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2014","Import","20687.252","4118","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2015","Export","3717.417","511097","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2015","Export","1739740.924","788007979","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2015","Import","2316.869","108147","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2015","Import","185611.915","463884501","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2015","Import","20007.671","4523","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2016","Export","5448.082","354893","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2016","Export","1511423.112","643788044","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2016","Export","0.198","","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2016","Import","2071.796","75463","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2016","Import","366201.988","1274938245","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2016","Import","15950.247","6863","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2017","Export","5999.176","257801","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2017","Export","1480770.902","588216161","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2017","Import","3758.81","99867","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2017","Import","241259.672","54155136","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2017","Import","49.757","0","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2018","Export","5432.574","193247","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2018","Export","1366504.374","577099641","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2018","Export","0.75","20","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2018","Import","3361.673","125288","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2018","Import","200619.325","28832630","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2019","Export","9248.657","41094","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2019","Export","1568252.934","989178619","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2019","Import","3093.232","152302","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2019","Import","221225.183","437153055","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery","Agricultural, forestry, and fishery"
"2008","Export","1463.705","583891","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2008","Export","1123390.167","415046655","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2008","Import","392301.755","942699930","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2009","Export","1785.834","745534","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2009","Export","1119115.167","568659319","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2009","Import","101041.715","243713807","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2010","Export","1885.626","694722","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2010","Export","1423811.188","738211530","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2010","Import","18.622","5741","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2010","Import","184590.851","523967256","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
"2011","Export","2356.394","711677","Agricultural, forestry, and fishery","Agricultural products","Agricultural products","Agricultural products"
