Year,TradeFlowName,TradeValueK,first,second,third,fourth
2008,Export,3837.731,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2008,Export,1274135.992,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2008,Import,7630.047,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2008,Import,427026.584,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2008,Import,10053.232,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2009,Export,3579.071,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2009,Export,1252161.93,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2009,Import,11686.515,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2009,Import,123773.41,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2009,Import,8563.195,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2010,Export,3275.263,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2010,Export,1606695.286,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2010,Import,4587.265,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2010,Import,217573.064,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2010,Import,9726.978,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2011,Export,3741.413,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2011,Export,2322437.878,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2011,Import,5807.836,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2011,Import,459336.226,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2011,Import,14354.339,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2012,Export,2525.19,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2012,Export,1837516.807,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2012,Import,4112.03,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2012,Import,95018.279,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2012,Import,18591.89,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2013,Export,4103.417,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2013,Export,2003821.164,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2013,Import,3978.679,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2013,Import,1251395.973,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2013,Import,18133.688,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2014,Export,4645.529,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2014,Export,2231640.504,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2014,Import,7707.381,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2014,Import,944086.822,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2014,Import,20687.252,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
