0,1,2,3,9,Year,TradeFlowName
231887.307,4275387.48,9008825.197,13723676.575,37011.753,2010,Import
1609970.549,4389448.443,4744325.081,8611551.585,37351.561,2010,Export
1255741.001,2742793.634,4083830.326,7586357.353,22449.464,2009,Export
2007924.581,3975339.521,6266769.712,12219895.731,97233.663,2013,Export
1516871.392,1688098.755,5833660.89,14012734.31,149331.13,2016,Export
1577501.591,5316615.296,6968392.263,15756190.154,239785.959,2019,Export
1486770.078,3310317.045,6641118.827,15443083.301,171319.427,2017,Export
245068.239,7721860.469,9178271.371,7957544.477,8316.519,2017,Import
224318.415,11364045.675,9868140.747,8909428.561,51444.668,2019,Import
1277973.723,5291068.216,6028916.979,15062941.909,27195.367,2008,Export
117722.199,6022981.375,10545061.734,15887142.669,37098.447,2012,Import
444709.863,2490351.083,8547066.47,14346957.38,21816.239,2008,Import
1273508.34,6535441.711,11454933.399,17000764.896,32209.145,2013,Import
2236286.033,3954987.592,5895510.253,14591474.519,119960.725,2014,Export
1743458.341,2462616.597,5676365.8,14013483.681,104553.392,2015,Export
144023.12,1933371.241,6980483.789,11146864.05,13335.104,2009,Import
2326179.291,6098213.42,5807151.281,11562949.842,61286.63,2011,Export
479498.401,6367774.795,11306279.111,16048256.662,39662.298,2011,Import
972481.455,7182372.771,11301642.653,15827037.761,34771.354,2014,Import
207936.455,3788034.395,9748140.574,13004831.117,12711.142,2015,Import
1371937.698,4238086.383,7038067.571,16321979.097,120814.301,2018,Export
203980.998,10439633.635,10214669.182,8405511.369,86325.66,2018,Import
384224.031,4265665.569,8633964.852,10802356.722,12897.604,2016,Import
1840041.997,5953771.054,6481164.984,12364960.953,84253.866,2012,Export
