Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValueK,Quantity,ProductDescription,QtyUnit,NetWeightKG
IU,BRA,0,Brazil,USA,United States,2008,Export,6,3837.731,2062221,"Agricultural, forestry, and fishery",Item,637283
IU,BRA,0,Brazil,USA,United States,2008,Export,6,1274135.992,448581150,"Agricultural, forestry, and fishery",Kg,448581150
IU,BRA,0,Brazil,USA,United States,2008,Import,5,7630.047,174721,"Agricultural, forestry, and fishery",Item,219246
IU,BRA,0,Brazil,USA,United States,2008,Import,5,427026.584,951889878,"Agricultural, forestry, and fishery",Kg,951889878
IU,BRA,0,Brazil,USA,United States,2008,Import,5,10053.232,,"Agricultural, forestry, and fishery",N.Q.,1990
IU,BRA,0,Brazil,USA,United States,2009,Export,6,3579.071,2778621,"Agricultural, forestry, and fishery",Item,793401
IU,BRA,0,Brazil,USA,United States,2009,Export,6,1252161.93,599694221,"Agricultural, forestry, and fishery",Kg,599694221
IU,BRA,0,Brazil,USA,United States,2009,Import,5,11686.515,201024,"Agricultural, forestry, and fishery",Item,156481
IU,BRA,0,Brazil,USA,United States,2009,Import,5,123773.41,248755917,"Agricultural, forestry, and fishery",Kg,248755917
IU,BRA,0,Brazil,USA,United States,2009,Import,5,8563.195,,"Agricultural, forestry, and fishery",N.Q.,2138
IU,BRA,0,Brazil,USA,United States,2010,Export,6,3275.263,4342601,"Agricultural, forestry, and fishery",Item,736178
IU,BRA,0,Brazil,USA,United States,2010,Export,6,1606695.286,773013967,"Agricultural, forestry, and fishery",Kg,773013967
IU,BRA,0,Brazil,USA,United States,2010,Import,5,4587.265,452390,"Agricultural, forestry, and fishery",Item,331391
IU,BRA,0,Brazil,USA,United States,2010,Import,5,217573.064,527878101,"Agricultural, forestry, and fishery",Kg,527878101
IU,BRA,0,Brazil,USA,United States,2010,Import,5,9726.978,,"Agricultural, forestry, and fishery",N.Q.,2374
IU,BRA,0,Brazil,USA,United States,2011,Export,6,3741.413,5593028,"Agricultural, forestry, and fishery",Item,747038
IU,BRA,0,Brazil,USA,United States,2011,Export,6,2322437.878,561830328,"Agricultural, forestry, and fishery",Kg,561830328
IU,BRA,0,Brazil,USA,United States,2011,Import,5,5807.836,71876,"Agricultural, forestry, and fishery",Item,416847
IU,BRA,0,Brazil,USA,United States,2011,Import,5,459336.226,254301601,"Agricultural, forestry, and fishery",Kg,254301601
IU,BRA,0,Brazil,USA,United States,2011,Import,5,14354.339,,"Agricultural, forestry, and fishery",N.Q.,2830
IU,BRA,0,Brazil,USA,United States,2012,Export,6,2525.19,4583742,"Agricultural, forestry, and fishery",Item,596420
IU,BRA,0,Brazil,USA,United States,2012,Export,6,1837516.807,1223290784,"Agricultural, forestry, and fishery",Kg,1223290784
IU,BRA,0,Brazil,USA,United States,2012,Import,5,4112.03,226381,"Agricultural, forestry, and fishery",Item,272455
IU,BRA,0,Brazil,USA,United States,2012,Import,5,95018.279,64365227,"Agricultural, forestry, and fishery",Kg,64365227
IU,BRA,0,Brazil,USA,United States,2012,Import,5,18591.89,,"Agricultural, forestry, and fishery",N.Q.,3163
IU,BRA,0,Brazil,USA,United States,2013,Export,6,4103.417,7465237,"Agricultural, forestry, and fishery",Item,868334
IU,BRA,0,Brazil,USA,United States,2013,Export,6,2003821.164,1920207006,"Agricultural, forestry, and fishery",Kg,1920207006
IU,BRA,0,Brazil,USA,United States,2013,Import,5,3978.679,142985,"Agricultural, forestry, and fishery",Item,212267
IU,BRA,0,Brazil,USA,United States,2013,Import,5,1251395.973,3503397831,"Agricultural, forestry, and fishery",Kg,3503397831
IU,BRA,0,Brazil,USA,United States,2013,Import,5,18133.688,,"Agricultural, forestry, and fishery",N.Q.,3053
IU,BRA,0,Brazil,USA,United States,2014,Export,6,4645.529,7154733,"Agricultural, forestry, and fishery",Item,803994
IU,BRA,0,Brazil,USA,United States,2014,Export,6,2231640.504,1590668857,"Agricultural, forestry, and fishery",Kg,1590668857
IU,BRA,0,Brazil,USA,United States,2014,Import,5,7707.381,213017,"Agricultural, forestry, and fishery",Item,179481
IU,BRA,0,Brazil,USA,United States,2014,Import,5,944086.822,2670185870,"Agricultural, forestry, and fishery",Kg,2670185870
IU,BRA,0,Brazil,USA,United States,2014,Import,5,20687.252,,"Agricultural, forestry, and fishery",N.Q.,4118
IU,BRA,0,Brazil,USA,United States,2015,Export,6,3717.417,2956582,"Agricultural, forestry, and fishery",Item,511097
IU,BRA,0,Brazil,USA,United States,2015,Export,6,1739740.924,788007979,"Agricultural, forestry, and fishery",Kg,788007979
IU,BRA,0,Brazil,USA,United States,2015,Import,5,2316.869,48999,"Agricultural, forestry, and fishery",Item,108147
IU,BRA,0,Brazil,USA,United States,2015,Import,5,185611.915,463884501,"Agricultural, forestry, and fishery",Kg,463884501
IU,BRA,0,Brazil,USA,United States,2015,Import,5,20007.671,,"Agricultural, forestry, and fishery",N.Q.,4523
IU,BRA,0,Brazil,USA,United States,2016,Export,6,5448.082,1140332,"Agricultural, forestry, and fishery",Item,354893
IU,BRA,0,Brazil,USA,United States,2016,Export,6,1511423.112,643788044,"Agricultural, forestry, and fishery",Kg,643788044
IU,BRA,0,Brazil,USA,United States,2016,Export,6,0.198,,"Agricultural, forestry, and fishery",N.Q.,
IU,BRA,0,Brazil,USA,United States,2016,Import,5,2071.796,15663,"Agricultural, forestry, and fishery",Item,75463
IU,BRA,0,Brazil,USA,United States,2016,Import,5,366201.988,1274938245,"Agricultural, forestry, and fishery",Kg,1274938245
IU,BRA,0,Brazil,USA,United States,2016,Import,5,15950.247,,"Agricultural, forestry, and fishery",N.Q.,6863
IU,BRA,0,Brazil,USA,United States,2017,Export,6,5999.176,731834,"Agricultural, forestry, and fishery",Item,257801
IU,BRA,0,Brazil,USA,United States,2017,Export,6,1480770.902,588218877.5,"Agricultural, forestry, and fishery",Kg,588216161
IU,BRA,0,Brazil,USA,United States,2017,Import,5,3758.81,20219,"Agricultural, forestry, and fishery",Item,99867
IU,BRA,0,Brazil,USA,United States,2017,Import,5,241259.672,388271120.9,"Agricultural, forestry, and fishery",Kg,54155136
IU,BRA,0,Brazil,USA,United States,2017,Import,5,49.757,0,"Agricultural, forestry, and fishery",N.Q.,0
IU,BRA,0,Brazil,USA,United States,2018,Export,6,5432.574,19660,"Agricultural, forestry, and fishery",Item,193247
IU,BRA,0,Brazil,USA,United States,2018,Export,6,1366504.374,577505390.1,"Agricultural, forestry, and fishery",Kg,577099641
IU,BRA,0,Brazil,USA,United States,2018,Export,6,0.75,0,"Agricultural, forestry, and fishery",N.Q.,20
IU,BRA,0,Brazil,USA,United States,2018,Import,5,3361.673,45694,"Agricultural, forestry, and fishery",Item,125288
IU,BRA,0,Brazil,USA,United States,2018,Import,5,200619.325,298900280.6,"Agricultural, forestry, and fishery",Kg,28832630
IU,BRA,0,Brazil,USA,United States,2019,Export,6,9248.657,53471,"Agricultural, forestry, and fishery",Item,41094
IU,BRA,0,Brazil,USA,United States,2019,Export,6,1568252.934,989348838.8,"Agricultural, forestry, and fishery",Kg,989178619
IU,BRA,0,Brazil,USA,United States,2019,Import,5,3093.232,156605,"Agricultural, forestry, and fishery",Item,152302
IU,BRA,0,Brazil,USA,United States,2019,Import,5,221225.183,437982802.7,"Agricultural, forestry, and fishery",Kg,437153055
IU,BRA,1,Brazil,USA,United States,2008,Export,6,1463.705,2012663,Agricultural products,Item,583891
IU,BRA,1,Brazil,USA,United States,2008,Export,6,1123390.167,415046655,Agricultural products,Kg,415046655
IU,BRA,1,Brazil,USA,United States,2008,Import,5,392301.755,942699930,Agricultural products,Kg,942699930
IU,BRA,1,Brazil,USA,United States,2009,Export,6,1785.834,2762973,Agricultural products,Item,745534
IU,BRA,1,Brazil,USA,United States,2009,Export,6,1119115.167,568659319,Agricultural products,Kg,568659319
IU,BRA,1,Brazil,USA,United States,2009,Import,5,101041.715,243713807,Agricultural products,Kg,243713807
IU,BRA,1,Brazil,USA,United States,2010,Export,6,1885.626,4342482,Agricultural products,Item,694722
IU,BRA,1,Brazil,USA,United States,2010,Export,6,1423811.188,738211530,Agricultural products,Kg,738211530
IU,BRA,1,Brazil,USA,United States,2010,Import,5,18.622,351000,Agricultural products,Item,5741
IU,BRA,1,Brazil,USA,United States,2010,Import,5,184590.851,523967256,Agricultural products,Kg,523967256
IU,BRA,1,Brazil,USA,United States,2011,Export,6,2356.394,5592857,Agricultural products,Item,711677
IU,BRA,1,Brazil,USA,United States,2011,Export,6,2164063.888,528958945,Agricultural products,Kg,528958945
IU,BRA,1,Brazil,USA,United States,2011,Import,5,428503.722,250190125,Agricultural products,Kg,250190125
IU,BRA,1,Brazil,USA,United States,2012,Export,6,1719.865,4583650,Agricultural products,Item,567768
IU,BRA,1,Brazil,USA,United States,2012,Export,6,1698242.398,1194441305,Agricultural products,Kg,1194441305
IU,BRA,1,Brazil,USA,United States,2012,Import,5,2.448,100900,Agricultural products,Item,9058
IU,BRA,1,Brazil,USA,United States,2012,Import,5,63344.933,59825492,Agricultural products,Kg,59825492
IU,BRA,1,Brazil,USA,United States,2013,Export,6,2337.994,7464994,Agricultural products,Item,810427
IU,BRA,1,Brazil,USA,United States,2013,Export,6,1833889.547,1885838860,Agricultural products,Kg,1885838860
IU,BRA,1,Brazil,USA,United States,2013,Import,5,1210656.996,3498144907,Agricultural products,Kg,3498144907
IU,BRA,1,Brazil,USA,United States,2014,Export,6,2196.011,7154630,Agricultural products,Item,776675
IU,BRA,1,Brazil,USA,United States,2014,Export,6,2019279.991,1551075777,Agricultural products,Kg,1551075777
IU,BRA,1,Brazil,USA,United States,2014,Import,5,908230.203,2665605737,Agricultural products,Kg,2665605737
IU,BRA,1,Brazil,USA,United States,2015,Export,6,1441.347,2956377,Agricultural products,Item,472535
IU,BRA,1,Brazil,USA,United States,2015,Export,6,1525704.378,746982523,Agricultural products,Kg,746982523
IU,BRA,1,Brazil,USA,United States,2015,Import,5,144287.686,460052861,Agricultural products,Kg,460052861
IU,BRA,1,Brazil,USA,United States,2016,Export,6,719.16,1139437,Agricultural products,Item,304193
IU,BRA,1,Brazil,USA,United States,2016,Export,6,1283259.479,597496038,Agricultural products,Kg,597496038
IU,BRA,1,Brazil,USA,United States,2016,Import,5,0.125,2500,Agricultural products,Item,19
IU,BRA,1,Brazil,USA,United States,2016,Import,5,328553.398,1271325061,Agricultural products,Kg,1271325061
IU,BRA,1,Brazil,USA,United States,2017,Export,6,548.5,731184,Agricultural products,Item,206533
IU,BRA,1,Brazil,USA,United States,2017,Export,6,1194643.039,541221335.4,Agricultural products,Kg,541221335
IU,BRA,1,Brazil,USA,United States,2017,Import,5,8.868,1442,Agricultural products,Item,7
IU,BRA,1,Brazil,USA,United States,2017,Import,5,184312.74,385746105,Agricultural products,Kg,51853054
IU,BRA,1,Brazil,USA,United States,2017,Import,5,49.757,0,Agricultural products,N.Q.,0
IU,BRA,1,Brazil,USA,United States,2018,Export,6,434.384,19200,Agricultural products,Item,158050
IU,BRA,1,Brazil,USA,United States,2018,Export,6,1062773.552,524221585.3,Agricultural products,Kg,524064314
IU,BRA,1,Brazil,USA,United States,2018,Export,6,0.671,0,Agricultural products,N.Q.,
IU,BRA,1,Brazil,USA,United States,2018,Import,5,129974.719,296464507,Agricultural products,Kg,26833488
IU,BRA,1,Brazil,USA,United States,2019,Export,6,35.159,52970,Agricultural products,Item,13983
IU,BRA,1,Brazil,USA,United States,2019,Export,6,1251375.123,930152926.2,Agricultural products,Kg,930002884
IU,BRA,1,Brazil,USA,United States,2019,Import,5,75.577,152500,Agricultural products,Item,4001
IU,BRA,1,Brazil,USA,United States,2019,Import,5,138497.547,434800675,Agricultural products,Kg,434596093
IU,BRA,11,Brazil,USA,United States,2008,Export,6,10629.35,4196724,Cash grains and other crops,Kg,4196724
IU,BRA,11,Brazil,USA,United States,2008,Import,5,322397.679,909340463,Cash grains and other crops,Kg,909340463
IU,BRA,11,Brazil,USA,United States,2009,Export,6,24689.624,129984653,Cash grains and other crops,Kg,129984653
IU,BRA,11,Brazil,USA,United States,2009,Import,5,52746.197,219189997,Cash grains and other crops,Kg,219189997
IU,BRA,11,Brazil,USA,United States,2010,Export,6,49693.88,272052195,Cash grains and other crops,Kg,272052195
IU,BRA,11,Brazil,USA,United States,2010,Import,5,119720.317,494752341,Cash grains and other crops,Kg,494752341
IU,BRA,11,Brazil,USA,United States,2011,Export,6,10996.811,21424455,Cash grains and other crops,Kg,21424455
IU,BRA,11,Brazil,USA,United States,2011,Import,5,33089.585,104675101,Cash grains and other crops,Kg,104675101
IU,BRA,11,Brazil,USA,United States,2012,Export,6,216261.908,788562517,Cash grains and other crops,Kg,788562517
IU,BRA,11,Brazil,USA,United States,2012,Import,5,16609.932,47047035,Cash grains and other crops,Kg,47047035
IU,BRA,11,Brazil,USA,United States,2013,Export,6,490999.105,1441621666,Cash grains and other crops,Kg,1441621666
IU,BRA,11,Brazil,USA,United States,2013,Import,5,1145174.246,3477529094,Cash grains and other crops,Kg,3477529094
