Year,TradeFlowName,TradeValueK,ProductCode,first,second,third,fourth
2015,Import,0,3,3,3: Other,,
2014,Import,0,1,1,1: Other,,
2010,Export,10507.577,9,9,9: Other,,
2017,Import,-9.313225746e-10,3,3,3: Other,,
2012,Export,24692.348,9,9,9: Other,,
2015,Export,-1.862645149e-09,3,3,3: Other,,
2009,Import,1.862645149e-09,3,3,3: Other,,
2011,Export,0,1,1,1: Other,,
2008,Export,0,0,0,0: Other,,
2011,Import,-9.313225746e-10,1,1,1: Other,,
2018,Export,0,3,3,3: Other,,
2017,Export,-9.313225746e-10,2,2,2: Other,,
2010,Import,-1.862645149e-09,2,2,2: Other,,
2017,Import,0,0,0,0: Other,,
2009,Export,0,3,3,3: Other,,
2009,Import,-2.328306437e-10,1,1,1: Other,,
2009,Export,0,1,1,1: Other,,
2012,Export,-9.313225746e-10,2,2,2: Other,,
2008,Export,0,3,3,3: Other,,
2011,Import,6677.722,9,9,9: Other,,
2017,Export,4.656612873e-10,1,1,1: Other,,
2017,Import,1.862645149e-09,2,2,2: Other,,
2011,Export,0,2,2,2: Other,,
2014,Export,0,2,2,2: Other,,
2013,Export,56225.494,9,9,9: Other,,
2016,Import,4670.064,9,9,9: Other,,
2010,Export,0,1,1,1: Other,,
2011,Import,-1.862645149e-09,2,2,2: Other,,
2019,Import,0,0,0,0: Other,,
2010,Export,0,0,0,0: Other,,
2015,Import,0,1,1,1: Other,,
2008,Export,0,1,1,1: Other,,
2008,Import,0,1,1,1: Other,,
2009,Export,0,0,0,0: Other,,
2008,Export,-9.313225746e-10,2,2,2: Other,,
2013,Export,0,0,0,0: Other,,
2011,Export,26203.246,9,9,9: Other,,
2009,Export,15956.194,9,9,9: Other,,
2015,Export,0,0,0,0: Other,,
2013,Import,21360.269,9,9,9: Other,,
2012,Import,1.862645149e-09,2,2,2: Other,,
2017,Export,0,0,0,0: Other,,
2012,Import,0,1,1,1: Other,,
2015,Export,0,2,2,2: Other,,
2018,Import,15373.066,9,9,9: Other,,
2012,Import,1.862645149e-09,3,3,3: Other,,
2013,Import,0,2,2,2: Other,,
2018,Export,-9.313225746e-10,2,2,2: Other,,
2010,Import,2.910383046e-11,0,0,0: Other,,
2018,Import,0,1,1,1: Other,,
2019,Export,9.313225746e-10,2,2,2: Other,,
2014,Export,4.656612873e-10,0,0,0: Other,,
2016,Import,0,2,2,2: Other,,
2018,Export,0,0,0,0: Other,,
2011,Export,0,3,3,3: Other,,
2008,Import,0,0,0,0: Other,,
2010,Import,9.313225746e-10,1,1,1: Other,,
2013,Import,0,0,0,0: Other,,
2017,Export,-5.587935448e-09,3,3,3: Other,,
2008,Import,0,3,3,3: Other,,
2010,Export,-9.313225746e-10,2,2,2: Other,,
2019,Export,0,1,1,1: Other,,
2012,Export,-9.313225746e-10,1,1,1: Other,,
2011,Import,0,0,0,0: Other,,
2013,Import,3.725290298e-09,3,3,3: Other,,
2016,Export,-1.862645149e-09,2,2,2: Other,,
2014,Import,1.164153218e-10,0,0,0: Other,,
2019,Export,0,3,3,3: Other,,
2008,Import,-1.862645149e-09,2,2,2: Other,,
2019,Import,0,1,1,1: Other,,
2019,Export,204547.455,9,9,9: Other,,
2008,Import,2859.223,9,9,9: Other,,
2014,Import,20150.789,9,9,9: Other,,
2016,Import,-5.820766091e-11,0,0,0: Other,,
2014,Export,-1.862645149e-09,3,3,3: Other,,
2011,Export,4.656612873e-10,0,0,0: Other,,
2010,Export,0,3,3,3: Other,,
2017,Import,0,1,1,1: Other,,
2010,Import,1536.207000000,9,9,9: Other,,
2008,Export,5472.042,9,9,9: Other,,
2013,Import,9.313225746e-10,1,1,1: Other,,
2013,Export,0,2,2,2: Other,,
2015,Export,56697.949,9,9,9: Other,,
2018,Export,-9.313225746e-10,1,1,1: Other,,
2019,Import,0,3,3,3: Other,,
2014,Export,40478.196,9,9,9: Other,,
2012,Export,0,0,0,0: Other,,
2018,Export,94745.465,9,9,9: Other,,
2017,Export,131316.096,9,9,9: Other,,
2010,Import,0,3,3,3: Other,,
2016,Export,0,3,3,3: Other,,
2015,Import,2.910383046e-11,0,0,0: Other,,
2009,Import,1869.389,9,9,9: Other,,
2015,Import,0,2,2,2: Other,,
2011,Import,0,3,3,3: Other,,
2018,Import,2.910383046e-11,0,0,0: Other,,
2018,Import,0,2,2,2: Other,,
2016,Export,98699.525,9,9,9: Other,,
2019,Export,-2.328306437e-10,0,0,0: Other,,
2014,Export,0,1,1,1: Other,,
2019,Import,0,2,2,2: Other,,
2014,Import,1.862645149e-09,3,3,3: Other,,
2016,Import,0,3,3,3: Other,,
2014,Import,-1.862645149e-09,2,2,2: Other,,
2016,Export,0,1,1,1: Other,,
2012,Import,0,0,0,0: Other,,
2009,Import,0,2,2,2: Other,,
2018,Import,-1.862645149e-09,3,3,3: Other,,
2012,Export,0,3,3,3: Other,,
2009,Export,-4.656612873e-10,2,2,2: Other,,
2015,Import,8884.008,9,9,9: Other,,
2009,Import,0,0,0,0: Other,,
2012,Import,18536.647,9,9,9: Other,,
2016,Import,0,1,1,1: Other,,
2017,Import,3761.662,9,9,9: Other,,
2013,Export,-1.862645149e-09,3,3,3: Other,,
2016,Export,0,0,0,0: Other,,
2015,Export,0,1,1,1: Other,,
2013,Export,0,1,1,1: Other,,
2019,Import,9885.695,9,9,9: Other,,
2019,Import,235132.409,26,2,26,26,26
2011,Export,243213.445,10,1,10,10,10
2015,Import,609482.511,12,1,12,12,12
2019,Import,4056.724,08,0,08,08,08
2012,Import,1637433.33,37,3,37,37,37
2012,Import,766791.123,30,3,30,30,30
2018,Export,248583.955,29,2,29,29,29
2017,Export,1238.584,21,2,21,21,21
2013,Export,1836227.541,01,0,01,01,01
2009,Export,519072.092,24,2,24,24,24
2018,Import,70952.594,91,9,91,91,91
2010,Import,45294.571,27,2,27,27,27
2014,Import,85862.288,39,3,39,39,39
2009,Export,93333.522,39,3,39,39,39
2014,Export,1055415.157,32,3,32,32,32
2015,Import,120320.505,22,2,22,22,22
2012,Import,27878.875,24,2,24,24,24
2009,Export,1094930.502,37,3,37,37,37
2011,Export,726068.772,32,3,32,32,32
2018,Export,5066269.987,35,3,35,35,35
2012,Export,1085227.202,36,3,36,36,36
2013,Import,586497.212,33,3,33,33,33
2017,Import,87589.382,22,2,22,22,22
2015,Import,1312767.034,37,3,37,37,37
2019,Import,287441.445,29,2,29,29,29
2018,Export,231799.676,25,2,25,25,25
2010,Import,4312.775,09,0,09,09,09
2010,Import,5853.274,24,2,24,24,24
2010,Import,1505467.135,37,3,37,37,37
2019,Export,171649.454,39,3,39,39,39
2008,Export,225311.47,38,3,38,38,38
2019,Export,1210395.437,24,2,24,24,24
2012,Export,1090929.279,26,2,26,26,26
2019,Import,75095.727,14,1,14,14,14
2015,Export,3678984.379,35,3,35,35,35
2012,Export,489883.502,34,3,34,34,34
2015,Export,11104.199,08,0,08,08,08
2019,Export,949864.744,32,3,32,32,32
2012,Import,4472824.578,13,1,13,13,13
2016,Export,1036619.873,26,2,26,26,26
2017,Import,49682.255,39,3,39,39,39
2019,Import,368989.322,33,3,33,33,33
2008,Import,9062.271,24,2,24,24,24
2009,Import,1467487.833,37,3,37,37,37
2008,Import,573269.048,30,3,30,30,30
2008,Import,8338.951,31,3,31,31,31
2016,Import,307783.089,26,2,26,26,26
2015,Export,259257.922,38,3,38,38,38
2014,Export,2021476.002,01,0,01,01,01
2013,Import,1210656.996,01,0,01,01,01
2019,Export,376975.703,31,3,31,31,31
2015,Import,841746.579,34,3,34,34,34
2014,Export,124390.21,39,3,39,39,39
