Year,TradeFlowName,ProductCode,TradeValueK,first,second,third,fourth
2011,Export,30,0,3,30,30: Other,
2010,Export,28,0,2,28,28: Other,
2012,Import,27,-7.275957614e-12,2,27,27: Other,
2013,Import,30,-1.164153218e-10,3,30,30: Other,
2010,Export,29,0,2,29,29: Other,
2015,Import,08,-9.094947018e-13,0,08,08: Other,
2013,Export,20,4.656612873e-10,2,20,20: Other,
2011,Export,28,0,2,28,28: Other,
2017,Export,91,0,9,91,91: Other,
2011,Import,30,1.164153218e-10,3,30,30: Other,
2010,Export,08,0,0,08,08: Other,
2013,Export,37,0,3,37,37: Other,
2012,Import,02,0,0,02,02: Other,
2017,Import,31,-9.094947018e-13,3,31,31: Other,
2015,Import,39,26454.005,3,39,39: Other,
2009,Import,23,3.637978807e-12,2,23,23: Other,
2019,Import,36,0,3,36,36: Other,
2008,Import,32,2.910383046e-11,3,32,32: Other,
2012,Import,09,0,0,09,09: Other,
2011,Import,25,2.910383046e-11,2,25,25: Other,
2018,Export,91,0,9,91,91: Other,
2015,Export,36,-1.164153218e-10,3,36,36: Other,
2018,Import,26,5.820766091e-11,2,26,26: Other,
2015,Export,22,0,2,22,22: Other,
2009,Import,09,0,0,09,09: Other,
2014,Export,33,0,3,33,33: Other,
2010,Import,35,0,3,35,35: Other,
2013,Import,29,-5.820766091e-11,2,29,29: Other,
2008,Import,34,0,3,34,34: Other,
2019,Import,27,7.275957614e-12,2,27,27: Other,
2017,Import,29,2.910383046e-11,2,29,29: Other,
2018,Import,32,-1.455191523e-11,3,32,32: Other,
2017,Import,01,0,0,01,01: Other,
2012,Import,32,2.910383046e-11,3,32,32: Other,
2012,Export,24,0,2,24,24: Other,
2015,Export,20,0,2,20,20: Other,
2008,Import,24,0,2,24,24: Other,
2010,Export,91,0,9,91,91: Other,
2014,Export,30,0,3,30,30: Other,
2018,Import,36,0,3,36,36: Other,
2015,Export,30,-5.820766091e-11,3,30,30: Other,
2019,Export,91,0,9,91,91: Other,
2010,Import,26,0,2,26,26: Other,
2014,Export,32,0,3,32,32: Other,
2014,Import,32,0,3,32,32: Other,
2013,Export,30,0,3,30,30: Other,
2014,Import,09,0,0,09,09: Other,
2013,Import,23,0,2,23,23: Other,
2018,Import,29,0,2,29,29: Other,
2016,Import,29,0,2,29,29: Other,
2014,Export,10,0,1,10,10: Other,
2016,Import,01,0,0,01,01: Other,
2010,Import,08,0,0,08,08: Other,
2018,Import,20,2.328306437e-10,2,20,20: Other,
2009,Import,24,-1.818989404e-12,2,24,24: Other,
2012,Import,25,0,2,25,25: Other,
2011,Import,32,2.910383046e-11,3,32,32: Other,
2014,Import,23,1.818989404e-12,2,23,23: Other,
2016,Export,35,-4.656612873e-10,3,35,35: Other,
2011,Import,37,-2.328306437e-10,3,37,37: Other,
2012,Import,26,0,2,26,26: Other,
2012,Export,38,-2.910383046e-11,3,38,38: Other,
2009,Export,02,0,0,02,02: Other,
2010,Import,29,-5.820766091e-11,2,29,29: Other,
2011,Import,28,1.862645149e-09,2,28,28: Other,
2009,Export,38,0,3,38,38: Other,
2015,Import,28,0,2,28,28: Other,
2012,Import,01,-7.275957614e-12,0,01,01: Other,
2017,Import,13,0,1,13,13: Other,
2018,Import,10,0,1,10,10: Other,
2018,Export,22,0,2,22,22: Other,
2013,Export,10,0,1,10,10: Other,
2018,Import,08,0,0,08,08: Other,
2014,Import,28,1.862645149e-09,2,28,28: Other,
2015,Import,32,0,3,32,32: Other,
2014,Import,01,0,0,01,01: Other,
2008,Import,20,0,2,20,20: Other,
2008,Import,12,0,1,12,12: Other,
2017,Export,33,9.313225746e-10,3,33,33: Other,
2013,Export,01,0,0,01,01: Other,
2019,Export,08,0,0,08,08: Other,
2010,Export,36,-1.164153218e-10,3,36,36: Other,
2014,Import,31,9.094947018e-13,3,31,31: Other,
2018,Import,37,0,3,37,37: Other,
2019,Import,39,18686.216,3,39,39: Other,
2012,Import,91,0,9,91,91: Other,
2009,Import,21,0,2,21,21: Other,
2013,Export,21,-2.273736754e-13,2,21,21: Other,
2010,Export,25,0,2,25,25: Other,
2010,Export,01,2.328306437e-10,0,01,01: Other,
2015,Import,10,-2.273736754e-13,1,10,10: Other,
2010,Import,27,7.275957614e-12,2,27,27: Other,
2008,Import,91,0,9,91,91: Other,
2010,Import,30,0,3,30,30: Other,
2014,Export,02,0,0,02,02: Other,
2008,Import,22,1.455191523e-11,2,22,22: Other,
2012,Export,28,-2.328306437e-10,2,28,28: Other,
2016,Import,30,0,3,30,30: Other,
2018,Export,23,0,2,23,23: Other,
2011,Import,36,-4.656612873e-10,3,36,36: Other,
2018,Import,24,0,2,24,24: Other,
2014,Import,08,0,0,08,08: Other,
2011,Export,10,0,1,10,10: Other,
2009,Export,23,0,2,23,23: Other,
2015,Export,01,0,0,01,01: Other,
2010,Export,37,1.164153218e-10,3,37,37: Other,
2015,Export,38,2.910383046e-11,3,38,38: Other,
2014,Export,22,0,2,22,22: Other,
2008,Export,14,7.275957614e-12,1,14,14: Other,
2019,Import,34,0,3,34,34: Other,
2012,Import,39,28012.639,3,39,39: Other,
2009,Export,30,0,3,30,30: Other,
2010,Import,14,0,1,14,14: Other,
2012,Export,20,0,2,20,20: Other,
2010,Import,21,0,2,21,21: Other,
2016,Export,25,-2.910383046e-11,2,25,25: Other,
2010,Import,24,-9.094947018e-13,2,24,24: Other,
2012,Import,23,3.637978807e-12,2,23,23: Other,
2013,Import,33,-1.164153218e-10,3,33,33: Other,
2016,Export,27,-3.637978807e-12,2,27,27: Other,
2013,Import,13,0,1,13,13: Other,
2009,Import,01,-1.455191523e-11,0,01,01: Other,
2018,Import,14,-2.910383046e-11,1,14,14: Other,
2013,Export,25,-1.455191523e-11,2,25,25: Other,
2018,Export,24,0,2,24,24: Other,
2009,Export,08,-9.094947018e-13,0,08,08: Other,
2013,Export,31,5.820766091e-11,3,31,31: Other,
2014,Import,10,1.818989404e-12,1,10,10: Other,
2011,Export,21,-2.273736754e-13,2,21,21: Other,
2014,Import,29,0,2,29,29: Other,
2008,Export,34,0,3,34,34: Other,
2011,Export,13,0,1,13,13: Other,
2016,Import,08,0,0,08,08: Other,
2012,Import,35,-9.313225746e-10,3,35,35: Other,
2009,Import,28,-9.313225746e-10,2,28,28: Other,
2014,Import,36,0,3,36,36: Other,
2010,Import,39,20379.938,3,39,39: Other,
2015,Import,34,0,3,34,34: Other,
2009,Import,12,1.164153218e-10,1,12,12: Other,
2017,Import,27,-1.455191523e-11,2,27,27: Other,
2015,Export,91,0,9,91,91: Other,
2013,Import,08,-1.818989404e-12,0,08,08: Other,
2011,Import,23,3.637978807e-12,2,23,23: Other,
2009,Import,27,0,2,27,27: Other,
2009,Export,28,-1.164153218e-10,2,28,28: Other,
2019,Import,33,-5.820766091e-11,3,33,33: Other,
2010,Export,21,0,2,21,21: Other,
2012,Export,09,0,0,09,09: Other,
2008,Export,21,0,2,21,21: Other,
2011,Export,20,0,2,20,20: Other,
2011,Import,02,-7.275957614e-12,0,02,02: Other,
2018,Export,38,-5.820766091e-11,3,38,38: Other,
2012,Import,22,2.910383046e-11,2,22,22: Other,
2015,Import,13,-4.656612873e-10,1,13,13: Other,
2014,Import,34,-2.328306437e-10,3,34,34: Other,
2017,Export,22,-1.455191523e-11,2,22,22: Other,
2009,Import,91,0,9,91,91: Other,
2018,Export,35,0,3,35,35: Other,
2018,Export,39,18755.633,3,39,39: Other,
2011,Export,34,5.820766091e-11,3,34,34: Other,
2010,Import,10,1.818989404e-12,1,10,10: Other,
2011,Export,33,-1.862645149e-09,3,33,33: Other,
2016,Import,20,-1.164153218e-10,2,20,20: Other,
2011,Export,09,0,0,09,09: Other,
2010,Export,27,-3.637978807e-12,2,27,27: Other,
2018,Export,31,-5.820766091e-11,3,31,31: Other,
2015,Import,09,0,0,09,09: Other,
2010,Export,34,-1.164153218e-10,3,34,34: Other,
2017,Export,27,-3.637978807e-12,2,27,27: Other,
2019,Export,36,0,3,36,36: Other,
2013,Import,09,0,0,09,09: Other,
2017,Import,23,0,2,23,23: Other,
2015,Import,35,9.313225746e-10,3,35,35: Other,
2017,Import,39,17690.668,3,39,39: Other,
2012,Import,24,3.637978807e-12,2,24,24: Other,
2018,Export,02,0,0,02,02: Other,
2016,Export,20,2.328306437e-10,2,20,20: Other,
2014,Export,39,19121.572,3,39,39: Other,
2008,Import,10,-4.547473509e-13,1,10,10: Other,
2015,Import,12,1.164153218e-10,1,12,12: Other,
2017,Export,31,5.820766091e-11,3,31,31: Other,
2017,Import,36,0,3,36,36: Other,
2011,Export,37,0,3,37,37: Other,
2017,Import,35,0,3,35,35: Other,
2016,Import,13,0,1,13,13: Other,
2017,Export,26,-2.328306437e-10,2,26,26: Other,
2009,Export,91,0,9,91,91: Other,
2009,Import,08,0,0,08,08: Other,
2014,Import,24,0,2,24,24: Other,
2014,Import,20,0,2,20,20: Other,
2015,Import,01,0,0,01,01: Other,
2017,Export,21,0,2,21,21: Other,
2016,Import,32,1.455191523e-11,3,32,32: Other,
2016,Import,21,0,2,21,21: Other,
2015,Export,13,-4.656612873e-10,1,13,13: Other,
2016,Export,14,0,1,14,14: Other,
2016,Export,01,0,0,01,01: Other,
2012,Export,01,2.328306437e-10,0,01,01: Other,
2017,Export,32,-1.164153218e-10,3,32,32: Other,
2015,Export,21,0,2,21,21: Other,
2008,Export,25,0,2,25,25: Other,
2018,Import,23,3.637978807e-12,2,23,23: Other,
2012,Export,35,4.656612873e-10,3,35,35: Other,
2008,Import,14,-2.910383046e-11,1,14,14: Other,
2019,Import,35,-4.656612873e-10,3,35,35: Other,
2009,Import,22,1.455191523e-11,2,22,22: Other,
2009,Export,22,0,2,22,22: Other,
2013,Import,22,-2.910383046e-11,2,22,22: Other,
2013,Import,28,1.862645149e-09,2,28,28: Other,
2013,Import,37,-2.328306437e-10,3,37,37: Other,
2012,Export,22,0,2,22,22: Other,
2016,Export,13,0,1,13,13: Other,
2017,Import,32,1.455191523e-11,3,32,32: Other,
2010,Export,26,1.164153218e-10,2,26,26: Other,
2017,Export,39,18784.012,3,39,39: Other,
2012,Export,34,-5.820766091e-11,3,34,34: Other,
2008,Export,20,0,2,20,20: Other,
2019,Import,25,1.455191523e-11,2,25,25: Other,
2009,Import,13,0,1,13,13: Other,
2018,Export,33,0,3,33,33: Other,
2018,Export,25,0,2,25,25: Other,
2014,Import,33,5.820766091e-11,3,33,33: Other,
2018,Export,36,1.164153218e-10,3,36,36: Other,
2017,Import,38,0,3,38,38: Other,
2015,Export,23,-3.637978807e-12,2,23,23: Other,
2012,Export,14,7.275957614e-12,1,14,14: Other,
2019,Import,24,3.637978807e-12,2,24,24: Other,
2012,Import,10,-1.818989404e-12,1,10,10: Other,
2019,Import,13,0,1,13,13: Other,
2014,Import,14,0,1,14,14: Other,
2014,Import,26,-5.820766091e-11,2,26,26: Other,
2015,Import,14,0,1,14,14: Other,
2019,Import,02,0,0,02,02: Other,
2008,Export,30,-1.164153218e-10,3,30,30: Other,
2014,Export,09,0,0,09,09: Other,
2019,Export,30,0,3,30,30: Other,
2008,Export,39,18046.394,3,39,39: Other,
2011,Import,24,0,2,24,24: Other,
2019,Import,23,1.818989404e-12,2,23,23: Other,
2017,Import,24,-1.818989404e-12,2,24,24: Other,
2011,Import,10,0,1,10,10: Other,
2010,Import,34,0,3,34,34: Other,
2018,Import,91,0,9,91,91: Other,
2016,Export,10,0,1,10,10: Other,
2015,Import,91,0,9,91,91: Other,
2008,Export,10,0,1,10,10: Other,
2012,Import,28,-1.862645149e-09,2,28,28: Other,
2008,Export,24,-1.164153218e-10,2,24,24: Other,
2017,Import,37,0,3,37,37: Other,
2008,Import,02,-7.275957614e-12,0,02,02: Other,
2011,Export,08,0,0,08,08: Other,
2015,Export,14,0,1,14,14: Other,
2014,Export,14,0,1,14,14: Other,
2015,Import,23,0,2,23,23: Other,
2013,Import,20,-5.820766091e-11,2,20,20: Other,
2017,Export,23,7.275957614e-12,2,23,23: Other,
