Year,ProductCode,TradeFlowName,TradeValueK,first,second,third,fourth
2011,281,Export,-2.910383046e-11,2,28,281,281: Other
2009,131,Import,0,1,13,131,131: Other
2011,251,Export,0,2,25,251,251: Other
2017,325,Export,386.864000000,3,32,325,325: Other
2019,375,Import,0,3,37,375,375: Other
2019,27,Export,-3.637978807e-12,2,27,27: Other,27: Other
2008,381,Import,168069.597,3,38,381,381: Other
2016,354,Export,127816.48,3,35,354,354: Other
2011,363,Import,24387.39,3,36,363,363: Other
2012,352,Export,51.058000000,3,35,352,352: Other
2010,279,Export,0,2,27,279,279: Other
2017,214,Import,0,2,21,214,214: Other
2018,35,Export,0,3,35,35: Other,35: Other
2019,275,Export,0,2,27,275,275: Other
2014,352,Export,153.332000000,3,35,352,352: Other
2016,234,Export,-2.273736754e-13,2,23,234,234: Other
2018,10,Import,0,1,10,10: Other,10: Other
2008,10,Import,-4.547473509e-13,1,10,10: Other,10: Other
2016,017,Import,0,0,01,017,017: Other
2011,102,Import,0,1,10,102,102: Other
2019,225,Import,0,2,22,225,225: Other
2015,234,Export,0,2,23,234,234: Other
2016,384,Import,702336.392,3,38,384,384: Other
2011,349,Export,116317.777,3,34,349,349: Other
2018,39,Export,18755.633,3,39,39: Other,39: Other
2009,212,Export,0,2,21,212,212: Other
2018,345,Export,0,3,34,345,345: Other
2010,343,Export,16210.858,3,34,343,343: Other
2014,123,Import,0,1,12,123,123: Other
2018,391,Import,6808.342,3,39,391,391: Other
2011,083,Import,0,0,08,083,083: Other
2016,011,Import,0,0,01,011,011: Other
2017,354,Import,143062.13,3,35,354,354: Other
2013,91,Export,0,9,91,91: Other,91: Other
2015,327,Import,1399.166,3,32,327,327: Other
2018,314,Export,9528.200000000,3,31,314,314: Other
2016,203,Import,0,2,20,203,203: Other
2013,331,Export,290104.679,3,33,331,331: Other
2010,016,Export,0,0,01,016,016: Other
2011,20,Import,0,2,20,20: Other,20: Other
2016,01,Import,0,0,01,01: Other,01: Other
2018,091,Import,0,0,09,091,091: Other
2018,109,Import,0,1,10,109,109: Other
2019,3,Export,0,3,3: Other,3: Other,3: Other
2017,02,Import,7.275957614e-12,0,02,02: Other,02: Other
2010,227,Export,0,2,22,227,227: Other
2014,249,Import,0,2,24,249,249: Other
2014,23,Import,1.818989404e-12,2,23,23: Other,23: Other
2015,251,Export,4.547473509e-13,2,25,251,251: Other
2011,33,Export,-1.862645149e-09,3,33,33: Other,33: Other
2015,367,Export,95915.25,3,36,367,367: Other
2012,352,Import,13516.482,3,35,352,352: Other
2013,367,Import,646866.467,3,36,367,367: Other
2018,241,Import,0,2,24,241,241: Other
2008,2,Import,-1.862645149e-09,2,2: Other,2: Other,2: Other
2013,261,Import,0,2,26,261,261: Other
2019,299,Export,0,2,29,299,299: Other
2017,30,Export,5.820766091e-11,3,30,30: Other,30: Other
2011,24,Import,0,2,24,24: Other,24: Other
2014,241,Import,0,2,24,241,241: Other
2018,344,Export,36157.181,3,34,344,344: Other
2014,317,Import,870.741,3,31,317,317: Other
2013,277,Import,0,2,27,277,277: Other
2019,332,Export,0,3,33,332,332: Other
2014,017,Export,-2.328306437e-10,0,01,017,017: Other
2009,259,Import,0,2,25,259,259: Other
2013,01,Import,2.328306437e-10,0,01,01: Other,01: Other
2010,231,Import,0,2,23,231,231: Other
2015,351,Export,2176498.434,3,35,351,351: Other
2014,34,Export,0,3,34,34: Other,34: Other
2019,39,Import,18686.216,3,39,39: Other,39: Other
2014,01,Import,0,0,01,01: Other,01: Other
2015,011,Import,-1.455191523e-11,0,01,011,011: Other
2009,30,Export,0,3,30,30: Other,30: Other
2019,367,Export,149906.867,3,36,367,367: Other
2018,308,Import,75237.956,3,30,308,308: Other
2017,396,Import,-2.273736754e-13,3,39,396,396: Other
2017,027,Export,0,0,02,027,027: Other
2016,353,Import,482410.456,3,35,353,353: Other
2011,228,Import,0,2,22,228,228: Other
2009,013,Import,3.637978807e-12,0,01,013,013: Other
2013,34,Export,0,3,34,34: Other,34: Other
2018,147,Export,0,1,14,147,147: Other
2012,32,Export,-1.164153218e-10,3,32,32: Other,32: Other
2014,315,Import,0,3,31,315,315: Other
2017,011,Import,0,0,01,011,011: Other
2016,145,Import,0,1,14,145,145: Other
2011,212,Export,0,2,21,212,212: Other
2014,013,Import,7.275957614e-12,0,01,013,013: Other
2010,271,Export,0,2,27,271,271: Other
2016,283,Import,0,2,28,283,283: Other
2011,237,Export,0,2,23,237,237: Other
2012,282,Export,0,2,28,282,282: Other
2019,239,Import,4.547473509e-13,2,23,239,239: Other
2010,365,Import,106658.495,3,36,365,365: Other
2015,236,Import,0,2,23,236,236: Other
2013,227,Export,0,2,22,227,227: Other
2012,083,Export,0,0,08,083,083: Other
2013,239,Import,-1.818989404e-12,2,23,239,239: Other
2011,365,Export,10424.927,3,36,365,365: Other
2017,374,Import,0,3,37,374,374: Other
2019,359,Import,52080.21,3,35,359,359: Other
2010,396,Import,0,3,39,396,396: Other
2017,238,Export,0,2,23,238,238: Other
2008,083,Import,0,0,08,083,083: Other
2014,132,Export,0,1,13,132,132: Other
2010,231,Export,0,2,23,231,231: Other
2011,285,Export,0,2,28,285,285: Other
2008,345,Import,0,3,34,345,345: Other
2016,206,Import,0,2,20,206,206: Other
2017,346,Export,13363.603,3,34,346,346: Other
2009,324,Export,0,3,32,324,324: Other
2012,91,Import,0,9,91,91: Other,91: Other
2011,322,Import,45877.111,3,32,322,322: Other
2013,081,Import,0,0,08,081,081: Other
2019,10,Export,0,1,10,10: Other,10: Other
2016,021,Export,0,0,02,021,021: Other
2012,211,Import,0,2,21,211,211: Other
2018,287,Import,0,2,28,287,287: Other
2019,224,Import,0,2,22,224,224: Other
2008,213,Import,0,2,21,213,213: Other
2019,283,Export,0,2,28,283,283: Other
2016,357,Export,129614.221,3,35,357,357: Other
2018,91,Export,0,9,91,91: Other,91: Other
2018,343,Export,34530.466,3,34,343,343: Other
2011,204,Export,3.637978807e-12,2,20,204,204: Other
2019,203,Export,0,2,20,203,203: Other
2017,101,Import,0,1,10,101,101: Other
2019,25,Import,1.455191523e-11,2,25,25: Other,25: Other
2013,225,Export,0,2,22,225,225: Other
2011,382,Export,27767.905,3,38,382,382: Other
2013,141,Import,0,1,14,141,141: Other
2010,013,Export,0,0,01,013,013: Other
2018,326,Export,478.001,3,32,326,326: Other
2017,23,Export,7.275957614e-12,2,23,23: Other,23: Other
2014,327,Import,2445.002,3,32,327,327: Other
2009,122,Export,0,1,12,122,122: Other
2008,358,Import,140964.79,3,35,358,358: Other
2014,206,Export,0,2,20,206,206: Other
2012,364,Export,16761.83,3,36,364,364: Other
2015,109,Export,0,1,10,109,109: Other
2012,381,Export,20437.922,3,38,381,381: Other
2015,374,Export,0,3,37,374,374: Other
2017,311,Export,289139.845,3,31,311,311: Other
2012,327,Import,2499.946,3,32,327,327: Other
2018,910,Import,0,9,91,910,910: Other
2016,101,Export,0,1,10,101,101: Other
2015,221,Import,0,2,22,221,221: Other
2012,206,Export,0,2,20,206,206: Other
2017,225,Import,-4.547473509e-13,2,22,225,225: Other
2019,328,Export,0,3,32,328,328: Other
2012,357,Export,81616.099,3,35,357,357: Other
2008,208,Import,0,2,20,208,208: Other
2013,21,Export,-2.273736754e-13,2,21,21: Other,21: Other
2018,027,Export,0,0,02,027,027: Other
2015,91,Import,0,9,91,91: Other,91: Other
2010,145,Import,1.818989404e-12,1,14,145,145: Other
2014,122,Import,0,1,12,122,122: Other
2012,305,Import,72293.509,3,30,305,305: Other
2008,317,Export,60.669000000,3,31,317,317: Other
2008,025,Import,0,0,02,025,025: Other
2019,249,Import,0,2,24,249,249: Other
2018,106,Export,0,1,10,106,106: Other
2012,358,Export,190228.843,3,35,358,358: Other
2011,990,Import,0,9,99,990,990: Other
2010,131,Import,0,1,13,131,131: Other
2008,333,Import,13694.643,3,33,333,333: Other
2017,28,Import,-9.313225746e-10,2,28,28: Other,28: Other
2019,144,Import,0,1,14,144,144: Other
2009,36,Export,-1.164153218e-10,3,36,36: Other,36: Other
2015,081,Export,0,0,08,081,081: Other
2019,9,Import,9885.695,9,9: Other,9: Other,9: Other
2008,305,Import,66562.006,3,30,305,305: Other
2019,208,Export,0,2,20,208,208: Other
2012,376,Import,27.1,3,37,376,376: Other
2015,376,Export,22.5,3,37,376,376: Other
2012,385,Export,1045.518,3,38,385,385: Other
2012,232,Import,-9.094947018e-13,2,23,232,232: Other
2017,244,Export,0,2,24,244,244: Other
2008,37,Export,0,3,37,37: Other,37: Other
2015,35,Export,0,3,35,35: Other,35: Other
2012,37,Export,0,3,37,37: Other,37: Other
2019,35,Import,-4.656612873e-10,3,35,35: Other,35: Other
2015,332,Export,0,3,33,332,332: Other
2012,289,Export,0,2,28,289,289: Other
2012,369,Export,17334.729,3,36,369,369: Other
2014,021,Import,0,0,02,021,021: Other
2016,352,Import,11265.876,3,35,352,352: Other
2010,357,Export,66021.226,3,35,357,357: Other
2017,331,Export,309330.172,3,33,331,331: Other
2011,32,Export,0,3,32,32: Other,32: Other
2012,362,Export,39685.668000000,3,36,362,362: Other
2017,149,Export,0,1,14,149,149: Other
2012,132,Import,0,1,13,132,132: Other
2013,30,Import,-1.164153218e-10,3,30,30: Other,30: Other
2008,202,Export,0,2,20,202,202: Other
2009,375,Export,0,3,37,375,375: Other
2017,315,Export,0,3,31,315,315: Other
2015,237,Import,0,2,23,237,237: Other
2008,239,Export,-2.910383046e-11,2,23,239,239: Other
2018,374,Export,0,3,37,374,374: Other
2011,319,Import,0,3,31,319,319: Other
2016,34,Export,0,3,34,34: Other,34: Other
2009,232,Import,0,2,23,232,232: Other
2012,209,Import,-3.637978807e-12,2,20,209,209: Other
2012,13,Export,0,1,13,13: Other,13: Other
2010,242,Import,0,2,24,242,242: Other
2019,017,Export,-1.164153218e-10,0,01,017,017: Other
2017,244,Import,0,2,24,244,244: Other
2011,149,Export,0,1,14,149,149: Other
2011,332,Export,0,3,33,332,332: Other
2013,291,Import,0,2,29,291,291: Other
2016,1,Import,0,1,1: Other,1: Other,1: Other
2011,325,Export,14.609000000,3,32,325,325: Other
2010,344,Export,42809.498,3,34,344,344: Other
2016,101,Import,0,1,10,101,101: Other
2009,142,Import,0,1,14,142,142: Other
2011,396,Import,0,3,39,396,396: Other
2014,147,Export,-1.818989404e-12,1,14,147,147: Other
2015,22,Import,-1.455191523e-11,2,22,22: Other,22: Other
2014,34,Import,-2.328306437e-10,3,34,34: Other,34: Other
2019,366,Import,54301.308,3,36,366,366: Other
2015,239,Import,0,2,23,239,239: Other
2016,23,Import,0,2,23,23: Other,23: Other
2018,251,Export,0,2,25,251,251: Other
2013,1,Export,0,1,1: Other,1: Other,1: Other
2009,305,Export,14211.706,3,30,305,305: Other
